c_1,c_2,c_3,c_4,c_5,lev_1,lev_2,lev_3,lev_4,lev_5,code,def,source,type,list,ifc,par_1,par_2,sect,sect_parts
,,,,0028,,,,,Код ОКУН,XNCC0028,Общероссийский классификатор услуг населению,,Текстовый,,,,,,
,,,,0029,,,,,Код КИЕС,XNCC0029,Классификатор институциональных единиц по секторам экономики,,Текстовый,,,,,,
,,,,0030,,,,,Код ОКАТО,XNCC0030,Общероссийский классификатор объектов административно-территориального деления,,Текстовый,,,,,,
,,,,0031,,,,,Код ОКВ,XNCC0031,Общероссийский классификатор валют,,Текстовый,,,,,,
,,,,0032,,,,,Код ОКСМ,XNCC0032,Общероссийский классификатор стран мира,,Текстовый,,,,,,
,,,,0033,,,,,Код ОКТМО,XNCC0033,Общероссийский классификатор территорий муниципальных образований,,Текстовый,,,,,,
,,,,0034,,,,,Код ОКЭР,XNCC0034,Общероссийский классификатор экономических регионов,,Текстовый,,,,,,
,,,,0035,,,,,Код КГС,XNCC0035,Классификатор государственных стандартов ,,Текстовый,,,,,,
,,,,0036,,,,,Код ТНВЭД,XNCC0036,Товарная номенклатура внешнеэкономической деятельности Евразийского экономического союза,,Текстовый,,,,,,
,,,,0037,,,,,Код ОКВГУМ,XNCC0037,"Общероссийский классификатор видов грузов, упаковки и упаковочных материалов",,Текстовый,,,,,,
,,,,0038,,,,,Код ОКОФ,XNCC0038,Общероссийский классификатор основных фондов,,Текстовый,,,,,,
,,,,0039,,,,,Код ОКП,XNCC0039,Общероссийский классификатор продукции,,Текстовый,,,,,,
,,,,0040,,,,,Код ОКС,XNCC0040,Общероссийский классификатор стандартов ,,Текстовый,,,,,,
,,,,0041,,,,,Код ОКТС,XNCC0041,Общероссийский классификатор трансформационных событий ,,Текстовый,,,,,,
,,,,0042,,,,,Код КОКСФН,XNCC0042,Классификатор объектов капитального строительства по функциональному назначению,,Текстовый,,,,,,
,,,R,,,,,Региональные классификаторы,,XNCR,,,,,,,,,
,,,,0001,,,,,Код МССК,XNCR0001,Московская Строительная Система Классификаторов,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 40 10 10,,,
,,,P,,,,,Сборники расценок,,XNCP,,,,,,,,,
,,,,0001,,,,,Код ГЭСН,XNCP0001,Государственные Элементные Сметные Нормы,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<ARe>",
,,,,0002,,,,,Код ТЕР,XNCP0002,Территориальные единичные расценки в строительстве,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0003,,,,,Код ФЕР,XNCP0003,Федеральные единичные расценки,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0004,,,,,Код измерителя ГЭСН,XNCP0004,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0005,,,,,Код измерителя ГЭСНм,XNCP0005,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0006,,,,,Код измерителя ГЭСНр,XNCP0006,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0007,,,,,Код измерителя ГЭСНп,XNCP0007,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0008,,,,,Код измерителя ГЭСНмр,XNCP0008,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0009,,,,,Код состава работ ГЭСН,XNCP0009,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0010,,,,,Код состава работ ГЭСНм,XNCP0010,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0011,,,,,Код состава работ ГЭСНр,XNCP0011,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0012,,,,,Код состава работ ГЭСНп,XNCP0012,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0013,,,,,Код состава работ ГЭСНмр,XNCP0013,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0014,,,,,Код измерителя расхода ГЭСН,XNCP0014,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0015,,,,,Код измерителя расхода ГЭСНм,XNCP0015,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0016,,,,,Код измерителя расхода ГЭСНр,XNCP0016,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0017,,,,,Код измерителя расхода ГЭСНп,XNCP0017,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,,0018,,,,,Код измерителя расхода ГЭСНмр,XNCP0018,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",
,,,F,,,,,Зарубежные классификационные системы,,XNCF,,,,,,,,,
,,,,0001,,,,,Код OmniClass,XNCF0001,,,Текстовый,,,,,"<TeS>
<FnS>
<Com>
<CPr>
<CMa>
<Are>",
,,,,0002,,,,,Код Uniclass 2015,XNCF0002,,,Текстовый,,,,,"<TeS>
<FnS>
<Com>
<CPr>
<CMa>
<Are>",
,,,,0003,,,,,Код MasterFormat,XNCF0003,,,Текстовый,,,,,"<TeS>
<FnS>
<Com>
<CPr>
<CMa>
<Are>",
,,,,0004,,,,,Код Uniformat II,XNCF0004,,,Текстовый,,,,,"<TeS>
<FnS>
<Com>
<CPr>
<CMa>
<Are>",
,,,,0005,,,,,Код CCS,XNCF0005,,,Текстовый,,,,,"<TeS>
<FnS>
<Com>
<CPr>
<CMa>
<Are>",
,,,,0006,,,,,Код CoClass,XNCF0006,,,Текстовый,,,,,"<TeS>
<FnS>
<Com>
<CPr>
<CMa>
<Are>",
,,,W,,,,,Ведомственные классификаторы,,XNCW,,,,,,,,,
,,,,0001,,,,,Код РЖД,XNCW0001,"Классификатор ОАО ""РЖД""",,Текстовый,,,,,,
,,,,0002,,,,,Код KKS,XNCW0002,"Классификатор Государственная корпорация по атомной энергии ""Росатом"" (ЕСККАЭ)","Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",Текстовый,,,,,,
,,,U,,,,,Пользовательские,,XNCU,,,,,,,,,
,,T,,,,,Тип и вид,,,XNT_,,,,,,,,,
,,,,0001,,,,,Вид,XNT_0001,,,Текстовый,,,,,,
,,,,0002,,,,,Тип,XNT_0002,,,Текстовый,,,,,,
,,,,0003,,,,,Класс,XNT_0003,,,Текстовый,,,,,,
,,,,0004,,,,,Категория,XNT_0004,,,Текстовый,,,,,,
,,,,0005,,,,,Марка,XNT_0005,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 40 10 14,,,
,,,,0006,,,,,Имя,XNT_0006,,,Текстовый,,,,,,
,,,,0007,,,,,Цвет,XNT_0007,,,Текстовый,,,,,,
,,,,0008,,,,,Производитель,XNT_0008,,,Текстовый,,,,,,
,,,,0009,,,,,Наименование по каталогу,XNT_0009,,,Текстовый,,,,,,
,,,,0010,,,,,Артикул по каталогу,XNT_0010,,,Текстовый,,,,,,
,,,,0011,,,,,Группа,XNT_0011,,,Текстовый,,,,,,
,,,,0012,,,,,Объект культурного наследия,XNT_0012,"К объектам культурного наследия (памятникам истории и культуры) народов Российской Федерации (далее - объекты культурного наследия)  относятся объекты недвижимого имущества (включая объекты археологического наследия) и иные объекты с исторически связанными с ними территориями, произведениями живописи, скульптуры, декоративно-прикладного искусства, объектами науки и техники и иными предметами материальной культуры, возникшие в результате исторических событий, представляющие собой ценность с точки зрения истории, археологии, архитектуры, градостроительства, искусства, науки и техники, эстетики, этнологии или антропологии, социальной культуры и являющиеся свидетельством эпох и цивилизаций, подлинными источниками информации о зарождении и развитии культуры.",Федеральный закон от 25.06.2002 N 73-ФЗ,Логический,,,,,"<RZo>
<CCo>
<Cen>",
,,,,0013,,,,,Вид объекта культурного наследия,XNT_0013,Вид объекта культурного наследия в соответствии с Федеральным законом от 25.06.2002 N 73-ФЗ,  Федеральный закон от 25.06.2002 N 73-ФЗ,Из списка,"Памятники, Ансамбли, Достопримечательные места",,,,"<RZo>
<CCo>
<Cen>",
,,,,0014,,,,,Тип стоянки автомобилей,XNT_0014,,СП 113.13330.2023,Из списка,"механизированная 
многорядная 
закрытого типа
открытого типа
обвалованная 
полумеханизированная 
",,,,"<RZo>
<CCo>
<Cen>",
,,,,0015,,,,,Объект массового пребывания граждан,XNT_0015,,Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,Логический,,,,,"<RZo>
<CCo>
<Cen>",
,,U,,,,,Пользовательские,,,XNU_,,,,,,,,,
,L,,,,,Расположение,,,,XL__,,,,,,,,,
,,G,,,,,Географическое расположение,,,XLG_,,,,,,,,,
,,,,0001,,,,,Географическая широта,XLG_0001,,,Текстовый,,,,,,
,,,,0002,,,,,Географическая долгота,XLG_0002,,,Текстовый,,,,,,
,,,,0003,,,,,Географическая высота,XLG_0003,,,Текстовый,,,,,,
,,,,0004,,,,,GPS координаты,XLG_0004,,,Текстовый,,,,,,
,,,,0005,,,,,Ориентация стороны света,XLG_0005,,,Из списка,"юг
север
запад
восток
юго-запад
юго-восток
северо-запад
северо-восток",,,,,
,,U,,,,,,Пользовательские,,XLU_,,,,,,,,,
,,A,,,,,Адрес,,,XLA_,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ПР 10 20 10,,,
,,,,0001,,,,,Индекс,XLA_0001,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Числовой,,,ПР 10 20 10 10,,"<CCo>
<Cen>",
,,,,0002,,,,,Страна,XLA_0002,,,Текстовый,,,,,"<RZo>
<CCo>
<Cen>",
,,,,0003,,,,,Область,XLA_0003,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 20 10 20,,"<RZo>
<CCo>
<Cen>",
,,,,0004,,,,,Район,XLA_0004,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 20 10 40,,"<RZo>
<CCo>
<Cen>",
,,,,0005,,,,,Штат,XLA_0005,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 20 10 20,,"<RZo>
<CCo>
<Cen>",
,,,,0006,,,,,Город,XLA_0006,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,"ПР 10 20 10 30
ПР 10 20 10 50",,"<RZo>
<CCo>
<Cen>",
,,,,0007,,,,,Село,XLA_0007,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 20 10 50,,"<RZo>
<CCo>
<Cen>",
,,,,0008,,,,,Улица,XLA_0008,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 20 10 60,,"<RZo>
<CCo>
<Cen>",
,,,,0009,,,,,Дом,XLA_0009,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 20 10 70,,"<RZo>
<CCo>
<Cen>",
,,,,0010,,,,,"Корпус, строение",XLA_0010,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,"ПР 10 20 10 80
ПР 10 25 10",,"<RZo>
<CCo>
<Cen>",
,,,,0011,,,,,Квартира,XLA_0011,,,Числовой,,,,,"<RZo>
<CCo>
<Cen>",
,,,,0012,,,,,Подъезд,XLA_0012,,,Числовой,,,,,"<RZo>
<CCo>
<Cen>",
,,,,0013,,,,,Номер телефона,XLA_0013,,,Числовой,,,,,"<RZo>
<CCo>
<Cen>",
,,,,0014,,,,,Поселок,XLA_0014,,,Текстовый,,,,,"<RZo>
<CCo>
<Cen>",
,,,,0015,,,,,Поселок городского типа,XLA_0015,,,Текстовый,,,,,"<RZo>
<CCo>
<Cen>",
,,,,0016,,,,,Деревня,XLA_0016,,,Текстовый,,,,,"<RZo>
<CCo>
<Cen>",
,,,U,,,,,Пользовательские,,XLAU_,,,,,,,,,
,,L,,,,,Локальное расположение,,,XLL_,,,,,,,,,
,,,,0001,,,,,Положение,XLL_0001,,,Из списка,"внешнее/наружное 
внутреннее 
вертикальное
 горизонтальное 
одностороннее 
двустороннее
",,,,,
,,,,0002,,,,,Координаты,XLL_0002,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,"ПР 10 40 14
ПР 10 40 16
ПР 10 40 22
ПР 10 40 24
ПР 10 40 30
ПР 10 40 32",,,
,,,,0003,,,,,Километраж,XLL_0003,,,Текстовый,,,,,,
,,,,0004,,,,,Отметка земли,XLL_0004,,,Текстовый,,,,,,
,,,,0005,,,,,Высотная отметка,XLL_0005,,,Числовой,,,,,,
,,,,0006,,,,,Отметка дна,XLL_0006,,,Текстовый,,,,,,
,,,,0007,,,,,Отметка верха,XLL_0007,,,Текстовый,,,,,,
,,,,0008,,,,,Отметка нуля проекта,XLL_0008,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 40 10,,,
,,,,0009,,,,,Отметка уровня земли,XLL_0009,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 40 12,,,
,,,,0010,,,,,Отметка уровня точки съемки,XLL_0010,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 40 18,,,
,,,,0011,,,,,Угол от истинного севера точки съемки,XLL_0011,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 40 20,,,
,,,,0012,,,,,Отметка уровня базовой точки,XLL_0012,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 40 26,,,
,,,,0013,,,,,Номер секции,XLL_0013,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Числовой,,,ПР 10 25 12,,,
,,,,0014,,,,,Номер этажа,XLL_0014,,,Числовой,,,,,,
,,,,0015,,,,,Километр трассы,XLL_0015,,,Числовой,,,,,,
,,,,0016,,,,,Расстояние,XLL_0016,Степень (мера) удаленности объектов друг от друга,,Числовой,,,,,,
,,,,0017,,,,,Подземная часть,XLL_0017,,,Логический,,,,,,
,,,,0018,,,,,Наземная часть,XLL_0018,,,Логический,,,,,,
,,,,0019,,,,,Надземная часть,XLL_0019,,,Логический,,,,,,
,,,U,,,,,Пользовательские,,XLLU_,,,,,,,,,
,,C,,,,,Климатические,,,XLC_,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ПР 10 45,,,
,,,,0001,,,,,Глубина промерзания ,XLC_0001,Расстояние от земной поверхности до нижней границы промерзшего за зимний период грунта.,СП 78.13330.2012,Числовой,,,,,,
,,,,0002,,,,,Климатический район,XLC_0002,"Район строительства с комплексным сочетанием средней месячной температуры воздуха в январе и июле, средней скорости ветра за три зимних месяца, средней месячной относительной влажности воздуха в июле 
","СП 131.13330.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Текстовый,,,ПР 10 45 10,,,
,,,,0003,,,,,Климатический подрайон,XLC_0003,"Подрайон строительства с комплексным сочетанием средней месячной температуры воздуха в январе и июле, средней скорости ветра за три зимних месяца, средней месячной относительной влажности воздуха в июле 
","СП 131.13330.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Текстовый,,,ПР 10 45 12,,,
,,,,0004,,,,,Ветровой район,XLC_0004,"Территория, отличающаяся от других территорий определенным давлением ветра ","СП 20.13330.2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Текстовый,,,ПР 10 45 13,,,
,,,,0005,,,,,Ветровое давление,XLC_0005,Скоростной напор ветра равный половине произведения плотности воздуха на скорость нормативного ветра,"ГОСТ Р 56728-2015
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Текстовый,,,ПР 10 45 14,,,
,,,,0006,,,,,Снеговой район,XLC_0006,"Территория, отличающаяся от других территорий весом снегового покрова","СП 20.13330.2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Текстовый,,,ПР 10 45 15,,,
,,,,0007,,,,,Вес снегового покрова,XLC_0007,Расчетное значение веса снегового покрова  на 1 м2 горизонтальной поверхности земли для отдельных населенных пунктов Российской Федерации,"СП 20.13330.2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Текстовый,,,ПР 10 45 16,,,
,,,,0008,,,,,Теплосодержание,XLC_0008,"Функция состояния термодинамической системы, определяемая как сумма внутренней энергии и произведения давления на объём ","Ансельм А. И. Основы статистической физики и термодинамики. — 2-е изд., стереотип. — СПб.: Лань, 2007. — 427 с. — (Учебники для вузов. Специальная литература)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Текстовый,,,ПР 10 45 17,,,
,,,,0009,,,,,Барометрическое давление,XLC_0009,"Климатический параметр теплого периода года для проектирования отопления, вентиляции и кондиционирования","СП 131.13330.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Текстовый,,,ПР 10 45 18,,,
,,,,0010,,,,,Расчетная температура воздуха наиболее холодной пятидневки,XLC_0010,"Значение, соответствующее обеспеченности 0,98 и 0,92 из ранжированного ряда температуры воздуха наиболее холодных пятидневок и соответствующих им обеспеченностей за период с 1965 по 2015 гг.","СП 131.13330.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 10 45 20,,,
,,,,0011,,,,,Средняя температура наружного воздуха за отопительный период,XLC_0011,Климатический параметр равный сумме средних суточных температур за отопительный период,"СП 131.13330.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 10 45 21,,,
,,,,0012,,,,,Продолжительность отопительного периода,XLC_0012,"Расчетный период времени работы системы отопления здания, представляющий собой среднее статистическое число суток в году, когда средняя суточная температура наружного воздуха устойчиво равна и ниже 8 °C или 10 °C в зависимости от вида здания","СП 50.13330.2012
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 10 45 22,,,
,,,,0013,,,,,"Средняя скорость ветра за период со средней суточной температурой воздуха ≤8, °С",XLC_0013,Климатический параметр холодного периода года,"СП 131.13330.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 10 45 23,,,
,,,,0014,,,,,Температура окружающего воздуха,XLC_0014,"Климатический параметр для проектирования отопления, вентиляции и кондиционирования",СП 131.13330.2020,Числовой,,,,,,
,,,U,,,,,Пользовательские,,XLCU_,,,,,,,,,
,H,,,,,Время и стоимость,,,,XH__,,,,,,,,,
,,T,,,,,Время,,,XHT_,,,,,,,,,
,,,,0001,,,,,Дата,XHT_0001,,,Дата,,,,,,
,,,,0002,,,,,Дата изготовления,XHT_0002,,,Дата,,,,,,
,,,,0003,,,,,Дата оценки физического износа,XHT_0003,,,Дата,,,,,,
,,,,0004,,,,,Норматив времени оценки физического износа,XHT_0004,,,Числовой,,,,,,
,,,,0005,,,,,Даты совершенных сервисов,XHT_0005,,,Дата,,,,,,
,,,,0006,,,,,Межсервисный интервал,XHT_0006,,,Текстовый,,,,,,
,,,,0007,,,,,Срок службы,XHT_0007,,,Текстовый,,,,,,
,,C,,,,,Стоимость,,,XHC_,,,,,,,,,
,,,,0001,,,,,Закупочная стоимость,XHC_0001,,,Числовой,,,,,,
,,,,0002,,,,,Стоимость единицы продукции,XHC_0002,,,Числовой,,,,,,
,,,,0003,,,,,Себестоимость,XHC_0003,,,Числовой,,,,,,
,,,U,,,,,Пользовательские,,XHCU,,,,,,,,,
,Q,,,,,Количества,,,,XQ__,,,,,,,,,
,,,,0001,,,,,Количество единиц,XQ__0001,,,Числовой,,,,,,
,,,,0002,,,,,Количество проводов,XQ__0002,,,Числовой,,,,,,
,,,,0003,,,,,Число скважин,XQ__0003,,,Числовой,,,,,,
,,,,0004,,,,,Число эвакуирующихся,XQ__0004,,,Числовой,,,,,,
,,U,,,,,Пользовательские,,,XQU_,,,,,,,,,
,P,,,,,Физические,,,,XP__,,,,,,,,,
,,G,,,,,Геометрические,,,XPG_,,,,,,,,,
,,,,0001,,,,,Ширина,XPG_0001,"Один из двух горизонтальных габаритов, как правило, наименьший","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,"ПР 40 18 10
ПР 40 60 13",,,
,,,,0002,,,,,Высота,XPG_0002,"Вертикальный габарит, отсчитываемый вверх от условного нулевого уровня","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,"ПР 40 18 12
ПР 40 60 14",,,
,,,,0003,,,,,Длина,XPG_0003,"Один из двух горизонтальных габаритов, как правило, наибольший","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 40 18 13,,,
