Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Код по классификатору МССК,Синонимы
,,AAB,,,,Федеральный правовой акт,Нормативный правовой акт федеральных органов исполнительной власти,,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников,,
,,,AABA,,,Конституция РФ,"Высший нормативный правовой акт Российской Федерации, определяет наиболее важные нормы и принципы, в соответствии с которыми в дальнейшем вырабатывается детальное правовое регулирование в различных сферах: основные начала, принципы, нормы общественного и государственного строя; перечень основных прав человека, структура и компетенция высших органов государственной власти и управления",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,AABB,,,Федеральный конституционный закон,"Нормативный правовой акт, юридическая сила которого выше юридической силы федерального закона и который принимается в особом по сравнению с федеральным законом порядке",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,AABC,,,Федеральный закон,"Федеральный законодательный акт РФ, принимаемый в соответствии с Конституцией РФ по предметам ведения РФ и по предметам совместного ведения РФ и её субъектов","Конституция Российской Федерации от 12.12.1993
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,Сформулировано на основании результата анализа источников,,
,,,AABD,,,Акт палат Федерального Собрания РФ,"Решения, принимаемые палатами Федерального Собрания - Государственной Думой и Советом Федерации по вопросам их ведения",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,AABE,,,Правовой акт Президента РФ,"Нормативный правовой акт, издаваемый Президентом РФ в пределах его компетенции",Конституция Российской Федерации от 12.12.1993,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников,,
,,,,AABEA,,Указ Президента РФ,"Правовой акт, издаваемый Президентом РФ в пределах его компетенции",Классификаторы для информационного моделирования. Часть 10. Классификатор «Управление информацией» (2019 (РФ),,,Сформулировано на основании результата анализа источников,,
,,,,,AABEA010,Указ Президента РФ нормативного характера,"Правовой акт, издаваемый Президентом РФ в пределах его компетенции, содержащий нормы права (предписания) и рассчитанный на постоянное или многократное действие",Распоряжение Президента РФ от 05.02.93 N 85-рп,,,Сформулировано на основании результата анализа источников,,
,,,,,AABEA020,Указ Президента РФ ненормативного характера,"Правовой акт, издаваемый Президентом РФ в пределах его компетенции, который не содержит нормы права и является актом применения права",Распоряжение Президента РФ от 05.02.93 N 85-рп,,,Сформулировано на основании результата анализа источников,,
,,,,AABEB,,Распоряжение Президента РФ,"Организационно-оперативный акт, имеющий вспомогательное значение в правовом регулировании деятельности главы государства",,,,Сформулировано на основании результата анализа источников,,
,,,,AABEC,,Поручение Президента РФ,"Организационно-распорядительный документ, издаваемый Президентом РФ и оформленный в виде задания конкретному исполнителю со сроком его исполнения",Указ Президента РФ от 28.03.2011 N 352,,,Сформулировано на основании результата анализа источников,,
,,,,AABED,,Указание Президента РФ,"Организационно-распорядительный документ, издаваемый Президентом РФ и являющийся резолюций без определенных сроков исполнения, но эти сроки могут установить руководители администрации Президента РФ",Указ Президента РФ от 28.03.2011 N 352,,,Сформулировано на основании результата анализа источников,,
,,,,AABEE,,Письмо Президента РФ,"Текст на бумаге или других материалах, используемый при переписке между двумя и более адресатами, издаваемое Президентом РФ",,,,Сформулировано на основании результата анализа источников,,
,,,,AABEF,,Заключение Президента РФ,"Представленное в письменном виде суждение по вопросам, поставленным перед Президентом РФ сторонами",,,,Сформулировано на основании результата анализа источников,,
,,,,AABEG,,Запрос Президента РФ программно-политического содержания,"Официальное обращение Президента РФ с требованием, просьбой дать какие-либо сведения, объяснения по вопросам программно-политического содержания",,,,Сформулировано на основании результата анализа источников,,
,,,,,AABEG010,Послание Президента РФ,"Письменное обращение Президента РФ к государственному деятелю (или общественной организации) по какому-нибудь важному государственному, политическому вопросу",,,,Сформулировано на основании результата анализа источников,,
,,,,,AABEG020,Программа Президента РФ,"Документ программно-политического содержания, утверждаемый Президентом РФ, включающий в себя описание конечного результата после завершения всех работ, основные организационные и технические мероприятия по реализации, последовательность и график выполнения этапов, а также перечень основных работ на каждом этапе.",,,,Сформулировано на основании результата анализа источников,,
,,,,,AABEG030,Заявление Президента РФ,Официальное сообщение Президента РФ программно-политического содержания и переданное в устной или письменной форме,,,,Сформулировано на основании результата анализа источников,,
,,,,,AABEG040,Обращение Президента РФ,"Официальное обращение Президента РФ, направленное в адрес граждан, Парламента и Федерального собрания и переданное в устной или письменной форме",,,,Сформулировано на основании результата анализа источников,,
,,,AABF,,,Правовой акт Правительства РФ,"Нормативный правовой акт, издаваемый Правительством РФ, устанавливающий основные правила организации высшего федерального органа исполнительной власти по реализации его конституционных полномочий",Конституция Российской Федерации от 12.12.1993,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников,,
,,,,AABFA,,Правовой акт Правительства РФ правового характера,"Правовой акт правового характера, издаваемый Правительством РФ",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABFA010,Распоряжение Правительства РФ,"Акт ненормативного характера (индивидуально-правовой), издаваемый Правительством РФ, который носит оперативный характер и адресован узкому кругу исполнителей",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABFA020,Постановление Правительства РФ,"Акт нормативно-правового характера, в котором отражается регулирование отношений по основным вопросам, находящимся в компетенции Правительства РФ",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,AABFB,,Правовой акт Правительства РФ неправового характера,"Правовой акт неправового характера, издаваемый Правительством РФ",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABFB010,Обращение Правительства РФ,"Официальное обращение Правительства РФ, направленное в адрес граждан, Парламента и Федерального собрания и переданное в устной или письменной форме",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABFB020,Заявление Правительства РФ,Официальное сообщение Правительства РФ программно-политического содержания и переданное в устной или письменной форме,Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,AABG,,,"Правовой акт федеральных министерств, федеральных служб и федеральных агентств","Правовой акт, издаваемый федеральными министерствами, федеральными службами и федеральными агентствами, устанавливающий основные правила по оперативным, организационным, кадровым и другим вопросам внутренней работы федеральных органов исполнительной власти",Конституция Российской Федерации от 12.12.1993,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников,,
,,,,AABGA,,"Правовой акт федеральных министерств, федеральных служб и федеральных агентств нормативного характера","Нормативный правовой акт, издаваемый федеральными министерствами, федеральными службами и федеральными агентствами, устанавливающий основные правила по оперативным, организационным, кадровым и другим вопросам внутренней работы федеральных органов исполнительной власти",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABGA010,"Постановление федеральных министерств, федеральных служб и федеральных агентств","Акт управления общенормативного содержания, издаваемый федеральными министерствами, федеральными службами и федеральными агентствами в пределах их компетенций, на основе и во исполнение Конституции РФ, федеральных конституционных законов, федеральных законов и указов Президента РФ",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABGA020,"Приказ федеральных министерств, федеральных служб и федеральных агентств","Решение федеральных министерств, федеральных служб и федеральных агентств нормативного характера, содержащие перечисление предписываемых действий с указанием исполнителя каждого действия и сроков исполнения",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABGA030,"Распоряжение федеральных министерств, федеральных служб и федеральных агентств","Решение нормативного характера федеральных министерств, федеральных служб и федеральных агентств, который носит оперативный характер и адресован узкому кругу исполнителей",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABGA040,"Правило федеральных министерств, федеральных служб и федеральных агентств","Вид подзаконного нормативно-правового акта, принимаемого федеральными министерствами, федеральными службами и федеральными агентствами, где устанавливаются нормы и требования, обязательные для выполнения",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABGA050,"Инструкция федеральных министерств, федеральных служб и федеральных агентств","Вид подзаконного нормативно-правового акта, принимаемого федеральными министерствами, федеральными службами и федеральными агентствами, где излагается порядок осуществления какой-либо деятельности или порядок применения положений законодательных и иных нормативных актов",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABGA060,"Положение федеральных министерств, федеральных служб и федеральных агентств","Вид подзаконного нормативно-правового акта, принимаемого федеральными министерствами, федеральными службами и федеральными агентствами, где устанавливаются системно связанные между собой правила по вопросам, отнесенным к компетенции федеральных органов исполнительной власти",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABGA070,"Наставление федеральных министерств, федеральных служб и федеральных агентств","Вид подзаконного нормативно-правового акта, принимаемого федеральными министерствами, федеральными службами и федеральными агентствами, где устанавливаются нормы и требования, рекомендуемые для выполнения",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,AABGB,,"Правовой акт федеральных министерств, федеральных служб и федеральных агентств ненормативного характера","Правовой акт федеральных министерств, федеральных служб и федеральных агентств ненормативного характера, устанавливающий основные правила по оперативным, организационным, кадровым и другим вопросам внутренней работы федеральных органов исполнительной власти",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABGB010,"Указание федеральных министерств, федеральных служб и федеральных агентств","Организационно-распорядительный документ, издаваемый федеральными министерствами, федеральными службами и федеральными агентствами и являющийся резолюций без определенных сроков исполнения, но эти сроки могут установить руководители администрации",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,AABH,,,Акт Центрального банка РФ,"Официальный документ Центрального банка РФ в пределах ого компетенции, имеющий обязательную силу",Конституция Российской Федерации от 12.12.1993,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников,,
,,,,AABHA,,Акт Центрального банка РФ нормативного характера,"Официальный документ Центрального банка РФ в пределах ого компетенции нормативного характера, имеющий обязательную силу",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABHA010,Инструкция Центрального банка РФ,"Официальный документ Центрального банка РФ в пределах ого компетенции нормативного характера, содержащий правила по регулированию производственной и общественной деятельности",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABHA020,Положение Центрального банка РФ,"Нормативный акт Центрального банка РФ, устанавливающий права, обязанности, формы, порядок деятельности, ответственность организаций и должностных лиц",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABHA030,Указание Центрального банка РФ,"Организационно-распорядительный документ, издаваемый Центральным банком РФ и являющийся резолюций без определенных сроков исполнения, но эти сроки могут установить руководители администрации",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,AABHB,,Акт Центрального банка РФ ненормативного характера,"Официальный документ Центрального банка РФ в пределах ого компетенции ненормативного характера, имеющий обязательную силу",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABHB010,Официальное разъяснение Центрального банка РФ,"Официальный документ Центрального банка РФ в пределах ого компетенции ненормативного характера, предоставляющий пояснения в предметной области",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABHB020,Распорядительный акт Центрального банка РФ,"Официальный документ Центрального банка РФ в пределах ого компетенции ненормативного характера, позволяющий обеспечить реализацию поставленных задач",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABHB030,Методическая рекомендация Центрального банка РФ,"Официальный документ Центрального банка РФ в пределах ого компетенции ненормативного характера, раскрывающий порядок, логику и акценты для реализации задач",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABHB040,Положение о структурных подразделениях Центрального банка РФ,"Официальный документ Центрального банка РФ в пределах ого компетенции ненормативного характера, где устанавливаются системно связанные между собой правила по вопросам, отнесенным к компетенции Центрального банка РФ",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,,AABHB050,"Акт, содержащий только технический формат и иные технические требования Банка России","Официальный документ Центрального банка РФ в пределах ого компетенции ненормативного характера, имеющий обязательную силу и содержащий только технический формат и иные технические требования Центрального банка РФ",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,AABJ,,,Правовой акт Пенсионного фонда РФ,"Официальный документ установленной формы, принятый в пределах компетенции Пенсионного фонда РФ с соблюдением установленной законодательством процедуры, содержащий общеобязательные правила поведения, рассчитанные на неопределённый круг лиц и неоднократное применение",Конституция Российской Федерации от 12.12.1993,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников,,
,,,,AABJA,,Постановление Правления Пенсионного фонда РФ,"Акт управления общенормативного содержания, издаваемый Пенсионным фондом РФ в пределах его компетенций, на основе и во исполнение Конституции РФ, федеральных конституционных законов, федеральных законов и указов Президента РФ",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,AABJB,,Распоряжение Правления Пенсионного фонда РФ,"Акт ненормативного характера (индивидуально-правовой), издаваемый Правлением Пенсионного фонда РФ, который носит оперативный характер и адресован узкому кругу исполнителей",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,AABK,,,Правовой акт Федерального фонда обязательного медицинского страхования,"Официальный документ установленной формы, принятый в пределах компетенции Федерального фонда обязательного медицинского страхования с соблюдением установленной законодательством процедуры, содержащий общеобязательные правила поведения, рассчитанные на неопределённый круг лиц и неоднократное применение",Конституция Российской Федерации от 12.12.1993,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников,,
,,,,AABKA,,Приказ Федерального фонда обязательного медицинского страхования,"Решение Федерального фонда обязательного медицинского страхования нормативного характера, содержащие перечисление предписываемых действий с указанием исполнителя каждого действия и сроков исполнения",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,AABKB,,Распоряжение Федерального фонда обязательного медицинского страхования,"Акт ненормативного характера (индивидуально-правовой), издаваемый Федеральным фондом обязательного медицинского страхования, который носит оперативный характер и адресован узкому кругу исполнителей",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,AABKC,,Правило Федерального фонда обязательного медицинского страхования,"Вид подзаконного нормативно-правового акта, принимаемого Федеральным фондом обязательного медицинского страхования, где устанавливаются нормы и требования, обязательные для выполнения",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,AABKD,,Инструкция Федерального фонда обязательного медицинского страхования,"Официальный документ Федерального фонда обязательного медицинского страхования в пределах ого компетенции нормативного характера, содержащий правила по регулированию производственной и общественной деятельности",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,,AABKE,,Положение Федерального фонда обязательного медицинского страхования,"Официальный документ Федерального фонда обязательного медицинского страхования в пределах ого компетенции ненормативного характера, где устанавливаются системно связанные между собой правила по вопросам, отнесенным к компетенции Федерального фонда обязательного медицинского страхования",Конституция Российской Федерации от 12.12.1993,,,Сформулировано на основании результата анализа источников,,
,,,AABL,,,Правовой акт Фонда социального страхования РФ,"Официальный документ установленной формы, принятый в пределах компетенции Фонда социального страхования РФ с соблюдением установленной законодательством процедуры, содержащий общеобязательные правила поведения, рассчитанные на неопределённый круг лиц и неоднократное применение",Конституция Российской Федерации от 12.12.1993,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников,,
