Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,IFC-entity,IFC-Predefined Type,КСР,МССК,ПСК,Примечание,Синонимы,УИН
,,BEA,,датчик электрического поля,"объект для измерения электрического поля со скалярным выходом
-
Устройство, которое под воздействием физического явления создает электрический сигнал, характеризующий физическое явление.","ГОСТ IEC 60050-151-2014
",,IfcSensor,,,ЭЛ 40 55 20 10,,,,KSI060000018
,,BEB,,детектор электрического поля,объект индикации наличия электрического поля,,,IfcSensor,,,ЭЛ 40 55 20 17,,,,KSI060000019
,,BEC,,датчик магнитного поля,объект для измерения магнитного поля со скалярным выходом,Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,,,ЭЛ 40 55 20 10,,,,KSI060000020
,,BED,,детектор магнитного поля,объект индикации наличия магнитного поля,,,IfcSensor,,,ЭЛ 40 55 20 17,,,,KSI060000021
,BF_,,,объект для измерения расхода,объект для измерения потока,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000022
,,BFA,,датчик расхода,объект для измерения потока со скалярным выходом,Большая строительная энциклопедия stroi.gov.ru,,IfcFlowMeter,,,"ЭЛ 40 15 36
ЭЛ 40 15 38
ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,,KSI060000023
,,,BFA10,датчик расхода газа,,,,IfcFlowMeter,GASMETER,,,,,,KSI060000889
,,,BFA20,датчик расхода жидкости,,,,IfcFlowMeter,WATERMETER,,,,,,KSI060000890
,,,BFA30,датчик расхода твердого вещества,,,,IfcFlowMeter,,,,,,,KSI060000891
,,BFB,,реле потока,объект индикации наличия потока измеряемой среды,,,IfcSensor,,,,,,,KSI060000024
,,BFC,,топливораздаточная колонка,предназначены для измерения объема нефтепродуктов при его фактической температуре и отпуска нефтепродуктов при заправке транспортных средств и в тару клиентов,ГОСТ Р 58404-2019,,IfcBuildingElementProxy,,,,,,,KSI060000845
,,BFD,,маслораздаточная колонка,предназначены для измерения объема и отпуска масел в тару клиентов,ГОСТ Р 58404-2019,,IfcBuildingElementProxy,,,,,,,KSI060000846
,BG_,,,объект для измерения физических параметров,объект для измерения пространственных измерения и/или положения,ISO 81346-2:2019,Вид измеряемой переменной и вид выходного сигнала,,,,,,,,KSI060000025
,,BGA,,датчик положения,"объект для измерения физических размеров положения со скалярным выходом
-
Дополнительный блок, дающий информацию о положении выходного элемента исполнительного механизма (для исполнительного механизма) или затвора исполнительного устройства (для исполнительного устройства)",Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000026
,,BGB,,детектор изменения положения,объект индикации изменения положения объекта,,,IfcSensor, ,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 12",,,,KSI060000027
,,BGC,,датчик расстояния,объект для измерения физических размеров длины (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000028
,,BGD,,детектор линейного перемещения,объект индикации изменения расстояния (линейного),,,IfcSensor, ,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000029
,,BGE,,датчик угла поворота,объект для измерения величины угла или направления (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000030
,,BGF,,детектор углового перемещения,объект индикации изменения расстояния (углового),,,IfcSensor, ,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000031
,,BGG,,сканер объектов,объект для измерения линейных размеров физического объекта,,,IfcSensor, ,,,,,,KSI060000032
,,BGH,,датчик габаритов,,,,IfcSensor, ,,,,,,KSI060000033
,BH_,,,объект для измерения энергии,объект для измерения энергии,ISO 81346-2:2019,Вид энергии,,,,,,,,KSI060000034
,,BHA,,датчик расхода энергии,объект для измерения энергии потока с заданной плотностью энергии,Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,"ЭЛ 40 50 20 60
ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,,KSI060000035
,,BHB,,тепловой датчик,объект для измерения энергии теплового потока с заданной теплоемкостью,Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,"ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,,KSI060000036
,,BHC,,датчик электроэнергии,объект для измерения энергии электрического потока,Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000037
,BJ_,,,объект для измерения мощности,объект для измерения мощности,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000038
,,BJA,,датчик мощности,объект для измерения мощности (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcFlowInstrument,POWERFACTORMETER,,"ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,,KSI060000039
,,BJB,,реле мощности,"объект индикации наличия мощности 
-
Измерительное реле с более чем одной входной возбуждающей величиной, например электрический ток и напряжения, которое по своей конструкции предназначено реагировать только на мощность",ГОСТ IEC 60050-447-2014,,IfcSensor, ,,,,,,KSI060000040
,BK_,,,объект для измерения времени,объект для измерения времени,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000041
,,BKA,,таймер,"объект для измерения времени (скалярное значение)
-
Управляющее устройство с отсчетом времени, которое требует ручного запуска для начала следующего цикла.",ГОСТ IEC 60730-1-2011,,IfcElectricTimeControl,TIMEDELAY,,,,,,KSI060000042
,,BKB,,реле времени,"объект индикации изменения времени
-
Управляющее устройство с отсчетом времени, которое начинает следующий цикл после завершения предыдущего.","ГОСТ IEC 60730-1-2011
",,IfcElectricTimeControl,RELAY," 89.1.62.01-0778
89.1.62.01-0779
 89.1.62.01-0780
 89.1.62.01-0781
 89.1.62.01-0782
 89.1.62.01-0783
 89.1.62.01-0784
 89.1.62.01-0785
 89.1.62.01-0786
 89.1.62.01-0787
 89.1.62.01-0788
 89.1.62.01-0789
 89.1.62.01-0790
 89.1.62.01-0791
 89.1.62.01-0792
 89.1.62.01-0793
 89.1.62.01-0794
 89.1.62.01-0795
 89.1.62.01-0796
 89.1.62.01-0797
 89.1.62.01-0798
 89.1.62.01-0799
 89.1.62.01-0800
 89.1.62.01-0801
 89.1.62.01-0802
 89.1.62.01-0803
 89.1.62.01-0804
 89.1.62.01-0805
 89.1.62.01-0806
 89.1.62.01-0807
 89.1.62.01-0808
 89.1.62.01-0809
 89.1.62.01-0810
 89.1.62.01-0811
 89.1.62.01-0812
",ЭЛ 40 55 20 14,,,,KSI060000043
,BL_,,,объект для измерения уровня,объект для измерения уровня,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000044
,,BLA,,датчик уровня,объект для измерения уровня (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,LEVELSENSOR,ЭЛ 40 55 20 10,ЭЛ 40 55 20 10,,,,KSI060000045
,,BLB,,индикатор уровня,объект индикации изменения уровня,,,IfcSensor,LEVELSENSOR,ЭЛ 40 55 20 25,,,,,KSI060000046
,BM_,,,объект для измерения влажности,объект для измерения влажности,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000047
,,BMA,,датчик влажности,"объект для измерения влажности (скалярное значение)
-
Первичный измерительный преобразователь величин влажности в другие физические величины для удобства измерения, например в электрические величины",Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,HUMIDITYSENSOR,,ЭЛ 40 55 20 10,,,,KSI060000048
,,BMB,,реле влажности,объект индикации наличия влажности,,,IfcSensor,MOISTURESENSOR,,ЭЛ 40 55 20 10,,,,KSI060000049
,BP_,,,объект для измерения давления,объект для измерения давления,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000050
,,BPA,,датчик абсолютного давления,"объект для измерения давления, использующий один порт для измерения абсолютного давления (скалярное значение)
-
Датчик абсолютного давления измеряет давление относительно абсолютного вакуума (нулевого давления).",Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,PRESSURESENSOR,,"ЭЛ 40 55 20 13
ЭЛ 40 55 20 10",,,,KSI060000051
,,BPB,,реле абсолютного давления,объект индикации наличия абсолютного давления,,,IfcSensor,PRESSURESENSOR,,,,,,KSI060000052
,,BPC,,датчик относительного давления,"объект для измерения давления, использующий два порта для измерения перепада давления (скалярное значение)",Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,PRESSURESENSOR,,"ЭЛ 40 55 20 13
ЭЛ 40 55 20 10",,,,KSI060000053
,,BPD,,реле относительного давления,"объект индикации наличия относительного давления, использующий два порта для измерения перепада давления",,,IfcSensor,PRESSURESENSOR,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000054
,BQ_,,,объект для измерения концентрации веществ,объект для измерения концентрации вещества,ISO 81346-2:2019,Вид объекта и вид выходного сигнала,,,,,,,,KSI060000055
,,BQA,,датчик газа,объект для измерения концентрации газа (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,COSENSOR,,ЭЛ 40 55 20 10,,,,KSI060000056
,,BQB,,детектор газа,объект индикации определенной концентрации газа,,,IfcSensor,GASSENSOR,,ЭЛ 40 55 20 17,,,,KSI060000057
,,BQC,,датчик жидкости,объект для измерения концентрации жидкости (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,FLOWSENSOR,,ЭЛ 40 55 20 10,,,,KSI060000058
,,BQD,,детектор жидкости,объект индикации концентрации жидкости,,,IfcSensor,FLOWSENSOR,,ЭЛ 40 55 20 17,,,,KSI060000059
,,BQE,,датчик твердых веществ,объект для измерения концентрации твердых веществ (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000060
,,BQF,,детектор твердых веществ,объект индикации наличия определенной концентрации твердых веществ,,,IfcSensor, ,,ЭЛ 40 55 20 17,,,,KSI060000061
,BR_,,,объект для измерения излучения,объект для измерения излучения,ISO 81346-2:2019,Вид излучения и вид выходного сигнала,,,,,,,,KSI060000062
,,BRA,,датчик света,объект для измерения излучения видимых электромагнитных волн (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,LIGHTSENSOR,,ЭЛ 40 55 20 10,,,,KSI060000063
,,BRB,,фотореле,объект индикации наличия определенной степени излучения видимых электромагнитных волн,,,IfcSensor, ,"89.1.62.01-0882
89.1.62.01-0882
89.1.62.01-0883
89.1.62.01-0884
89.1.62.01-0885
89.1.62.01-0886
89.1.62.01-0887
89.1.62.01-0888
89.1.62.01-0889
89.1.62.01-0890
","ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000064
,,BRC,,датчик электромагнитных волн,объект для измерения излучения невидимых электромагнитных волн (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000065
,,BRD,,электромагнитное реле,"объект индикации наличия излучения невидимых электромагнитных волн
-
Электромеханическое реле, предопределенная реакция которого является результатом действия электромагнитных сил.",ГОСТ IEC 61810-1-2013,,IfcSensor, ,"89.1.62.01-0843
89.1.62.01-0844
89.1.62.01-0845
89.1.62.01-0846
89.1.62.01-0847
89.1.62.01-0848
89.1.62.01-0849
89.1.62.01-0850
89.1.62.01-0851
89.1.62.01-0852
89.1.62.01-0853
89.1.62.01-0854
89.1.62.01-0855
89.1.62.01-0856
89.1.62.01-0857
89.1.62.01-0858
89.1.62.01-0859
89.1.62.01-0860
89.1.62.01-0861
89.1.62.01-0862
89.1.62.01-0863
89.1.62.01-0864
89.1.62.01-0865
89.1.62.01-0866
89.1.62.01-0867
89.1.62.01-0868",,,,,KSI060000066
,,BRE,,датчик излучения,объект для измерения излучения ионизирующих частиц (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,"IONCONCENTRATIONSENSOR
",,"ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,,KSI060000067
,,BRF,,детектор излучения,объект индикации излучения ионизирующих частиц,,,IfcSensor,"IONCONCENTRATIONSENSOR
",,ЭЛ 40 55 20 17,,,,KSI060000068
,BS_,,,объект оценки временем,объект для измерения интенсивности чего-либо по времени,ISO 81346-2:2019,Вид измеряемого объекта времени и вид выходного сигнала,,,,,,,,KSI060000069
,,BSA,,датчик продолжительности цикла,объект для измерения времени неповторяющихся циклов действий (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000070
,,BSB,,реле продолжительности цикла,объект индикации времени неповторяющихся циклов действий ,,,IfcSensor, ,,,,,,KSI060000071
,,BSC,,датчик скорости,объект для измерения скорости (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000072
,,BSD,,реле контроля скорости,объект индикации скорости,,,IfcFlowInstrument , ,,ЭЛ 40 55 20 17,,,,KSI060000073
,,BSE,,тахометр,"объект для измерения скорости вращения (скалярное значение).
Прибор для измерения угловой скорости вращающихся частей машин, механизмов и приборов ","ГОСТ 18303-72
",,IfcSensor, ,,"ЭЛ 40 55 20 20
ЭЛ 40 55 20 10",,,,KSI060000074
,,BSF,,реле скорости вращения,объект индикации наличия скорости вращения,,,IfcSensor, ,,,,,,KSI060000075
,,BSG,,датчик ускорения,объект для измерения ускорения (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000076
,,BSH,,реле ускорения,объект индикации ускорения,,,IfcSensor, ,,,,,,KSI060000077
,BT_,,,объект для измерения температуры,объект для измерения температуры,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000078
,,BTA,,датчик температуры,"объект для измерения температуры (скалярное значение)
-
Компонент, определяющий температуру контролируемой или окружающей среды.","ГОСТ EN 1020-2014
",,IfcSensor,TEMPERATURESENSOR,,ЭЛ 40 55 20 10,,,,KSI060000079
,,BTB,,температурное реле,объект индикации наличия температуры,,,IfcSensor,TEMPERATURESENSOR,,ЭЛ 40 55 20 17,,,,KSI060000080
,BU_,,,объект для измерения множества величин параметров,объект для измерения множества величин,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000081
,,BUA,,многосенсорное измерительное устройство,объект для измерения множества величин (одно или несколько скалярных значений),,,IfcSensor, ,,,,,,KSI060000082
,,BUB,,многоканальный детектор,объект индикации наличия множества величин,,,IfcSensor, ,,ЭЛ 40 55 20 17,,,,KSI060000083
,BW_,,,объект для измерения силы,"объект для измерения веса, усилия или крутящего момента",ISO 81346-2:2019,"Вид измеряемого объекта и вид выходного
сигнала",,,,,,,,KSI060000084
,,BWA,,датчик веса,объект для измерения веса (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000085
,,BWB,,реле весовой нагрузки,объект для измерения веса с логическим выходом,,,IfcSensor, ,,,,,,KSI060000086
,,BWC,,датчик усилия,объект для измерения усилий (скалярное значений),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000087
,,BWD,,реле усилия,объект индикации наличия усилия,,,IfcSensor, ,,,,,,KSI060000088
,,BWE,,датчик крутящего момента,объект для измерения крутящего момента (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000089
,,BWF,,реле крутящего момента,объект индикации крутящего момента,,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000090
,BX_,,,объект аудиовизуального восприятия,"объект измерения, чувствительный к звуку и/ или визуальному проявлению",ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000091
,,BXA,,акустический приемник,аудио чувствительный объект воспринимающий звуковые волны (скалярное значение),,,IfcSensor,,,,,,,KSI060000092
,,BXB,,акустический детектор,аудио чувствительный объект индикации наличия звука,,,IfcSensor,,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000093
,,BXC,,видео датчик,аудио-визуально чувствительный объект для реагирования на визуальное проявление (скалярное значение),,,IfcSensor,,,ЭЛ 40 55 20 10,,,,KSI060000094
,,BXD,,детектор изображения,аудио-визуально чувствительный объект для реагирования на визуальное проявление,,,IfcSensor,,,ЭЛ 40 55 20 17,,,,KSI060000095
,BY_,,,объект для считывания информации,"объект, для считывания хранимой информации",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000096
,,BYA,,устройство чтения микросхем,объект для считывания информации путем электрического соединения,,,IfcSensor,,,,,,,KSI060000097
,,BYB,,электромагнитное считывающее устройство,объект для считывания информации путем электромагнитного поля,,,IfcSensor,,,,,,,KSI060000098
,,BYC,,оптическое считывающее устройство,объект для считывания информации при помощи светового луча,,,IfcSensor,,,,,,,KSI060000099
,BZ_,,,объект для подсчета некоторых событий или количеств,объект для измерения событий или количеств,ISO 81346-2:2019,Вид или количество измеряемых событий,,,,,,,,KSI060000100
,,BZA,,счетчик,"объект для измерения событий, регистрирующий некоторые события (скалярное значение)
-
Термин общего характера для обозначения установки (такой как счетчик Гейгера или сцинтилляционный счетчик), которая показывает или записывает число физических событий, регистрируемых на протяжении заданного интервала времени","ГОСТ Р МЭК 60050-881-2008
",,IfcSensor, ,,ЭЛ 40 55 20 14,,,,KSI060000101
,,BZB,,пороговый счетчик,объект индикации порогового значения некоторых событий,,,IfcSensor,,,ЭЛ 40 55 20 14,,,,KSI060000102
,,BZC,,детектор присутствия человека,объект индикации присутствия человека,,,IfcSensor,MOVEMENTSENSOR,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000103
,,BZD,,детектор предметов,объект индикации присутствия твердых веществ,,,IfcSensor,OBSTACLESENSOR,,ЭЛ 40 55 20 17,,,,KSI060000104
,,BZE,,датчик интенсивности,,СТОАВТОДОР 8.6-2016,,IfcSensor ,,,ЭЛ 40 55 20 10,,,,KSI060000105
C_,,,,объект для хранения и извлечения,объект для хранения и последующего извлечения,ISO 81346-2:2019,"Вид объекта хранения и
применяемый метод",,,,,,,,KSI060000106
,CA_,,,объект емкостного хранения,объект для хранения электрической энергии в электростатическом поле,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000107
,,CAA,,конденсатор,"емкостный объект для хранения электрического заряда
-
Устройство, основным свойством которого является электрическая емкость.",ГОСТ 31636.3-2012,,IfcElectricFlowStorageDevice,CAPACITOR,,ЭЛ 40 50 70 01,,,,KSI060000108
,CB_,,,объект индуктивного хранения,объект для хранения электрической энергии в электромагнитном поле,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000109
,,CBA,,индуктор,индуктивный объект для хранения индуктивного заряда,,,IfcElectricFlowStorageDevice,INDUCTOR,,ЭЛ 40 50 70 03,,,,KSI060000110
,CC_,,,объект электрохимического хранения,объект для хранения электрической энергии в электрохимическом веществе,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000111
,,CCA,,аккумуляторная батарея,"электрохимический объект для хранения путем обратимых реакций
-
Два или более аккумуляторов, соединенных вместе и используемых как источник электроэнергии.",ГОСТ Р МЭК 62485-2-2011,,IfcElectricFlowStorageDevice,BATTERY,,ЭЛ 40 50 70 06,,,,KSI060000112
,CF_,,,объект для хранения информации,объект для хранения информации,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000113
,,CFA,,носитель информации,"объект для хранения информации на переносном носителе
-
Материальный объект, в том числе физическое поле, в котором информация находит свое отображение в виде символов, образов, сигналов, технических решений и процессов, количественных характеристик физических величин.",ГОСТ Р 50922-2006,,IfcCommunicationsAppliance,,,,,,,KSI060000114
,CL_,,,открытый стационарный объект для хранения или размещения,объект в стационарном открытом корпусе для хранения веществ или размещения людей ,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000115
,,CLA,,открытый резервуар,"открытый стационарный объект для хранения жидкостей
-
Стационарный сосуд, предназначенный для хранения газообразных, жидких и других веществ","СТО 70238424.27.010.001-2008
",,IfcTank,STORAGE,,ЭЛ 40 50 10 36,,,,KSI060000116
,,CLB,,полка,"открытый стационарный объект для хранения объектов
-
Мебельное изделие без передней стенки, с задней стенкой или без нее, для размещения книг или других предметов "," ГОСТ 20400-2013
",,IfcFurniture,SHELF,,"ЭЛ 40 60 10
ЭЛ 40 60 10 19
ЭЛ 40 60 10 20",,,,KSI060000117
,,CLC,,посадочное место,открытый объект для расположения людей,,,IfcFurniture, ,,"ЭЛ 40 60 10
ЭЛ 40 60 10 13
ЭЛ 40 60 10 24",,,,KSI060000118
,,CLD,,стул,"Изделие мебели для сидения одного человека, со спинкой, с подлокотниками или без подлокотников, с высотой сиденья, функционально удобной при сидении за столами различного вида и назначения.", ГОСТ 20400-2013,,IfcFurniture,CHAIR,,ЭЛ 40 60 10 24,,,,KSI060000878
,,CLE,,диван,"Изделие мебели для сидения нескольких человек, со спинкой, подлокотниками или без них.", ГОСТ 20400-2013,,IfcFurniture,SOFA,,ЭЛ 40 60 10 13,,,,KSI060000879
,,CLF,,кровать,"Изделие мебели, предназначенное для отдыха и сна человека в положении лежа, конструкция которого включает каркас кровати
", ГОСТ 20400-2013,,IfcFurniture,BED,,ЭЛ 40 60 10 17,,,,KSI060000880
