c_1,c_2,c_3,c_4,c_5,lev_1,lev_2,lev_3,lev_4,lev_5,code,def,source,type,list,ifc,par_1,par_2,sect,sect_parts,synonyms,ksi_uin
,,,D,,,,,Система молниезащиты,,SFPD,,,,,,,,,,,KSI210000856
,,,E,,,,,Система электрохимической защиты,,SFPE,,,,,,,,,,,KSI210000857
,,,,0001,,,,,Вид электрохимической защиты,SFPE0001,Вид электрохимической защиты по типу средств электрохимической защиты,"ГОСТ Р 51164-98 
СП 36.13330.2012 ",Из списка,"Установки катодной защиты (УКЗ)
 Установки протекторной защиты (УПЗ)
 Установки дренажной защиты (УДЗ)",,,,"<FnS>
<TeS>
<Cen>",,,KSI210002072
,,,F,,,,,Система вибросейсмозащиты,,SFPF,,,,,,,,,,,KSI210000858
,,,G,,,,,Система защиты от механических воздействий,,SFPG,,,,,,,,,,,KSI210000859
,,Q,,,,,Система хранения,,,SFQ_,,,,,,,,,,,KSI210000860
,,,A,,,,,Система хранения результатов измерений,,SFQA,,,,,,,,,,,KSI210000861
,,,B,,,,,Система хранения воздуха и газа,,SFQB,,,,,,,,,,,KSI210000862
,,,C,,,,,Система хранения жидкости,,SFQC,,,,,,,,,,,KSI210000863
,,,D,,,,,Система накопления энергии,,SFQD,,,,,,,,,,,KSI210000864
,,R,,,,,Система обустройства (оснащения),,,SFR_,,,,,,,,,,,KSI210000865
,,,A,,,,,Система озеленения,,SFRA,,,,,,,,,,,KSI210000866
,,,B,,,,,Система материально-технического оснащения,,SFRB,,,,,,,,,,,KSI210000867
,,,C,,,,,Система оборудования,,SFRC,,,,,,,,,,,KSI210000868
,,X,,,,,Универсальные,,,SFX_,,,,,,,,,,,KSI210000869
,,,,0001,,,,,Категория трубопровода (участка),SFX_0001,"Показатель, обозначающий для рассматриваемого трубопровода (участка) выполнение определенных условий по прочности.",СП 36.13330.2012,Из списка,"B; 
I; 
II; 
III; 
IV",,,,"<FnS>
<TeS>","<FnS>E
<FnS>F
<FnS>G
<FnS>H
<TeS>CG
<TeS>HA
<TeS>HB
<TeS>HC
<TeS>HD
<TeS>HE",,KSI210000870
,,,,0002,,,,,Номинальный (условный) проход,SFX_0002,"Параметр, применяемый для трубопроводных систем в качестве характеристики присоединительных частей, например соединений трубопроводов, фитингов и арматуры",СП 485.1311500.2020,Текстовый,,,,,"<FnS>
<TeS>","<FnS>E
<FnS>F
<FnS>G
<FnS>H
<TeS>CG
<TeS>HA
<TeS>HB
<TeS>HC
<TeS>HD
<TeS>HE",,KSI210000871
,,,,0003,,,,,Объем воды,SFX_0003,"Количество воды, прошедшей через живое сечение за заданный интервал времени.",,Числовой,,,,,"<FnS>
<TeS>","<FnS>E
<FnS>F
<FnS>G
<FnS>H
<TeS>CG
<TeS>HA
<TeS>HB
<TeS>HC
<TeS>HD
<TeS>HE",,KSI210000872
,,,,0004,,,,,Принцип подачи воздуха и тепло- и хладоносителей,SFX_0004,,СП 336.1325800.2017,Из списка,"прямоточная
рециркуляционная
центральная
местная",,,,"<FnS>
<TeS>","<FnS>E
<FnS>F
<FnS>G
<FnS>H
<TeS>CG
<TeS>HA
<TeS>HB
<TeS>HC
<TeS>HD
<TeS>HE",,KSI210000873
,,,,0005,,,,,Расход воды,SFX_0005,"Отношение объема воды, протекшей через счетчик, ко времени, за которое этот объем воды прошел через него.",ГОСТ Р 50193.1-92,Числовой,,,,,"<FnS>
<TeS>","<FnS>E
<FnS>F
<FnS>G
<FnS>H
<TeS>CG
<TeS>HA
<TeS>HB
<TeS>HC
<TeS>HD
<TeS>HE",,KSI210000874
,,,,0006,,,,,Расчетная тепловая мощность ,SFX_0006,"Сумма максимальных часовых расходов тепловой энергии на отопление, вентиляцию и кондиционирование, средних часовых расходов тепловой энергии на горячее водоснабжение и расходов тепловой энергии на технологические цели, а также расходов тепловой энергии на собственные нужды котельной, потери в котельной и в тепловых сетях с учетом энергетической эффективности системы", СП 89.13330.2016 ,Числовой,,,,,"<FnS>
<TeS>","<FnS>H
<FnS>J
<TeS>HD
<TeS>HE
<TeS>HF
<TeS>JG
<TeS>JH
<TeS>JJ",,KSI210000875
,,,,0007,,,,,Требуемый напор ,SFX_0007,"Минимальное значение надкавитационного напора для номинальной подачи, обеспечивающее работу насоса без падения напора, КПД и без увеличения шума от кавитации.",ГОСТ Р 54806-2011,Числовой,,,,,"<FnS>
<TeS>","<FnS>E
<FnS>F
<FnS>G
<FnS>H
<TeS>CG
<TeS>HA
<TeS>HB
<TeS>HC
<TeS>HD
<TeS>HE",,KSI210000876
,,,,0008,,,,,Установленная мощность,SFX_0008,"Мощность, с которой электроустановка, оборудование может работать длительное время при номинальных параметрах и/или нормальных условиях.","ГОСТ Р 57114-2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128 ",Числовой,,,"ПР 40 80 10
ПР 40 85 13",,"<FnS>
<TeS>","<FnS>K
<TeS>HG
<TeS>JK",,KSI210000877
,,U,,,,,Пользовательские,,,SFU_,,,,,,,,,,,KSI210000878
,U,,,,,Пользовательские,,,,SU__,,,,,,,,,,,KSI210000879
C,,,,,Компоненты,,,,,C___,,,,,,,,,,,KSI210000880
,N,,,,,Идентификация,,,,CN__,,,,,,,,,,,KSI210000881
,,,,0001,,,,,"Вид грунта (скального грунта  по химическим структурным связям; дисперсного грунта по физическим, физико-химическим и механическим структурным связям; мерзлого грунта по  структурным связям; немерзлых грунтов по криогенным связям; техногенного грунта по методам создания или преобразования исходных грунтов)",CN__0001,Классификация грунтов по вещественному составу,ГОСТ 25100-2020,Текстовый,,,,,<Com>,,,KSI210000882
,,,,0003,,,,,Вид опоры,CN__0003,,СТО НОСТРОЙ 2.25.42-2011,Из списка,"Деревянные
Металлические
Железобетонные:
- переменного поперечного сечения,
- постоянного поперечного сечения,
- составные",,,,<Com>,UL_,,KSI210000883
,,,,0004,,,,,Марка трубы,CN__0004,Содержит значение основных характеритсик изделия,,Текстовый,,,,,"<Com>
<CPr>","<Com>WPA
<CPr>CAAA__
<CPr>CAAB__
<CPr>CAAC__
<CPr>CAAD__
<CPr>CAAE__",,KSI210000884
,,,,0005,,,,,Тип болтового соединения,CN__0005,,ГОСТ 23118-2019,Из списка,"фрикционные
фланцевые
срезные
фрикционно-срезные на высокопрочных болтах",,,,"<Com>
<CPr>","<Com>UQB
<CPr>AKADB
<CPr>AKADC
<CPr>AKAG
<CPr>FCG
<CPr>FCJB
<CPr>FDBA",,KSI210000885
,,,,0006,,,,,Тип конструкции,CN__0006,"Указываются тип конструкции, согласно СП 266.1325800","СП 333.1325800.2020
СП 266.1325800.2016",Из списка,"Сталежелезобетонные плиты с профилированным настилом; 
Комбинированные балки; 
Железобетонные конструкции с жесткой арматурой, работающие на центральное или внецентренное сжатие, растяжение; 
Железобетонные конструкции с жесткой арматурой, работающие на центральное или внецентренное сжатие, растяжение;
Трубобетонные конструкции с внешней стальной оболочкой в виде круглой трубы с ядром",,ПР 40 41 22,,"<Com>
<TeS>","<Com>*
<TeS>A_
<TeS>B_
<TeS>C_",,KSI210000886
,,,,0007,,,,,Вид по заполнению каркаса ограждения,CN__0007,Указывается вид по заполнению каркаса ограждения согласно ГОСТ 25772,СП 333.1325800.2020,Из списка,"Решетчатые (Р); 
Экранные (с навеской экранов из листовых, плитных или светопрозрачных материалов) (Э); 
Комбинированные (с решетчатыми и экранными участками) (К)",,,,<Com>,RU_,,KSI210000887
,,,,0008,,,,,Класс грунта,CN__0008,Классификация грунтов по природе структурных связей,ГОСТ 25100-2020,Из списка,"Скальные
Дисперсные
Мерзлые
Техногенные ",,,,"<Com>
<CMa>","<Com>UU_
<Com>UCB
<CMa>AH__",,KSI210000888
,,,,0009,,,,,Подкласс грунта,CN__0009,"Классификация грунтов по структурам грунтов, образованных соответствующими структурными связями",ГОСТ 25100-2020,Из списка,"Кристаллизационные
Цементационные
Несвязные
Связные
Скальные мерзлые
Дисперсные мерзлые
Ледяные",,,,,,,KSI210000889
,,,,0010,,,,,Тип грунта,CN__0010,Классификация грунтов по основным генетическим категориям (происхождению),ГОСТ 25100-2020,Из списка,"Магматические
Метаморфические
Вулканогенно-осадочные
Осадочные
Элювиальные
Льды конституционные (грунтовые)",,,,,,,KSI210000890
,,,,0011,,,,,"Подтип грунта  (скальных, дисперсных, мерзлых, техногеннх грунтов)",CN__0011,Классификация грунтов по условиям образования,ГОСТ 25100-2020,Текстовый,,,,,,,,KSI210000891
,,,,0012,,,,,"Подвид грунта  (скальных, дисперсных, мерзлых, и подвиды техногеннх грунтов по особенностям технологий создания или изменения)",CN__0012,Классификация грунтов по петрографическому или литологическому составу,ГОСТ 25100-2020,Текстовый,,,,,,,,KSI210000892
,,,,0013,,,,,"Разновидность грунта (скальных, дисперсных, природных мерзлых грунтов)",CN__0013,"Классификация грунтов по количественным показателям состава, строения, состояния и свойств грунтов",ГОСТ 25100-2020,Текстовый,,,,,,,,KSI210000893
,,,,0014,,,,,Группа стальных конструкций,CN__0014,"Классификация стальных конструкций в зависимости от назначения, условий работы и наличия сварных соединений конструкций",СП 16.13330.2017,Из списка,"1
2
3
4",,,,<Com>,,,KSI210000894
,,,,0015,,,,,Вид насоса по виду рабочей камеры и ее сообщением со входом и выходом насоса,CN__0015,,ГОСТ ISO 17769-1-2014,Из списка,"динамический
объемный",,,,<Com>,"GPA
GPB",,KSI210000895
,,,,0016,,,,,"Вид насоса по виду сил, действующих на жидкую среду",CN__0016,,ГОСТ ISO 17769-1-2014,Из списка,"лопастной
электромагнитный
трения",,,,<Com>,"GPA
GPB",,KSI210000896
,,,,0017,,,,,Вид насоса по характеру движения ведущего звена и рабочих органов,CN__0017,,ГОСТ ISO 17769-1-2014,Из списка,"крыльчатый
роторный
возвратно-поступательный
вращательный
поворотный
прямодействующий",,,,<Com>,"GPA
GPB",,KSI210000897
,,,,0018,,,,,Вид насоса по движению жидкой среды,CN__0018,,ГОСТ ISO 17769-1-2014,Из списка,"центробежный
осевой
диагональный
центробежновихревой
вихревой
дисковый
свободно-вихревой
наклонно-дисковой
вибрационный
струйный
шнековый
черпаковый",,,,<Com>,"GPA
GPB",,KSI210000898
,,,,0019,,,,,Вид насоса по виду рабочих органов,CN__0019,,ГОСТ ISO 17769-1-2014,Из списка,"жестко-лопастной
поворотно-лопастной
закрыто-вихревой
открыто-вихревой
лабиринтный
червячный",,,,<Com>,"GPA
GPB",,KSI210000899
,,,,0020,,,,,Вид насоса по виду отвода,CN__0020,,ГОСТ ISO 17769-1-2014,Из списка,"со спиральным отводом
с направляющим аппаратом
с кольцевым отводом
с двухзавитковым отводом
с полуспиральным отводом",,,,<Com>,"GPA
GPB",,KSI210000900
,,,,0021,,,,,Вид насоса по конструкции рабочего колеса,CN__0021,,ГОСТ ISO 17769-1-2014,Из списка,"с открытым рабочим колесом
с закрытым рабочим колесом",,,,<Com>,"GPA
GPB",,KSI210000901
,,,,0022,,,,,Вид перекрытия/покрытия,CN__0022,,СП 333.1325800.2020,Из списка,"монолитный
сборный",,,,"<Com>
<CPr>",,,KSI210000902
,,,,0023,,,,,Вид плиты,CN__0023,,СП 333.1325800.2020,Из списка,"монолитный
сборный",,,,"<Com>
<CPr>",,,KSI210000903
,,,,0024,,,,,Вид рамы,CN__0024,,СП 333.1325800.2020,Из списка,"составная
не составная",,,,<Com>,UNA,,KSI210000904
,,,,0025,,,,,Вид лестничной площадки,CN__0025,,СП 333.1325800.2020,Из списка,"монолитный
сборный",,,,"<Com>
<CPr>",,,KSI210000905
,,,,0026,,,,,Вид лестничного марша,CN__0026,,СП 333.1325800.2020,Из списка,"монолитный
сборный",,,,"<Com>
<CPr>",,,KSI210000906
,,,,0027,,,,,Вид плиты перегородочной,CN__0027,Вид плиты согласно ГОСТ 379-2015; ГОСТ 6428-2018,"СП 333.1325800.2020
ГОСТ 379-2015
ГОСТ 6428-2018",Из списка,"полнотелая
пустотелая",,,,<Com>,RUA,,KSI210000907
,,,,0028,,,,,Вид расцепителя по ГОСТ 9098-78,CN__0028,Вид расцепителя согласно ГОСТ 9098-78,"СП 333.1325800.2020
ГОСТ 9098-78",Из списка,"максильманый
независимый
минимальный
нулевой",,,,,,,KSI210000908
,,,,0029,,,,,Вид теплогенератора,CN__0029,,СП 333.1325800.2020,Текстовый,,,,,<Com>,EMA,,KSI210000909
,,,,0030,,,,,Класс энергетической эффективности электроприбора,CN__0030,"Характеристика продукции, отражающая ее энергетическую эффективность.","СП 333.1325800.2020
Федеральный закон от 23.11.2009 N 261-ФЗ",Из списка,"A+++; 
A++; 
A+; 
A;  
B; 
C; 
D; 
E; 
F; 
G",,,,,,,KSI210000910
,,,,0031,,,,,Наименование ПК,CN__0031,Наименование персонального компьютера,СП 333.1325800.2020,Текстовый,,,,,"<Com>
<CPr>",,,KSI210000911
,,,,0032,,,,,Наименование ПО,CN__0032,Наименование программного обеспечения,СП 333.1325800.2020,Текстовый,,,,,<Com>,KEA,,KSI210000912
,,,,0033,,,,,Наименование принтера,CN__0033,,СП 333.1325800.2020,Текстовый,,,,,<Com>,PHC,,KSI210000913
,,,,0034,,,,,Наименование телефона,CN__0034,,СП 333.1325800.2020,Текстовый,,,,,"<Com>
<CPr>",,,KSI210000914
,,,,0035,,,,,Тип профиля молниеприемника,CN__0035,"Тип профиля молниеприемника в соответствии с Паспортом изделия, согласно ГОСТ Р МЭК 62561.2-2014",ГОСТ Р МЭК 62561.2-2014,Из списка,"Сплошная полоса; 
Сплошной круглый; 
Многопроволочный",,,,<Com>,XEF,,KSI210000915
,,,,0036,,,,,Тип материала молниеприемника,CN__0036,"Тип материала молниеприемника в соответствии с Паспортом изделия, согласно ГОСТ Р МЭК 62561.2-2014",ГОСТ Р МЭК 62561.2-2014,Из списка,"Медь, луженая медь;
Алюминий; 
Алюминиевый сплав, покрытый медью; 
Алюминиевый сплав; 
Сталь горячего оцинкования; 
Сталь, покрытая медью; 
Нержавеющая сталь",,,,<Com>,XEF,,KSI210000916
,,,,0037,,,,,Тип водостока по СП 30.13330,CN__0037,,СП 30.13330.2020,Из списка,"Напорный;
 Самотечный; 
Вакуумный (сифонно-вакуумный)",,,,"<Com>
<CPr>",,,KSI210000917
,,,,0038,,,,,Наличие мерзлотно-грунтовых условий,CN__0038,,СП 18.13330.2019,Из списка,"Простые
Сложные
Особо сложные",,,,"<Com>
<CPr>",,,KSI210000918
,,,,0039,,,,,Тип бункера в плане,CN__0039,,СП 43.13330.2012,Из списка,"Квадратный
Прямоугольный
Круглый",,,,<Com>,,,KSI210000919
,,,,0040,,,,,Симметричность пирамидального бункера,CN__0040,,СП 43.13330.2012,Из списка,"Симметричный
Частично симметричный
Несимметричный",,,,<Com>,,,KSI210000920
,,,,0041,,,,,Cтепень защиты от проникновения внутрь воды и внешних твердых предметов,CN__0041,"Классификация степеней защиты, обеспечиваемой устойчивостью технических изделий к проникновению твердых предметов и воды при эксплуатации","ГОСТ 14254-2015 
Федеральный закон от 22 июля 2008 г. N 123-ФЗ",Текстовый,,,,,,,,KSI210001996
,,,,0042,,,,,Уровень взрывозащиты электрооборудования,CN__0042,,Федеральный закон от 22 июля 2008 г. N 123-ФЗ,Из списка,"0 
1 
2",,,,,,,KSI210001997
,,,,0043,,,,,Вид взрывозащиты взрывозащищенного электрооборудования,CN__0043,,Федеральный закон от 22 июля 2008 г. N 123-ФЗ,Из списка,"d 
р 
i 
q 
о 
s 
е",,,,,,,KSI210001998
,,,,0044,,,,,Группа взрывозащищенного электрооборудования по допустимости применения в зонах,CN__0044,,Федеральный закон от 22 июля 2008 г. N 123-ФЗ,Из списка,"I 
II 
IIА 
IIВ 
IIС",,,,,,,KSI210001999
,,,,0045,,,,,Температурный класс взрывозащищенного электрооборудования,CN__0045,,Федеральный закон от 22 июля 2008 г. N 123-ФЗ,Из списка,"Т1
Т2
Т3
Т4
Т5
Т6",,,,,,,KSI210002000
,,,,0046,,,,,Взрывозащищенное электрооборудование,CN__0046,"Электротехническое изделие (электротехническое устройство, электрооборудование) специального назначения, которое выполнено таким образом, что устранена или затруднена возможность воспламенения окружающей его взрывоопасной
среды вследствие эксплуатации этого изделия","ГОСТ 18311-80 
ГОСТ 12.2.020-76 
Федеральный закон от 22 июля 2008 г. N 123-ФЗ ",Логический,,,,,,,,KSI210002001
,,,,0047,,,,,Категория грунта по сейсмическим свойствам,CN__0047,,НП-031-01,Из списка,"I
II 
III",,,,,,,KSI210002128
,,,,,,,,,Профиль,CN__0048,"Указывается профиль, согласно СП 128.13330","ГОСТ Р ИСО 6707-1-2020
СП 333.1325800.2020",Текстовый,,,,,"<Com>
<CPr>","<Com>ULD
<Com>ULE
<CPr>AHA___",,KSI210000953
,,,,,,,,,Тип топлива теплогенератора,CN__0049,,СП 333.1325800.2020,Текстовый,,,,,,,,KSI210001113
,,,,,,,,,Тип установки теплогенератора,CN__0050,,СП 333.1325800.2020,Текстовый,,,,,,,,KSI210001114
,,,,,,,,,Тип топлива котла/бойлера,CN__0051,,СП 333.1325800.2020,Текстовый,,,,,,,,KSI210001115
,,U,,,,,Пользовательские,,,CNU_,,,,,,,,,,,KSI210000921
,L,,,,,Расположение,,,,CL__,,,,,,,,,,,KSI210000922
,,,,0001,,,,,Принадлежность компонента к пути эвакуации,CL__0001,,,Логический,,,"ПР 40 16 12
ПР 40 41 14",,<Com>,"QQA
QQC
QQD
QQE
XS",,KSI210000923
,,,,0002,,,,,Место производства,CL__0002,,СП 333.1325800.2020,Текстовый,,,,,"<Com>
<CPr>",*,,KSI210000924
,,,,0003,,,,,Место сборки,CL__0003,,СП 333.1325800.2020,Текстовый,,,,,"<Com>
<CPr>",*,,KSI210000925
,,,,0004,,,,,Расположение лифтов,CL__0004,,"СП 54.13330.2022 
СП 118.13330.2022",Из списка,"Однорядное 
Двухрядное",,,,<Com>,GMB,,KSI210002024
,,U,,,,,Пользовательские,,,CLU_,,,,,,,,,,,KSI210000926
,H,,,,,Время и стоимость,,,,CH__,,,,,,,,,,,KSI210000927
,,U,,,,,Пользовательские,,,CHU_,,,,,,,,,,,KSI210000928
,Q,,,,,Количества,,,,CQ__,,,,,,,,,,,KSI210000929
,,,,0001,,,,,Количество модулей электрического шкафа,CQ__0001,"Количество модулей в соответствии с Паспортом изделия, согласно ГОСТ 32397-2020",ГОСТ 32397-2020,Числовой,,,,,"<Com>
<CPr>","<Com>UCA
<CPr>CGAD",,KSI210000930
,,U,,,,,Пользовательские,,,CQU_,,,,,,,,,,,KSI210000931
,P,,,,,Физические,,,,CP__,,,,,,,,,,,KSI210000932
,,G,,,,,Геометрические,,,CPG_,,,,,,,,,,,KSI210000933
,,,,0001,,,,,Величина смещения пути,CPG_0001,"Горизонтальное проложение пути, пройденного смещенным элементом по направлению смещения от его первоначального положения",,Числовой,,,,,<Com>,WRA,,KSI210000934
,,,,0002,,,,,Возвышение наружного рельса,CPG_0002,"Возвышение рельса на криволинейных участков пути, необходимое для уравновешивания центробежных сил",,Числовой,,,,,"<Com>
<CPr>","<Com>WRA
<CPr>ABC___",,KSI210000935
,,,,0003,,,,,Высота ступени эскалатора,CPG_0003,Расстояние между верхними поверхностями настилов двух смежных ступеней на наклонном участке лестничного полотна,ГОСТ 33966.1-2020   ,Числовой,,,,,<Com>,GLE,,KSI210000936
,,,,0004,,,,,Глубина заделки сваи,CPG_0004,,,Числовой,,,,,<Com>,ULC,,KSI210000937
,,,,0005,,,,,Глубина нулевых годовых амплитуд температур в грунте,CPG_0005,"Глубина, на которой температура грунта остается неизменной в течение всего годового периода независимо от сезонных колебаний температуры воздуха на поверхности",СП 354.1325800.2017,Числовой,,,,,"<Com>
<CMa>","<Com>UU_
<Com>UCB
<CMa>AH__",,KSI210000938
,,,,0006,,,,,Глубина приямка,CPG_0006,Минимальное расстояние по вертикали от уровня порога двери шахты крайней нижней этажной площадки до пола шахты,ГОСТ 33605-2021,Числовой,,,,,<Com>,,,KSI210000939
,,,,0007,,,,,Высота дверного проема,CPG_0007,"Высота входа в свету, измеренная при полностью открытых дверях кабины и шахты",ГОСТ 5746-2015 (ISO 4190-1:2010),Числовой,,,,,"<Com>
<CPr>","<Com>QQC
<CPr>ACDB_",,KSI210000940
,,,,0008,,,,,Высота искусственной неровности,CPG_0008,Кратчайшее расстояние от гребня ИН на оси дороги до уровня проезжей части,ГОСТ Р 52605-2006,Текстовый,,,,,<Com>,NCA,,KSI210000941
,,,,0009,,,,,Высота свободного падения,CPG_0009,"Расстояние по вертикали от опорной поверхности оборудования, с которой может упасть ребенок, до зоны приземления",ГОСТ Р 52169-2012,Числовой,,,,,<Com>,,,KSI210000942
,,,,0010,,,,,Диаметр вертикальных дрен,CPG_0010,,,Числовой,,,,,<Com>,UMG,,KSI210000943
,,,,0011,,,,,Диаметр стержня,CPG_0011,Диаметр равновеликого по площади поперечного сечения круглого гладкого арматурного стержня.,ГОСТ 22904-2023,Числовой,,,,,"<Com>
<CPr>","<Com>UMA
<CPr>AJAAB",,KSI210000944
,,,,0012,,,,,Диаметр условного прохода трубы,CPG_0012,"Геометрический параметр поперечного сечения трубы, равный диаметру условного круглого прохода (без учета допускаемых отклонений), по которому проводят гидравлический расчет трубопровода",ГОСТ 6482-2011,Числовой,,,,,"<Com>
<CPr>","<Com>WPA
<CPr>CAAA__
<CPr>CAAB__
<CPr>CAAC__
<CPr>CAAD__
<CPr>CAAE__",,KSI210000945
,,,,0013,,,,,Диаметр уширения сваи,CPG_0013,,,Числовой,,,,,"<Com>
<CPr>","<Com>ULC
<CPr>AABC__",,KSI210000946
,,,,0014,,,,,Защитный слой,CPG_0014,Расстояние от поверхности бетона до поверхности арматуры или короба с преднапряженной арматурой,ГОСТ Р ИСО 6707-1-2020,Числовой,,,,,<Com>,,,KSI210000947
,,,,0016,,,,,Крутизна откосов,CPG_0016,Отношение высоты откоса к его заложению,СНиП 12-04-2002,Числовой,,,,,"<Com>
<CPr>","<Com>QQA
<CPr>AGEH",,KSI210000948
,,,,0017,,,,,Монтажная длина трубы,CPG_0017,Общая длина трубы за вычетом длины соединения.,ГОСТ Р 53201-2023,Числовой,,,,,"<Com>
<CPr>","<Com>WPA
<CPr>CAAA__
<CPr>CAAB__
<CPr>CAAC__
<CPr>CAAD__
<CPr>CAAE__",,KSI210000949
,,,,0018,,,,,Номинальный диаметр стержня,CPG_0018,"Диаметр равновеликого по объему круглого гладкого стержня с учетом допускаемых отклонений, указываемый в обозначении арматуры, используемый в расчетах физико-механических характеристик и расчетах конструкций",ГОСТ 31938-2022,Числовой,,,,,"<Com>
<CPr>","<Com>UMA
<CPr>AJAAB_",,KSI210000950
,,,,0019,,,,,Полезная площадь кабины,CPG_0019,"Площадь кабины, измеренная при закрытых дверях на высоте 1 м от уровня пола кабины, используемая для размещения транспортируемых пассажиров и/или грузов",ГОСТ 5746-2015 (ISO 4190-1:2010),Числовой,,,,,"<Com>
<CPr>", ,,KSI210000951
,,,,0020,,,,,Пролет,CPG_0020,Расстояние между осями смежных опор,ГОСТ Р ИСО 6707-1-2020,Числовой,,,,,<Com>,XSB,,KSI210000952
,,,,0022,,,,,Толщина слоя грунта,CPG_0022,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128 ,Числовой,,,ПР 50 10 15,,"<Com>
<CMa>","<Com>UU_
<Com>UCB
<CMa>AH__",,KSI210000954
,,,,0023,,,,,Толщина стенки,CPG_0023,,,Числовой,,,,,"<Com>
<CPr>","<Com>WPA 
<Com>UBK
<CPr>CAAA__
<CPr>CAAB__
<CPr>CAAC__
<CPr>CAAD__
<CPr>CAAE__",,KSI210000955
,,,,0024,,,,,Уклон марша,CPG_0024,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128 ,Числовой,,,ПР 40 45 12,,"<Com>
<CPr>","<Com>XSB
<CPr>AEAB__",,KSI210000956
,,,,0025,,,,,Условный проход трубы,CPG_0025,"Средний внутренний диаметр труб (в свету), который соответствует одному или нескольким наружным диаметрам труб",СП 73.13330.2016,Числовой,,,,,"<Com>
<CPr>","<Com>WPA
<CPr>CAAA__
<CPr>CAAB__
<CPr>CAAC__
<CPr>CAAD__
<CPr>CAAE__",,KSI210000957
,,,,0026,,,,,Ширина дверного проема,CPG_0026,"Ширина входа в свету, измеренная при полностью открытых дверях кабины и шахты",ГОСТ 5746-2015 (ISO 4190-1:2010),Числовой,,,,,"<Com>
<CPr>","<Com>QQC
<CPr>ACDB",,KSI210000958
,,,,0027,,,,,Ширина лестничного марша,CPG_0027,"Расстояние между ограждениями лестницы, между стеной и ограждением лестницы",СП 118.13330.2022,Числовой,,,,,"<Com>
<CPr>","<Com>XSB
<CPr>AEAB__",,KSI210000959
,,,,0028,,,,,Ширина несущего полотна,CPG_0028,"Расстояние по внешним боковым торцам настила ступени, пластины или ленты",ГОСТ 33966.1-2020   ,Числовой,,,,,"<Com>
<CPr>","<Com>NBA
<Com>NBB
<CPr>ACDCE_",,KSI210000960
,,,,0029,,,,,Шаг конструкций,CPG_0029,"Расстояние между геометрическими осями двух смежных однотипных элементов конструкций (например, шаг стропильных балок или ферм покрытия, балок или ригелей перекрытия, колонн и т. п.).",ГОСТ 23838-89,Числовой,,,,,<Com>,,,KSI210000961
,,,,0030,,,,,Высота ограждения,CPG_0030,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128 ,Числовой,,,ПР 40 47 10,,"<Com>
<CPr>","<Com>RUA
<Com>FQD
<CPr>AEG___
<CPr>AGGC__
<CPr>DGB___
<CPr>EF____",,KSI210000962
,,,,0031,,,,,Высота проема в стене,CPG_0031,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128 ,Числовой,,,"ПР 40 40 25
ПР 40 41 31",,"<Com>
<CPr>","<Com>QQA
<Com>QQC
<CPr>ACDB__
<CPr>AGEH__",,KSI210000963
,,,,0032,,,,,Ширина проема в стене,CPG_0032,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128 ,Числовой,,,"ПР 40 40 26
ПР 40 41 32",,"<Com>
<CPr>","<Com>QQA
<Com>QQC
<CPr>ACDB__
<CPr>AGEH__",,KSI210000964
,,,,0033,,,,,Ширина в свету,CPG_0033,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128 ,Числовой,,,"ПР 40 40 27
ПР 40 41 26",,"<Com>
<CPr>","<Com>QQA
<Com>QQC
<CPr>ACDB__
<CPr>AGEH__",,KSI210000965
,,,,0034,,,,,Высота порога,CPG_0034,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128 ,Числовой,,,"ПР 40 40 28
ПР 40 45 10",,"<Com>
<CPr>","<Com>QQA
<Com>QQC
<CPr>ACDB__
<CPr>AGEH__",,KSI210000966
,,,,0035,,,,,Льдонасыщенность грунта,CPG_0035,,,Числовой,,,,,"<Com>
<CPr>",,,KSI210000967
,,,,0036,,,,,Глубина кабины ,CPG_0036," Расстояние по горизонтали между внутренними поверхностями передней и задней стен кабины, измеренное перпендикулярно к ширине кабины",ГОСТ 5746-2015,Числовой,,,,,"<Com>
<CPr>","<Com>GMB
<CPr>CKA_",,KSI210002035
,,,,0037,,,,,Глубина ступени (проступи),CPG_0037,Расстояние между передним и задним краями ступени,"ГОСТ Р ИСО 2867-2011 
СП 54.13330.2022",Числовой,,,,,<Com>,"UBC 
UBC020",,KSI210002038
,,,,0038,,,,,Глубина шкафа,CPG_0038,,"ГОСТ Р 51844-2009  
СП 251.1325800.2016  
СП 460.1325800.2019 ",Числовой,,,,,<Com>,CMB,,KSI210002039
,,,,0039,,,,,Высота опоры,CPG_0039,,СП 333.1325800.2020,Числовой,,,,,"<Com>
<TeS>
","<Com>EA_
<Com>UBD
<Com>UL_
<TeS>BL
<TeS>BH
<TeS>CJ",,KSI210001043
