Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Управленческая группа,Примеры,Код по классификатору МССК,Примечание,Синонимы,УИН
,,ADB,,Назначение компетентного персонала проекта,Процесс назначения компетентного персонала проекта для получения утвержденных результатов проекта,ГОСТ Р ИСО 9001-2015,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000021
,AE,,,Заключение договора по проекту,Процесс заключения договорных отношений на реализацию проекта,ГОСТ Р ИСО/МЭК ТО 16326-2002,По предметной группе,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000022
,,AEA,,Оценка условий договора по проекту,Процесс оценки условий договора по проекту,ГОСТ Р ИСО/МЭК ТО 16326-2002,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000023
,,AEB,,Заключение договорных отношений по проекту,Процесс формализации договорных отношений на реализацию проекта,ГОСТ Р ИСО/МЭК ТО 16326-2002,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000024
,AF,,,Бенчмаркинг при управлении проектом,Процесс изучения практик и результатов других проектов и организаций на основе сравнения в критических точках с целью выявления основополагающих характеристик для повышения своей конкурентоспособности,ГОСТ Р 54147-2010,По предметной группе,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000025
,,AFA,,Совершенствование процессов проекта,"Процесс применения лучших практик других проектов и организаций для совершенствования процессов проекта в отношении производительности, эффективности, результативности и качества","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 21504-2016
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000026
,,AFB,,Улучшение результатов работ проекта,Процесс применения лучших практик и результатов других проектов и организаций для совершенствования результатов работ проекта в отношении качества и достижения целей проекта и организации,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 21504-2016
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000027
,AG,,,Контроль проектной деятельности,Процесс контроля проектной деятельности для обеспечения интегрированного выполнения работ проекта в соответствии с планами и требованиями проекта,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 9001-2015",По предметной группе,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000028
,,AGA,,Назначение персонала для осуществления мониторинга и измерений работ по проекту,Процесс назначения персонала для осуществления мониторинга и измерений параметров работ по проекту,ГОСТ Р ИСО 9001-2015,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000029
,,AGB,,Измерение производительности работ по проекту,Процесс измерения производительности работ по проекту относительно утвержденных планов,ГОСТ Р ИСО 21500-2023,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000030
,,AGC,,Оценка полученных результатов работ по проекту,"Процесс оценки полученных результатов работ по проекту относительно утвержденных ключевых целей, задач и требований","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 9001-2015",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000031
,,AGD,,"Определение тенденций, которые могут повлиять на реализацию проекта","Процесс выявления тенденций и критических ситуаций, которые могут негативно повлиять на реализацию проекта","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000032
,,AGE,,Проведение мероприятий по предотвращению ошибок и устранению проблем по проекту,Процесс реализации мероприятий по предотвращению ошибок и устранению проблем по проекту,ГОСТ Р ИСО 9001-2015,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000033
,AH,,,Контроль изменений проекта,"Процесс контроля изменений проекта для обеспечения контроля над всеми ключевыми изменениями в проекте и в его результатах, а также формальное утверждение или отклонение изменений до их фактического осуществления",ГОСТ Р ИСО 21500-2023,По предметной группе,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000034
,,AHA,,Регистрация запросов на осуществление изменений в проекте,Процесс документирования и регистрации запросов на осуществление изменений в проекте,ГОСТ Р ИСО 21500-2023,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000035
,,AHB,,Оценка изменений по проекту,"Процесс оценки ключевых изменений по проекту с точки зрения потенциальных выгод, содержания, необходимых ресурсов, сроков и затрат, а также влияния на качество и риски",ГОСТ Р ИСО 21500-2023,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000036
,,AHC,,Определение последствий и выгод по проекту,Процесс выявления возможных последствий и выгод по проекту в результате выявленных изменений,ГОСТ Р ИСО 21500-2023,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000037
,,AHD,,Утверждение изменений по проекту,Процесс формализованного принятия решения о внедрении изменений по проекту,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 9001-2015",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000038
,,AHE,,Информирование участников проекта об изменениях в проекте,Процесс доведения информации об изменениях по проекту до всех заинтересованных сторон,ГОСТ Р ИСО 21500-2023,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000039
,AJ,,,"Осуществление выпуска, поставки и сопровождения результатов проекта","Процесс выпуска, поставки и сопровождения результатов проекта в соответствии с условиями договора по проекту","ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО/МЭК ТО 16326-2002",По предметной группе,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000040
,,AJA,,Выпуск результатов работ по проекту,Процесс документирования результатов работ по проекту в виде документов в соответствии с условиями договора по проекту,"ГОСТ Р ИСО 9000-2015
ГОСТ Р ИСО 9001-2015",,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000041
,,AJB,,Поставка результатов работ по проекту,Процесс передачи документированных результатов работ по проекту заказчику и заинтересованным сторонам в соответствии с условиями договора по проекту,ЕСККАЭ.1,,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000042
,,AJC,,Сопровождение результатов работ по проекту,"Процесс технического, экспертного или иного сопровождения заказчика по проекту в соответствии с условиями договора по проекту",ГОСТ Р 57193-2016,,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000043
,AK,,,Завершение проекта или фазы проекта,"Процесс завершения проекта или фазы проекта для подтверждения того, что все процессы и работы проекта или фазы завершены с тем, чтобы закрыть проект или фазу проекта",ГОСТ Р ИСО 21500-2023,По предметной группе,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000044
,,AKA,,Проверка завершения всех процессов и работ по проекту,"Процесс проверки всех процессов и работ с тем, чтобы гарантировать, что были получены все ожидаемые результаты фазы или проекта, а все заданные процессы проектного менеджмента были соответствующим образом завершены, или официально остановлены до завершения","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 9001-2015",,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000045
,,AKB,,Сбор и сдача в архив всех проектных документов,Процесс сбора и передачи в архив всех проектных документов в соответствии с принятыми стандартами качества и условиями договора по проекту,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000046
,,AKC,,Высвобождение персонала проекта и привлеченных ресурсов,Процесс высвобождения от работ по проекту персонала проекта и привлеченных ресурсов в связи с завершением проекта или фазы проекта,ГОСТ Р ИСО 21500-2023,,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000047
,AL,,,Сохранение накопленного опыта по проекту,Процесс сохранения накопленного опыта по проекту в целях дальнейшей оценки проекта и сбора накопленной информации (опыта) для совершенствования реализации текущих и будущих проектов,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10005-2019",По предметной группе,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000048
,,ALA,,Фиксация результатов работ по проекту,Процесс документирования всех ключевых результатов работ по проекту,ГОСТ Р ИСО 21500-2023,,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000049
,,ALB,,Обобщение результатов работ по проекту,Процесс обобщения и группировки всех ключевых результатов работ по проекту,ГОСТ Р ИСО 21500-2023,,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000050
,,ALC,,Хранение результатов работ по проекту,Процесс обеспечения рационального размещения и сохранности всех документированных результатов работ по проекту,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10005-2019
ГОСТ Р ИСО 9001-2015",,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000051
,,ALD,,Распространение результатов работ по проекту,Процесс обеспечения доступа и информирования заинтересованных сторон о ключевых результатах работ и достижениях по проекту,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10005-2019",,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000052
,,ALE,,Патентование результатов работ по проекту,"Процесс регистрации и получения патента с учетом требований договора по проекту на объект интеллектуальной собственности, полученный в результате работ по проекту",ГОСТ Р ИСО/МЭК ТО 16326-2002,,Завершение,,,Сформулировано на основании результата анализа источников,,KSI070000053
B,,,,Управление содержанием проекта,"Предметная группа процессов управления содержанием проекта, охватывающая процессы, обеспечивающие определение и включение в проект только тех работ и результатов, которые необходимы для успешного выполнения проекта","ГОСТ Р ИСО 21500-2023
ГОСТ Р 54869-2011
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 9000-2015",По виду процесса,,,,Сформулировано на основании результата анализа источников,,KSI070000054
,BA,,,Определение структуры декомпозиции работ по проекту,"Процесс определения структуры декомпозиции работ для разработки иерархической структуры декомпозиции работ, используемой для представления деятельности, необходимой для достижения целей проекта","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002",По предметной группе,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000055
,,BAA,,Определение принципов декомпозиции работ по проекту,"Процесс определения, согласования и документирования принципов и правил разработки структуры декомпозиции работ по проекту","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000056
,,BAB,,Разработка структуры декомпозиции работ по проекту,Процесс разработки и формализации структуры декомпозиции работ по проекту,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000057
,BB,,,Определение перечня работ и исходных данных по проекту,"Процесс определения перечня работ и исходных данных по проекту для выявления, описания и документирования конкретных работ, которые необходимо выполнить для достижения целей проекта, и всех исходных данных для выполнения этих работ",ГОСТ Р ИСО 21500-2023,По предметной группе,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000058
,,BBA,,Сбор требований по проекту,Процесс сбора всех применимых к проекту требований,ГОСТ Р ИСО 9001-2015,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000059
,,BBB,,Анализ требований проекта,"Процесс установления адекватности всех выявленных требований к проекту, их систематизации и установлении взаимосвязей",ГОСТ Р ИСО 9001-2015,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000060
,,BBC,,Оценка требований проекта,"Процесс установления достаточности, пригодности всех выявленных требований к проекту для достижения утвержденных целей и задач",ГОСТ Р ИСО/МЭК ТО 16326-2002,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000061
,,BBD,,Формирование перечня требований проекта,"Процесс формирования, согласования и документирования перечня требований проекта",ГОСТ Р ИСО/МЭК ТО 16326-2002,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000062
,,BBE,,Определение перечня работ по проекту,"Процесс определения, согласования и документирования перечня необходимых и достаточных работ по проекту на основании сформированного перечня требований, целей и задач проекта",ГОСТ Р ИСО/МЭК ТО 16326-2002,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000063
,,BBF,,Определение требуемых исходных данных и ожидаемых результатов работ по проекту,"Процесс определения, согласования и документирования всех необходимых исходных данных для выполнения для выполнения работ по проекту и соответствующих им ожидаемых результатов работ",ГОСТ Р ИСО 9001-2015,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000064
,BC,,,Планирование управления изменениями содержания проекта,Процесс планирования управления изменениями содержания для определения порядка работы с изменениями в проекте,ГОСТ Р 54869-2011,По предметной группе,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000065
,,BCA,,Определение процесса выявления изменений содержания проекта,"Процесс определения, согласования и документирования правил и порядка выявления изменений содержания проекта",ГОСТ Р 54869-2011,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000066
,,BCB,,Определение процесса согласования и утверждения изменений содержания проекта,"Процесс определения, согласования и документирования правил и порядка согласования и утверждения изменений содержания проекта",ГОСТ Р 54869-2011,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000067
,,BCC,,Определение процесса организации учета версий документов и результатов проекта,"Процесс определения, согласования и документирования правил и порядка организации учета версий документов и результатов проекта",ГОСТ Р 54869-2011,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000068
,,BCD,,Определение процесса доведения информации об изменениях содержания проекта до заинтересованных сторон,"Процесс определения, согласования и документирования правил и порядка доведения информации об изменениях содержания проекта до заинтересованных сторон",ГОСТ Р 54869-2011,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000069
,BD,,,Изменение содержания проекта,Процесс внесения изменений в содержание проекта,ГОСТ Р ИСО 10006-2019,По предметной группе,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000070
,,BDA,,Изменение требований проекта,Процесс внесения утвержденных изменений в состав и содержание требований проекта,ГОСТ Р ИСО 9001-2015,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000071
,,BDB,,Изменение состава и содержания работ проекта,Процесс внесения утвержденных изменений в состав и содержание работ проекта,"ГОСТ Р ИСО 10006-2019
ГОСТ Р 54869-2011",,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000072
,BE,,,Управление составом содержания проекта,"Процесс управления составом содержания проекта для выявления, оценки, описания и документирования отклонений содержания проекта от утвержденных целевых показателей","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 9000-2015
ГОСТ Р ИСО 10006-2019
ГОСТ Р ИСО/МЭК ТО 16326-2002",По предметной группе,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000073
,,BEA,,Определение текущего состояния содержания проекта,Процесс определения состояния содержания проекта на момент времени в соответствии с утвержденными правилами,ГОСТ Р ИСО 21500-2023,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000074
,,BEB,,Сравнение текущего состояния содержания проекта с утвержденными целевыми показателями,Процесс сопоставления и документирования утвержденных целевых показателей содержания проекта с состоянием содержания проекта на момент времени в соответствии с утвержденными правилами,ГОСТ Р ИСО 21500-2023,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000075
,,BEC,,Выявление отклонений содержания проекта,Процесс выявления и документирования отклонений от утвержденных целевых показателей содержания проекта состояния содержания проекта на момент времени в соответствии с утвержденными правилами,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10006-2019",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000076
,,BED,,Прогнозирование содержания проекта по его завершении,Процесс формирования и документирования прогноза содержания проекта по его завершении на основании выявленных отклонений,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10006-2019
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000077
,,BEE,,Формировании запросов на изменение содержания проекта,"Процесс документирования и регистрации запросов на изменение содержания проекта, направленных на устранение отрицательных и обеспечение положительных последствий для содержания проекта","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10006-2019",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000078
,,BEF,,Фиксация изменений содержания проекта,Процесс документирования и регистрации утвержденных изменений содержания проекта,ГОСТ Р ИСО 10006-2019,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000079
C,,,,Управление сроками проекта,"Предметная группа процессов управления сроками проекта, охватывающая процессы, необходимые для создания календарного графика проекта, отслеживания его выполнения и обеспечения своевременного завершения работ по проекту","ГОСТ Р ИСО 21500-2023
ГОСТ Р 54869-2011
ГОСТ Р ИСО 10006-2019
ГОСТ Р ИСО/МЭК ТО 16326-2002",По виду процесса,,,,Сформулировано на основании результата анализа источников,,KSI070000080
,CA,,,Определение последовательности работ проекта,Процесс определения последовательности работ проекта для выявления и документирования зависимостей между работами проекта,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО/МЭК ТО 16326-2002",По предметной группе,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000081
,,CAA,,Определение взаимосвязей между работами проекта,"Процесс определения, согласования и документирования взаимосвязей между работами проекта","ГОСТ Р ИСО 21500-2023
ГОСТ Р 54869-2011
ГОСТ Р ИСО 10006-2019
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000082
,,CAB,,Построение работ проекта в логическом порядке,"Процесс определения, согласования и документирования логической последовательности работ проекта",ГОСТ Р ИСО 21500-2023,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000083
,CB,,,Оценка длительности работ проекта,"Процесс определения, оценки и документирования длительности работ проекта","ГОСТ Р ИСО 21500-2023
ГОСТ Р 54869-2011
ГОСТ Р 54869-2011",По предметной группе,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000084
,,CBA,,Определение длительности работ по проекту,"Процесс определения, согласования и документирования времени, необходимом для выполнения работ по проекту",ГОСТ Р ИСО 21500-2023,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000085
,,CBB,,Оценка длительности работ по проекту,"Процесс установления достаточности, пригодности и корректности всех длительностей работ по проекту для достижения утвержденных целей и задач",ГОСТ Р ИСО 10006-2019,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000086
,CC,,,Разработка графика работ по проекту,"Процесс расчета дат начала и окончания работ по проекту, разработки и формализации графика работ проекта","ГОСТ Р ИСО 21500-2023
ГОСТ Р 54869-2011
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 10006-2019",По предметной группе,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000087
,,CCA,,Расчет дат начала и окончания работ по проекту,"Процесс определения, согласования и документирования дат начала и окончания работ по проекту",ГОСТ Р ИСО 21500-2023,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000088
,,CCB,,Разработка детального графика работ по проекту,"Процесс разработки детального графика работ по проекту на основании утвержденного логического порядка работ, их длительности, дат начала и окончания",ГОСТ Р ИСО 21500-2023,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000089
,,CCC,,Определение критического пути проекта,"Процесс определения, согласования и документирования наиболее длительной последовательности работ от начала проекта до его окончания с учетом их взаимосвязи",ГОСТ Р ИСО 10006-2019,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000090
,,CCD,,Обоснование сроков реализации работ по проекту,Процесс обоснования сроков реализации работ по проекту на основании утвержденных правил,"ГОСТ Р 54869-2011
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000091
,CD,,,Изменение графика работ по проекту,Процесс внесения изменений в график работ по проекту,ГОСТ Р ИСО 10006-2019,По предметной группе,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000092
,,CDA,,Изменение дат начала и окончания работ по проекту,Процесс внесения утвержденных изменений дат начала и окончания работ по проекту,ГОСТ Р ИСО 10006-2019,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000093
,,CDB,,Изменение последовательности работ по проекту,Процесс внесения утвержденных изменений последовательности работ по проекту,ГОСТ Р ИСО 10006-2019,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000094
,CE,,,Контроль исполнения графика работ по проекту,Процесс контроля исполнения графика работ по проекту для отслеживания отклонений от расписания и осуществления надлежащих корректирующих действий,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 10006-2019",По предметной группе,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000095
,,CEA,,Определение текущего состояния исполнения работ по проекту,Процесс определения состояния исполнения работ по проекту на момент времени в соответствии с утвержденными правилами,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10006-2019",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000096
,,CEB,,Сравнение текущего состояния исполнения работ по проекту с утвержденным графиком работ,Процесс сопоставления и документирования утвержденного графика работ по проекту с состоянием исполнения работ по проекту на момент времени в соответствии с утвержденными правилами,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10006-2019",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000097
,,CEC,,Выявление отклонений сроков исполнения работ по проекту,Процесс выявления и документирования отклонений от утвержденного графика работ по проекту состояния исполнения работ по проекту на момент времени в соответствии с утвержденными правилами,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10006-2019",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000098
,,CED,,Прогнозирование сроков завершения работ по проекту,Процесс формирования и документирования прогноза сроков завершения работ по проекту на основании выявленных отклонений,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10006-2019",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000099
,,CEE,,Предотвращение негативных воздействий на график работ по проекту,Процесс реализации рутинных мероприятий по предотвращению негативных воздействий на график работ по проекту,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10006-2019",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000100
D,,,,Управление стоимостью проекта,"Предметная группа процессов управления стоимостью проекта, охватывающая процессы формирования бюджета, отслеживания его выполнения и контроля затрат","ГОСТ Р ИСО 21500-2023
ГОСТ Р 54869-2011
ГОСТ Р ИСО 10006-2019
ГОСТ Р ИСО/МЭК ТО 16326-2002",По виду процесса,,,,Сформулировано на основании результата анализа источников,,KSI070000101
,DA,,,Оценка стоимости проекта,"Процесс определения и оценки и документирования стоимости проекта для получения затрат, необходимых для завершения каждой работы проекта и проекта в целом","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10006-2019",По предметной группе,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000102
,,DAA,,Определение затрат по проекту,"Процесс определения, согласования и документирования затрат, необходимых для завершения каждой работы проекта и проекта в целом","ГОСТ Р 54869-2011
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000103
