Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Управленческая группа процессов,Примеры,Примечания,Синонимы,УИН
,,,,ABA010,Определение требований Заказчика в составе частного технического задания,Процесс определения требований Заказчика в составе частного технического задания на проектирование,"ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО 21500-2023
ГОСТ Р 54869-2011",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000012
,,,,ABA020,Определение требований нормативно-технической документации и нормативно-правовых актов,"Процесс определения требований нормативно-технической документации и нормативно-правовых актов, применимых к объекту проектирования","ГОСТ Р ИСО 9001-2015
ГОСТ Р 54869-2011
ГОСТ Р 21.101-2020",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000013
,,,,ABA030,Определение требований заинтересованных сторон (за исключением Заказчика),"Процесс определения требований заинтересованных сторон (за исключением требований Заказчика), применимых к объекту проектирования","ГОСТ Р 57193-2016
ГОСТ Р 54869-2011
ГОСТ Р ИСО 21500-2023",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000014
,,,,ABA040,"Определение требований, не заявленных Заказчиком и заинтересованными сторонами","Процесс определения требований, не определенных Заказчиком и заинтересованными сторонами, но необходимые для конкретного или предполагаемого использования, когда оно известно",ГОСТ Р ИСО 9001-2015,,Инициирование,"Определение интерфейсов и требований смежных объектов
Определение требований проектной организации
Определение требований субъектов Российской Федерации и/или органов местного самоуправления",Сформулировано на основании результата анализа источников,,KSI100000015
,,ABB,,,Анализ и оценка требований для проектирования,"Процесс определения того, являются ли собранные требования к объекту проектирования неясными, неполными, неоднозначными или противоречащими; процесс выявления взаимосвязи требований","ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 10005-2019
ГОСТ 33100-2014
ГОСТ Р 21.101-2020 
ГОСТ 21.002-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000016
,,,,ABB010,Анализ и оценка требований Заказчика в составе частного технического задания,Процесс анализа и оценки требований Заказчика в составе частного технического задания на проектирование,"ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р 54869-2011
ГОСТ Р ИСО 10005-2019",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000017
,,,,ABB020,Анализ и оценка требований нормативно-технической документации и нормативно-правовых актов,"Процесс анализа и оценки требований нормативно-технической документации и нормативно-правовых актов, применимых к объекту проектирования","ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р 54869-2011
ГОСТ Р ИСО 10005-2019
ГОСТ Р 21.101-2020
ГОСТ 21.002-2014 ",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000018
,,,,ABB030,Анализ и оценка требований заинтересованных сторон (за исключением Заказчика),"Процесс анализа и оценки требований заинтересованных сторон (за исключением Заказчика), применимых к объекту проектирования","ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р 54869-2011
ГОСТ Р ИСО 10005-2019",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000019
,,,,ABB040,"Анализ и оценка требований, не заявленных Заказчиком и заинтересованными сторонами","Процесс анализа и оценки требований, не заявленных Заказчиком и заинтересованными сторонами, но необходимых для конкретного или предполагаемого использования, когда оно известно","ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ 33100-2014",,Инициирование,"Анализ и оценка интерфейсов и требований смежных объектов
Анализ и оценка требований проектной организации
Анализ и оценка требований субъектов Российской Федерации и/или органов местного самоуправления",Сформулировано на основании результата анализа источников,,KSI100000020
,,ABC,,,Уточнение исходных данных для проектирования,"Деятельность, предпринимаемая для пояснения, разъяснения, конкретизации содержания (смысла) исходных данных для проектирования ","СП 122.13330.2023
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ 33100-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000021
,,,,ABC010,Уточнение требований для проектирования,"Деятельность, предпринимаемая для пояснения, разъяснения, конкретизации содержания (смысла) определенных формулировок требований для проектирования","СП 122.13330.2023
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000022
,,,,ABC020,Запрос и получение дополнительных исходных данных для проектирования,Процесс получения дополнительных исходных данных со стороны Заказчика по запросу в случае отсутствия требуемой информации по результатам анализа и уточнения исходных данных для проектирования,"ГОСТ Р 54870-2011
СП 86.13330.2022",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000023
,,ABD,,,Разработка перечня требований для проектирования,"Разработка перечня, содержащего в полном объеме требования для проектирования","ГОСТ Р ИСО 9000-2015
ГОСТ 33100-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000024
,,,,ABD010,Формирование перечня требований для проектирования,Процесс формирования и оформления в установленном порядке перечня требований для проектирования,"ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р 54869-2011
ГОСТ Р 54871-2011
ГОСТ 33100-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000025
,,,,ABD020,Утверждение перечня требований для проектирования,Формальные одобрение и утверждение перечня требований для проектирования,"ГОСТ Р 54869-2011
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ 33100-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000026
,AC,,,,Определение ожидаемых результатов проектирования,"Процесс определения планируемых результатов проектирования. Результаты проектирования представляют собой технические решения, оформленные в виде проектной документации","ГОСТ Р ИСО 9001-2015
ГОСТ Р 54870-2011",По виду процессов,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000027
,,ACA,,,Прогнозирование ожидаемых результатов проектирования,Процесс разработки прогноза планируемых результатов проектирования,"ГОСТ Р ИСО 21500-2023
СП 86.13330.2022
ГОСТ 33100-2014
ГОСТ Р 21.101-2020
ГОСТ 21.002-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000028
,,ACB,,,Оценка ожидаемых результатов проектирования в соответствии с частным техническим заданием,Процесс оценки планируемых результатов проектирования по результатам анализа исходных данных и в соответствии с частным техническим заданием,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 9001-2015
ГОСТ 33100-2014
ГОСТ Р 21.101-2020
ГОСТ 21.002-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000029
,,ACC,,,Уточнение/корректировка ожидаемых результатов проектирования,"Деятельность, предпринимаемая для пояснения, разъяснения, конкретизации и (при необходимости) корректировки планируемых результатов проектирования","ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 9001-2015
ГОСТ 33100-2014
ГОСТ Р 21.101-2020
ГОСТ 21.002-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000030
,,ACD,,,Согласование ожидаемых результатов проектирования в составе частного технического задания,Процесс проверки целесообразности и соответствия ожидаемых результатов проектирования требованиям частного технического задания,"ГОСТ Р 54869-2011
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р 54870-2011
ГОСТ 33100-2014
ГОСТ Р 21.101-2020
ГОСТ 21.002-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000031
,AD,,,,Разработка карты процессов проектирования,"Процесс схематизации процессов проектирования посредством наглядного представления всех шагов процесса, представления последовательности и взаимодействия подпроцессов проектирования","ГОСТ Р ИСО 9001-2015
ГОСТ Р 57193-2016",По виду процессов,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000032
,,ADA,,,Определение методов достижения ожидаемых результатов проектирования,Процесс определения путей и способов достижения ожидаемых результатов проектирования,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 9000-2015
ГОСТ Р ИСО 9001-2015
ГОСТ 33100-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000033
,,,,ADA010,Проектирование нового (первичного) объекта,"Процесс проектирования, не предусматривающий использование типового проекта или проекта-аналога (проектирование с ""нуля"")",,,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000034
,,,,ADA020,Проектирование по объекту-аналогу (адаптация),"Процесс проектирования, предусматривающий использование проекта-аналога и его последующее доведение до полного соответствия требованиям Заказчика путем проверки технических решений проекта-аналога на совместимость с существующими условиями строительства",,,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000035
,,,,ADA030,Проектирование по типовому объекту,"Процесс проектирования, предусматривающий использование типового проекта а и его последующее доведение до полного соответствия требованиям Заказчика",,,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000036
,,ADB,,,Определение перечня подпроцессов проектирования,Процесс определения перечня подпроцессов проектирования в соответствии с выбранным методом достижения ожидаемых результатов проектирования,"ГОСТ Р ИСО 9001-2015
ГОСТ 33100-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000037
,,ADC,,,Разработка схемы взаимодействия подпроцессов проектирования,"Процесс разработки схемы рабочего процесса (или блок-схемы), которая описывает поток материалов и информации и отображает взаимодействия подпроцессов.","ГОСТ Р ИСО 9001-2015
ГОСТ 33100-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000038
,,ADD,,,Определение последовательности подпроцессов проектирования,Процесс определения предшественников и последователей подпроцессов для всех выявленных процессов проектирования объекта,"ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО 10006-2019
ГОСТ Р ИСО 21500-2023
ГОСТ 33100-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000039
,,ADE,,,Формирование карты процессов проектирования,Процесс формирования и формализации схемы взаимодействия и последовательности подпроцессов проектирования,"ГОСТ Р 57193-2016
ГОСТ 33100-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000040
,,ADF,,,Утверждение карты процессов проектирования,Формальные одобрение и утверждение карты процессов проектирования,"ГОСТ Р 57193-2016
ГОСТ 33100-2014",,Инициирование,,Сформулировано на основании результата анализа источников,,KSI100000041
B,,,,,Процесс разработки проектных решений,Процесс преобразования всех требований для проектирования в проектные решения,"ГОСТ Р 57193-2016
ГОСТ Р ИСО 21500-2023
ГОСТ Р 54147-2010
ГОСТ Р ИСО 9000-2015
ГОСТ 33100-2014",По виду процессов,,,Сформулировано на основании результата анализа источников,,KSI100000042
,BA,,,,Идентификация объекта проектирования,"Процесс унификации, категоризации и структуризации информации применительно к объекту проектирования","ГОСТ Р ИСО 21500-2023
СП 86.13330.2022
СП 59.13330.2020
ГОСТ Р ИСО 10005-2019",По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000043
,,BAA,,,Классификация объекта проектирования,Процесс организации или группировки по классам информации об объекте проектирования в соответствии с определенной системой или принципом,"ГОСТ Р 54870-2011
СП 35.13330.2011
СП 47.13330.2016",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000044
,,,,BAA010,Классификация по назначению,Классификация зданий и сооружений по виду их назначения,"Федеральный закон от 30.12.2009 N 384-ФЗ
ГОСТ 27751-2014
 Приказ Минстроя России от 02.11.2022 N 928/пр ",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000045
,,,,BAA020,Классификация по пожарной и взрывопожарной опасности,"Классификация зданий, сооружений и помещений по характеристике пожарной (взрывопожарной) опасности","СП 19.13330.2019
Постановление Правительства РФ от 16.02.2008 N 87",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000046
,,,,BAA030,Классификация по уровню ответственности,Классификация зданий и сооружений по уровню их ответственности,"Федеральный закон от 30.12.2009 N 384-ФЗ
ГОСТ 27751-2014",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000047
,,,,BAA040,Классификация по безопасности,"Классификация зданий, сооружений, систем и элементов по безопасности в зависимости от их назначения, влияния на безопасность и характеру выполняемых ими функций безопасности",НП-001-15,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000048
,,,,BAA050,Классификация по сейсмостойкости,"Классификация зданий, сооружений, систем и элементов по сейсмостойкости в зависимости от допустимой вероятности превышения расчетной сейсмической нагрузки",СП 14.13330.2018,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000049
,,BAB,,,Определение ограничений при проектировании,"Определение факторов, которые ограничивают возможности по разработке проектных решений","ГОСТ Р ИСО 21500-2023
Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ ",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000050
,,,,BAB010,Определение пространственных ограничений,Определение ограничений проектируемого объекта при его размещении,"СП 18.13330.2019
 Приказ Минтранс РФ от 18 августа 2020 года № 313
Постановление Правительства РФ от 02.09.2009 № 717",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000051
,,,,BAB020,Определение массогабаритных ограничений,Определение ограничений по массогабаритным характеристикам проектируемого объекта,СП 18.13330.2019,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000052
,,,,BAB030,Определение ограничений по материалам,Определение ограничений по материалам проектируемого объекта,"ГОСТ 27751-2014
ГОСТ 31937-2024
ТР ТС 014/2011",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000053
,,,,BAB040,Определение технико-экономических ограничений,Определение ограничений по технико-экономическим показателям проектируемого объекта,"СП 19.13330.2019
 ГОСТ 33100-2014",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000054
,,,,BAB050,Определение ограничений со стороны условий окружающей среды,Определение ограничений проектируемого объекта по условиям окружающей среды,Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000055
,,BAC,,,Определение характеристик объекта проектирования,Определение отличительных свойств проектируемого объекта,"СП 50.13330.2024
ГОСТ 18105-2018
Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000056
,,,,BAC010,Определение пространственных характеристик,"Определение отличительных свойств проектируемого объекта, используемых при его размещении",СП 18.13330.2019,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000057
,,,,BAC020,Определение массогабаритных характеристик,Определение отличительных свойств проектируемого объекта по допустимым максимальным и минимальным массогабаритным параметрам,СП 18.13330.2019,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000058
,,,,BAC030,Определение характеристик материалов,Определение отличительных свойств проектируемого объекта по материалам,"ГОСТ 27751-2014
ГОСТ 31937-2024
ТР ТС 018/2011",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000059
,,,,BAC040,Определение технико-экономических характеристик,"Определение отличительных свойств проектируемого объекта, используемых при расчете технико-экономического обоснования",СП 19.13330.2019,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000060
,,,,BAC050,Определение расчетных характеристик,"Определение отличительных свойств проектируемого объекта, используемых при расчетах и анализах",ГОСТ 27751-2014,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000061
,,BAD,,,Определение допущений при проектировании,"Определение факторов при проектировании, которые трудно идентифицировать, но считаются верными без привлечения доказательств","ГОСТ Р 54869-2011
ГОСТ Р 54870-2011
Постановление Правительства РФ от 16.02.2008 N 87",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000062
,,,,BAD010,Определение расчетных допущений,"Определение особых расчетных параметров и функциональных требований, которые не оговариваются или допускаются в стандарте",ГОСТ 27751-2014,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000063
,,,,BAD020,Определение пространственных допущений,"Определение особых параметров, которые допускается учитывать при размещении объекта",СП 18.13330.2019,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000064
,,,,BAD030,Определение массогабаритных допущений,"Определение особых расчетных параметров, которые допускается учитывать при выборе массогабаритных характеристик",СП 18.13330.2019,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000065
,,,,BAD040,Определение технико-экономических допущений,"Определение особых расчетных параметров, которые допускается учитывать при расчете технико-экономического обоснования",СП 19.13330.2019,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000066
,,BAE,,,Детализация характеристик объекта проектирования,"Процесс дополнения характеристик проектируемого объекта, позволяющий более точно его идентифицировать","СП 47.13330.2016
ГОСТ 33100-2014
ТР ТС 014/2011",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000067
,,,,BAE010,Детализация характеристик объекта проектирования по итогам выполнения расчетных обоснований,"Процесс дополнения характеристик проектируемого объекта по итогам выполнения расчетных обоснований, позволяющий более точно его идентифицировать","СП 47.13330.2016
ГОСТ 33100-2014
ТР ТС 014/2011",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000068
,,,,BAE020,Детализация характеристик объекта проектирования по итогам разработки проектных решений в проекте,"Процесс дополнения характеристик проектируемого объекта по итогам разработки проектных решений в проекте, позволяющий более точно его идентифицировать","СП 47.13330.2016
ГОСТ 33100-2014
ТР ТС 014/2011",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000069
,,BAF,,,Уточнение характеристик объекта проектирования,"Процесс пояснения, разъяснения, конкретизации характеристик объекта проектирования","СП 47.13330.2016
СП 23.13330.2018
ГОСТ 33100-2014
ТР ТС 014/2011",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000070
,,,,BAF010,Уточнение характеристик объекта проектирования по итогам выполнения расчетных обоснований,"Процесс пояснения, разъяснения, конкретизации характеристик объекта проектирования по итогам выполнения расчетных обоснований","СП 47.13330.2016
СП 23.13330.2018
ГОСТ 33100-2014
ТР ТС 014/2011",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000071
,,,,BAF020,Уточнение характеристик объекта проектирования по итогам разработки проектных решений в проекте,"Процесс пояснения, разъяснения, конкретизации характеристик объекта проектирования по итогам разработки проектных решений в проекте","СП 47.13330.2016
СП 23.13330.2018
ГОСТ 33100-2014
ТР ТС 014/2011",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000072
,BB,,,,Разработка проектных решений,Процесс разработки проектных решений в соответствии с утвержденными требованиями,"ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 9001-2015",По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000073
,,BBA,,,Разработка схемы планировочной организации земельного участка,Процесс разработки схемы планировочной организации земельного участка в соответствии с утвержденными требованиями,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000074
,,BBB,,,Разработка объемно-планировочных и архитектурных решений,Процесс разработки Разработка объемно-планировочных и архитектурных решений в соответствии с утвержденными требованиями,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000075
,,BBC,,,Разработка конструктивных решений,Процесс разработки конструктивных решений в соответствии с утвержденными требованиями,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000076
,,BBD,,,Разработка проектных решений по системе электроснабжения,Процесс разработки проектных решений по системе электроснабжения в соответствии с утвержденными требованиями,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000077
,,BBE,,,Разработка проектных решений по системе водоснабжения,Процесс разработки проектных решений по системе водоснабжения в соответствии с утвержденными требованиями,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000078
,,BBF,,,Разработка проектных решений по системе водоотведения,Процесс разработки проектных решений по системе водоотведения в соответствии с утвержденными требованиями,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000079
