Класс,Подкласс 1,Подкласс 2,"Тип
(%%)",Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,"Примеры компонентов по ISO
по ISO 81346-2:2019","Примеры компонентов (НТД РФ)
(НТД РФ)",IFC-entity,КСР,МССК,ПСК,Примечание,Синонимы
,,BDA,,датчик плотности,объект для измерения плотности со скалярным выходом,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"аэрометр, датчик плотности, гидрометр",,"IfcTransportElement, IfcSensor","26.51.70.190.62.5.03.03-0018
",ЭЛ 40 55 20 10,,,
,,BDB,,реле плотности,объект индикации наличия плотности для измеряемой среды,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,датчик плотности,,IfcSensor,,ЭЛ 40 55 20 10,,,
,BE_,,,объект для измерения поля,объект для измерения поля,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
,,BEA,,датчик электрического поля,"объект для измерения электрического поля со скалярным выходом
-
Устройство, которое под воздействием физического явления создает электрический сигнал, характеризующий физическое явление.","ГОСТ IEC 60050-151-2014
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,датчик электрического тока,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BEB,,детектор электрического поля,объект индикации наличия электрического поля,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcSensor,,ЭЛ 40 55 20 17,,,
,,BEC,,датчик магнитного поля,объект для измерения магнитного поля со скалярным выходом,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,датчик Холла,,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BED,,детектор магнитного поля,объект индикации наличия магнитного поля,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"вибрационное реле, герконовый переключатель",,IfcSensor,,ЭЛ 40 55 20 17,,,
,BF_,,,объект для измерения расхода,объект для измерения потока,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
,,BFA,,датчик расхода,объект для измерения потока со скалярным выходом,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"датчик расхода, датчик расхода газа, датчик расхода жидкости, датчик расхода твердого вещества, датчик расхода воды","водомерный узел (узел учета)
квартирный (абонентский) счетчик
квартирный прибор учета воды
прибор учета расхода воды","IfcSensor, IfcFlowMeter","65.1.01.01
65.1.01.02
65.1.01.03","ЭЛ 40 15 36
ЭЛ 40 15 38
ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,
,,BFB,,реле потока,объект индикации наличия потока измеряемой среды,,,"реле расхода газа, реле расхода твердого вещества",,IfcSensor,,,,,
,BG_,,,объект для измерения физических параметров,объект для измерения пространственных измерения и/или положения,ISO 81346-2:2019,Вид измеряемой переменной и вид выходного сигнала,,,,,,,,
,,BGA,,датчик положения,"объект для измерения физических размеров положения со скалярным выходом
-
Дополнительный блок, дающий информацию о положении выходного элемента исполнительного механизма (для исполнительного механизма) или затвора исполнительного устройства (для исполнительного устройства)","ГОСТ 14691-69
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"датчик положения, датчик присутствия,
радар, датчик направления ветра",,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BGB,,детектор изменения положения,объект индикации изменения положения объекта,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"детектор движения,
пассивный инфракрасный датчик движения, датчик положения, индикатор присутствия",,IfcSensor,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 12",,,
,,BGC,,датчик расстояния,объект для измерения физических размеров длины (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"лазерный датчик расстояния,
датчик положения, датчик видимости",,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BGD,,детектор линейного перемещения,объект индикации изменения расстояния (линейного),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"лазерный датчик расстояния, лазерный дальномер, детектора движения,
пассивный инфракрасный датчик движения, датчик положения, индикатор
присутствия, детектор видимости",,IfcSensor,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,
,,BGE,,датчик угла поворота,объект для измерения величины угла или направления (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"датчик выравнивания, концевой упор, датчик положения, преобразователь
положения, угловой кодер, индикатор направления ветра",,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BGF,,детектор углового перемещения,объект индикации изменения расстояния (углового),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"пороговый детектор выравнивания, детектор движения,
пассивный инфракрасный датчик движения, датчик положения, индикатор присутствия, радар",,IfcSensor,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,
,,BGG,,сканер объектов,объект для измерения линейных размеров физического объекта,,,"двумерный сканер, трехмерный сканер, сканер координат, лазерный сканер",,IfcSensor,,,,,
,BH_,,,объект для измерения энергии,объект для измерения энергии,ISO 81346-2:2019,Вид энергии,,,,,,,,
,,BHA,,датчик расхода энергии,объект для измерения энергии потока с заданной плотностью энергии,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"счетчик энергии охлаждения, счетчик энергии, датчик энергии, газовый
счетчик электроэнергии",,IfcSensor,,"ЭЛ 40 50 20 60
ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,
,,BHB,,тепловой датчик,объект для измерения энергии теплового потока с заданной теплоемкостью,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"датчик конденсата, счетчик энергии, счетчик энергии, датчик энергии",,IfcSensor,63.4.04,"ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,
,,BHC,,датчик электроэнергии,объект для измерения энергии электрического потока,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,датчик кВтּч,,IfcSensor,,ЭЛ 40 55 20 10,,,
,BJ_,,,объект для измерения мощности,объект для измерения мощности,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
,,BJA,,датчик мощности,объект для измерения мощности (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,счетчик кВт,,IfcSensor,,"ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,
,,BJB,,реле мощности,"объект индикации наличия мощности 
-
Измерительное реле с более чем одной входной возбуждающей величиной, например электрический ток и напряжения, которое по своей конструкции предназначено реагировать только на мощность",ГОСТ IEC 60050-447-2014,,,,IfcSensor,,,,,
,BK_,,,объект для измерения времени,объект для измерения времени,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
,,BKA,,таймер,"объект для измерения времени (скалярное значение)
-
Управляющее устройство с отсчетом времени, которое требует ручного запуска для начала следующего цикла.",ГОСТ IEC 60730-1-2011,,"часы, устройство информации о времени",,IfcSensor,,,,,
,,BKB,,реле времени,"объект индикации изменения времени
-
Управляющее устройство с отсчетом времени, которое начинает следующий цикл после завершения предыдущего.","ГОСТ IEC 60730-1-2011
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,счетчик времени,,IfcSensor,62.1.04.02,ЭЛ 40 55 20 14,,,
,BL_,,,объект для измерения уровня,объект для измерения уровня,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
,,BLA,,датчик уровня,объект для измерения уровня (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"датчик уровня, датчик уровня жидкости",,IfcSensor,"28.14.11.122.62.1.04.01-1048
28.14.11.122.62.1.04.01-1050
28.14.11.122.62.1.04.01-1052
28.14.11.122.62.1.04.01-1054
28.14.11.122.62.1.04.01-1056
28.14.11.122.62.1.04.01-1058",ЭЛ 40 55 20 10,,,
,,BLB,,индикатор уровня,объект индикации изменения уровня,,,индикатор уровня жидкости,,,,,,,
,BM_,,,объект для измерения влажности,объект для измерения влажности,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
,,BMA,,датчик влажности,"объект для измерения влажности (скалярное значение)
-
Первичный измерительный преобразователь величин влажности в другие физические величины для удобства измерения, например в электрические величины"," РМГ 75-2014
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,датчик влажности,,IfcSensor,26.51.52.190.62.9.01.02-1024,ЭЛ 40 55 20 10,,,
,,BMB,,реле влажности,объект индикации наличия влажности,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,датчик влажности,,IfcSensor,,ЭЛ 40 55 20 10,,,
,BP_,,,объект для измерения давления,объект для измерения давления,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
,,BPA,,датчик абсолютного давления,"объект для измерения давления, использующий один порт для измерения абсолютного давления (скалярное значение)
-
Датчик абсолютного давления измеряет давление относительно абсолютного вакуума (нулевого давления).","ГОСТ Р 57844-2017
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"датчик абсолютного давления,
манометр, узел контроля давления, датчик давления, преобразователь
давления",манометр,IfcSensor,"28.14.11.122.62.1.04.01-1024
28.14.11.122.62.1.04.01-1026
28.14.11.122.62.1.04.01-1028
28.14.11.122.62.1.04.01-1030
28.14.11.122.62.1.04.01-1032
28.14.11.122.62.1.04.01-1034
30.20.40.154.62.7.01.04-1034
63.4.01","ЭЛ 40 55 20 13
ЭЛ 40 55 20 10",,,
,,BPB,,реле абсолютного давления,объект индикации наличия абсолютного давления,,,реле давления,,IfcSensor,"28.14.11.122.62.1.04.01-1024
28.14.11.122.62.1.04.01-1026
28.14.11.122.62.1.04.01-1028
28.14.11.122.62.1.04.01-1030
28.14.11.122.62.1.04.01-1032
28.14.11.122.62.1.04.01-1034",,,,
,,BPC,,датчик относительного давления,"объект для измерения давления, использующий два порта для измерения перепада давления (скалярное значение)",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"датчик перепада давления, датчик давления, датчик
относительного давления",манометр,IfcSensor,"28.14.11.122.62.1.04.01-1024
28.14.11.122.62.1.04.01-1026
28.14.11.122.62.1.04.01-1028
28.14.11.122.62.1.04.01-1030
28.14.11.122.62.1.04.01-1032
28.14.11.122.62.1.04.01-1034
30.20.40.154.62.7.01.04-1034
63.4.01","ЭЛ 40 55 20 13
ЭЛ 40 55 20 10",,,
,,BPD,,реле относительного давления,"объект индикации наличия относительного давления, использующий два порта для измерения перепада давления",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"датчик давления, реле давления, детектор
относительного давления, реле относительного давления",,IfcSensor,"28.14.11.122.62.1.04.01-1024
28.14.11.122.62.1.04.01-1026
28.14.11.122.62.1.04.01-1028
28.14.11.122.62.1.04.01-1030
28.14.11.122.62.1.04.01-1032
28.14.11.122.62.1.04.01-1034","ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,
,BQ_,,,объект для измерения концентрации веществ,объект для измерения концентрации вещества,ISO 81346-2:2019,Вид объекта и вид выходного сигнала,,,,,,,,
,,BQA,,датчик газа,объект для измерения концентрации газа (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,датчик концентрации CO,,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BQB,,детектор газа,объект индикации определенной концентрации газа,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,детектор изменения концентрации газа,,IfcSensor,,ЭЛ 40 55 20 17,,,
,,BQC,,датчик жидкости,объект для измерения концентрации жидкости (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"датчик тумана, датчик концентрации бензина",,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BQD,,детектор жидкости,объект индикации концентрации жидкости,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,детектор тумана,,IfcSensor,,ЭЛ 40 55 20 17,,,
,,BQE,,датчик твердых веществ,объект для измерения концентрации твердых веществ (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,датчик запыленности,,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BQF,,детектор твердых веществ,объект индикации наличия определенной концентрации твердых веществ,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,детектор запыленности,,IfcSensor,,ЭЛ 40 55 20 17,,,
,BR_,,,объект для измерения излучения,объект для измерения излучения,ISO 81346-2:2019,Вид излучения и вид выходного сигнала,,,,,,,,
,,BRA,,датчик света,объект для измерения излучения видимых электромагнитных волн (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BRB,,фотореле,объект индикации наличия определенной степени излучения видимых электромагнитных волн,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"передатчик света, линейный детектор, реле слабой освещенности, фотоэлемент",,IfcSensor,62.1.04.12,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,
,,BRC,,датчик электромагнитных волн,объект для измерения излучения невидимых электромагнитных волн (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"детектор гамма-излучения, ИК-датчик, радиолокационный датчик, УФ-датчик",,IfcSensor,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,
,,BRD,,электромагнитное реле,"объект индикации наличия излучения невидимых электромагнитных волн
-
Электромеханическое реле, предопределенная реакция которого является результатом действия электромагнитных сил.",ГОСТ IEC 61810-1-2013,,,,IfcSensor,"27.12.24.160.77.4.02.01-1044
27.12.24.160.77.4.02.01-1046
27.12.24.160.77.4.02.01-1048
27.12.24.160.77.4.02.01-1050
27.12.24.160.77.4.02.01-1052",,,,
,,BRE,,датчик излучения,объект для измерения излучения ионизирующих частиц (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,счетчик Гейгера,,IfcSensor,,"ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,
,,BRF,,детектор излучения,объект индикации излучения ионизирующих частиц,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcSensor,,ЭЛ 40 55 20 17,,,
,BS_,,,объект оценки временем,объект для измерения интенсивности чего-либо по времени,ISO 81346-2:2019,Вид измеряемого объекта времени и вид выходного сигнала,,,,,,,,
,,BSA,,датчик продолжительности цикла,объект для измерения времени неповторяющихся циклов действий (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"датчик продолжительности цикла, преобразователь частоты",,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BSB,,реле продолжительности цикла,объект индикации времени неповторяющихся циклов действий ,,,,,,,,,,
,,BSC,,датчик скорости,объект для измерения скорости (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"датчик движения, датчик скорости",,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BSD,,реле контроля скорости,объект индикации скорости,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,детектор движения,,,,ЭЛ 40 55 20 17,,,
,,BSE,,тахометр,"объект для измерения скорости вращения (скалярное значение).
Прибор для измерения угловой скорости вращающихся частей машин, механизмов и приборов ","ГОСТ 18303-72
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,датчик скорости вращения,,IfcSensor,,"ЭЛ 40 55 20 20
ЭЛ 40 55 20 10",,,
,,BSF,,реле скорости вращения,объект индикации наличия скорости вращения,,,реле скорости изменения частоты,,IfcSensor,,,,,
,,BSG,,датчик ускорения,объект для измерения ускорения (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,сейсмический датчик,,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BSH,,реле ускорения,объект индикации ускорения,,,"сейсмический переключатель, переключатель встряхивания",,IfcSensor,,,,,
,BT_,,,объект для измерения температуры,объект для измерения температуры,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
,,BTA,,датчик температуры,"объект для измерения температуры (скалярное значение)
-
Компонент, определяющий температуру контролируемой или окружающей среды.","ГОСТ Р 55204-2012
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,датчик температуры,,IfcSensor,63.4.03.01,ЭЛ 40 55 20 10,,,
,,BTB,,температурное реле,объект индикации наличия температуры,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,детектор температуры,,"IfcActuator, IfcProtectiveDevice, IfcProtectiveDeviceTrippingUnit, IfcUnitaryControlElement, IfcSensor",63.4.03.02,ЭЛ 40 55 20 17,,,
,BU_,,,объект для измерения множества величин параметров,объект для измерения множества величин,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
,,BUA,,многосенсорное измерительное устройство,объект для измерения множества величин (одно или несколько скалярных значений),,,мультиметр,,IfcSensor,,,,,
,,BUB,,многоканальный детектор,объект индикации наличия множества величин,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"реле Бухгольца, реле
дистанционной защиты, реле защиты полного сопротивления, реле
обратной последовательности",,IfcSensor,,ЭЛ 40 55 20 17,,,
,BW_,,,объект для измерения силы,"объект для измерения веса, усилия или крутящего момента",ISO 81346-2:2019,"Вид измеряемого объекта и вид выходного
сигнала",,,,,,,,
,,BWA,,датчик веса,объект для измерения веса (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,датчик веса,дозатор,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BWB,,реле весовой нагрузки,объект для измерения веса с логическим выходом,,,,,IfcSensor,,,,,
,,BWC,,датчик усилия,объект для измерения усилий (скалярное значений),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,датчик усилия,,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BWD,,реле усилия,объект индикации наличия усилия,,,,,IfcSensor,,,,,
,,BWE,,датчик крутящего момента,объект для измерения крутящего момента (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,датчик крутящего момента,,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BWF,,реле крутящего момента,объект индикации крутящего момента,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,датчик крутящего момента,,IfcSensor,,ЭЛ 40 55 20 10,,,
,BX_,,,объект аудиовизуального восприятия,"объект измерения, чувствительный к звуку и/ или визуальному проявлению",ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
,,BXA,,акустический приемник,аудио чувствительный объект воспринимающий звуковые волны (скалярное значение),,,"устройство сейсмоакустического исследования, микрофон",,"IfcAudioVisualAppliance, IfcCommunicationsAppliance",,,,,
,,BXB,,акустический детектор,аудио чувствительный объект индикации наличия звука,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,датчик разбивания стекла,,"IfcSensor, IfcAudioVisualAppliance",,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,
,,BXC,,видео датчик,аудио-визуально чувствительный объект для реагирования на визуальное проявление (скалярное значение),Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"камера, система видеонаблюдения, сканер, видеокамера",,IfcAudioVisualAppliance,,ЭЛ 40 55 20 10,,,
,,BXD,,детектор изображения,аудио-визуально чувствительный объект для реагирования на визуальное проявление,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"устройство распознавания лиц,
сканер отпечатков пальцев, сканер радужной оболочки",,IfcAudioVisualAppliance,,ЭЛ 40 55 20 17,,,
,BY_,,,объект для считывания информации,"объект, для считывания хранимой информации",ISO 81346-2:2019,Вид метода,,,,,,,,
,,BYA,,устройство чтения микросхем,объект для считывания информации путем электрического соединения,,,устройство считывания чип-карт,,IfcCommunicationsAppliance,,,,,
,,BYB,,электромагнитное считывающее устройство,объект для считывания информации путем электромагнитного поля,,,"считыватель магнитных полос, считыватель RFC, считыватель RFID, считыватель магнитных лент",,IfcCommunicationsAppliance,,,,,
,,BYC,,оптическое считывающее устройство,объект для считывания информации при помощи светового луча,,,"считыватель штрих-кода, считыватель оптических дисков, считыватель QR-кода",,IfcCommunicationsAppliance,,,,,
,BZ_,,,объект для подсчета некоторых событий или количеств,объект для измерения событий или количеств,ISO 81346-2:2019,Вид или количество измеряемых событий,,,,,,,,
,,BZA,,счетчик,"объект для измерения событий, регистрирующий некоторые события (скалярное значение)
-
Термин общего характера для обозначения установки (такой как счетчик Гейгера или сцинтилляционный счетчик), которая показывает или записывает число физических событий, регистрируемых на протяжении заданного интервала времени","ГОСТ Р МЭК 60050-881-2008
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,,,ЭЛ 40 55 20 14,,,
,,BZB,,пороговый счетчик,объект индикации порогового значения некоторых событий,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,,,ЭЛ 40 55 20 14,,,
,,BZC,,детектор присутствия человека,объект индикации присутствия человека,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,датчик присутствия,,IfcSensor,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,
,,BZD,,детектор предметов,объект индикации присутствия твердых веществ,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcSensor,,ЭЛ 40 55 20 17,,,
C_,,,,объект для хранения и извлечения,объект для хранения и последующего извлечения,ISO 81346-2:2019,"Вид объекта хранения и
применяемый метод",,,,,,,,
,CA_,,,объект емкостного хранения,объект для хранения электрической энергии в электростатическом поле,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,CAA,,конденсатор,"емкостный объект для хранения электрического заряда
-
Устройство, основным свойством которого является электрическая емкость.",ГОСТ 31636.3-2012,,,,IfcElectricFlowStorageDevice,,,,,
,CB_,,,объект индуктивного хранения,объект для хранения электрической энергии в электромагнитном поле,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,CBA,,индуктор,индуктивный объект для хранения индуктивного заряда,,,,,,,,,,
,CC_,,,объект электрохимического хранения,объект для хранения электрической энергии в электрохимическом веществе,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,CCA,,аккумуляторная батарея,"электрохимический объект для хранения путем обратимых реакций
-
Два или более аккумуляторов, соединенных вместе и используемых как источник электроэнергии.",ГОСТ Р МЭК 62485-2-2011,,,,IfcElectricFlowStorageDevice,,,,,
,CF_,,,объект для хранения информации,объект для хранения информации,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,CFA,,носитель информации,"объект для хранения информации на переносном носителе
-
Материальный объект, в том числе физическое поле, в котором информация находит свое отображение в виде символов, образов, сигналов, технических решений и процессов, количественных характеристик физических величин.",ГОСТ Р 50922-2006,,,,,,,,,
,CL_,,,открытый стационарный объект для хранения или размещения,объект в стационарном открытом корпусе для хранения веществ или размещения людей ,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,CLA,,открытый резервуар,"открытый стационарный объект для хранения жидкостей
-
Стационарный сосуд, предназначенный для хранения газообразных, жидких и других веществ","СТО 70238424.27.010.001-2008
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"бункер, цистерна, яма","резервуар
резервуар для воды",IfcTank,,ЭЛ 40 50 10 36,,,
,,CLB,,полка,"открытый стационарный объект для хранения объектов
-
Мебельное изделие без передней стенки, с задней стенкой или без нее, для размещения книг или других предметов "," ГОСТ 20400-2013
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,стеллаж,мебель,IfcFurniture,,"ЭЛ 40 60 10
ЭЛ 40 60 10 19
ЭЛ 40 60 10 20",,,
,,CLC,,посадочное место,открытый объект для расположения людей,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"стул, диван",мебель,IfcFurniture,,"ЭЛ 40 60 10
ЭЛ 40 60 10 13
ЭЛ 40 60 10 24",,,
,CM_,,,закрытый стационарный объект для хранения или размещения,объект для хранения веществ или вещей в закрытом стационарном корпусе,ISO 81346-2:2019,Вид хранимых веществ,,,,,,,,
,,CMA,,закрытый резервуар,закрытый стационарный объект для хранения жидкостей,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,"бак
гидропневмобак
камера (резервуар) чистой воды",IfcTank,,"ЭЛ 40 50 10 10
ЭЛ 40 50 10 36",,,
