code,level_1,level_2,level_3,level_4,IFC,param_1
ЭЛ 20 20 37,,,Подстропильная балка,,,
ЭЛ 20 20 38,,,Подстропильная ферма,,,
ЭЛ 20 20 39,,,Конек,,,
ЭЛ 20 20 40,,,Коньковый брусок,,ifcBeam,
ЭЛ 20 20 45,,,Коньковый прогон,,ifcBeam,
ЭЛ 20 20 46,,,Лага,,,
ЭЛ 20 20 47,,,Ребро,,,
ЭЛ 20 20 50,,,Ригель кровельный,,ifcBeam,
ЭЛ 20 20 55,,,Сплошной настил,,ifcCovering,
ЭЛ 20 20 60,,,Ограждение кровли,,,
ЭЛ 20 30,,Компоненты для устройства кровли,,,,
ЭЛ 20 30 10,,,Ветрозащитный слой,,ifcCovering,MEMBRANE
ЭЛ 20 30 12,,,Водоизоляционный ковер,,ifcCovering,INSULATION
ЭЛ 20 30 14,,,Воронка дождеприемная,,ifcflowterminal,
ЭЛ 20 30 16,,,Гидроизоляционный слой,,ifcCovering,INSULATION
ЭЛ 20 30 17,,,Ендова,,,
ЭЛ 20 30 18,,,Капельник,,,
ЭЛ 20 30 20,,,Крепление желоба,,,
ЭЛ 20 30 22,,,Кровельный аэратор,,ifcflowterminal,
ЭЛ 20 30 24,,,Мансардное окно,,ifcWindow,
ЭЛ 20 30 26,,,Пароизоляционный слой,,ifcCovering,MEMBRANE
ЭЛ 20 30 28,,,Подкладочный ковер,,ifcCovering,ROOFING
ЭЛ 20 30 30,,,Подшивка карниза,,,
ЭЛ 20 30 32,,,Предохранительный слой,,ifcCovering,
ЭЛ 20 30 34,,,Пригруз,,,
ЭЛ 20 30 35,,,Примыкание,,,
ЭЛ 20 30 36,,,Противокорневой слой,,ifcCovering,
ЭЛ 20 30 38,,,Разделительный слой,,ifcCovering,
ЭЛ 20 30 40,,,Растительный слой,,ifcCovering,
ЭЛ 20 30 41,,,Свес,,,
ЭЛ 20 30 42,,,Слой усиления водоизоляционного ковра,,ifcCovering,
ЭЛ 20 30 44,,,Снегозадержание,,,
ЭЛ 20 30 46,,,Стяжка кровли,,ifcCovering,FLOORING
ЭЛ 20 30 48,,,Теплоизоляционный слой,,ifcCovering,INSULATION
ЭЛ 20 90,,Армирование ЖБ элементов кровли,,,IfcReinforcingElement,
ЭЛ 30,Архитектурные и конструктивные элементы,,,,,
ЭЛ 30 10,,Ограждающие конструкции,,,,
ЭЛ 30 10 10,,,Витраж,,ifcCurtainWall,
ЭЛ 30 10 10 10,,,,Панель витража,ifcPlate,
ЭЛ 30 10 10 20,,,,Импост,ifcMember,
ЭЛ 30 10 15,,,Стена,,ifcWall,
ЭЛ 30 10 20,,,Перегородка,,ifcWall,
ЭЛ 30 10 25,,,Настил,,ifcCovering,FLOORING
ЭЛ 30 10 30,,,Навес затеняющий,,IfcShadingDevice,
ЭЛ 30 10 35,,,Панель навесная,,ifcCurtainWall,
ЭЛ 30 12 36,,,Парапет,,ifcWall,
ЭЛ 30 10 40,,,Перекрытие,,ifcSlab,
ЭЛ 30 10 45,,,Потолок,,ifcCovering,CEILING
ЭЛ 30 10 46,,,Потолок подвесной,,,
ЭЛ 30 10 56,,,Плита балкона,,ifcSlab,
ЭЛ 30 10 57,,,Плита лоджии,,ifcSlab,
ЭЛ 30 10 58,,,Плита козырька здания,,ifcSlab,
ЭЛ 30 10 60,,,Фасад,,ifcCurtainWall,
ЭЛ 30 10 61,,,Фасад вентилируемый,,ifcCurtainWall,
ЭЛ 30 10 65,,,Обойма трубопровода,,,
ЭЛ 30 10 66,,,Коллектор распределительный,,,
ЭЛ 30 10 67,,,Шахта лифта,,,
ЭЛ 30 10 68,,,Шахта инженерных коммуникаций,,,
ЭЛ 30 10 69,,,Деформационный шов,,,
ЭЛ 30 10 70,,,Шов стыка конструкций,,,
ЭЛ 30 10 71,,,Термовкладыш,,,
ЭЛ 30 10 72,,,Прослойка из раствора,,,
ЭЛ 30 10 73,,,Днище,,,
ЭЛ 30 10 74,,,Днище бункера,,,
ЭЛ 30 10 75,,,Панель стеновая наружная рядовая,,,
ЭЛ 30 10 76,,,Панель стеновая наружная простеночная,,,
ЭЛ 30 10 77,,,Панель стеновая наружная карнизная,,,
ЭЛ 30 10 78,,,Панель стеновая перегородка,,,
ЭЛ 30 10 79,,,Блок угловой стеновых панелей,,,
ЭЛ 30 12,,Ограждения,,,ifcRailing,
ЭЛ 30 12 10,,,Поручень,,ifcRailing,
ЭЛ 30 12 20,,,Перила,,ifcRailing,
ЭЛ 30 12 40,,,Отбойник,,ifcRailing,
ЭЛ 30 12 50,,,Стойка ограждения,,,
ЭЛ 30 12 55,,,Экран ограждения,,,
ЭЛ 30 14,,"Проемы, ниши",,,,
ЭЛ 30 14 10,,,Проем,,ifcOpening,
ЭЛ 30 14 20,,,Отверстие,,ifcOpening,
ЭЛ 30 14 30,,,Ниша,,ifcOpening,RECESS
ЭЛ 30 16,,Элементы конструкций,,,,
ЭЛ 30 16 10,,,Арка,,,
ЭЛ 30 16 15,,,База колонны,,ifcColumn,
ЭЛ 30 16 20,,,Балка,,ifcBeam,
ЭЛ 30 16 21,,,Балка подкрановая,,ifcBeam,
ЭЛ 30 16 22,,,Крановая эстакада,,ifcAssambly,
ЭЛ 30 16 25,,,Капитель,,ifcColumn,
ЭЛ 30 16 30,,,Каркас,,"ifcAssambly, IfcBeam",
ЭЛ 30 16 35,,,Карниз,,IfcCovering.MOLDING,
ЭЛ 30 16 36,,,Кессон потолочный прямоугольный,,,
ЭЛ 30 16 37,,,Кессон потолочный многогранный,,,
ЭЛ 30 16 38,,,Косоур,,ifcBeam,
ЭЛ 30 16 40,,,Колонна,,ifcColumn,
ЭЛ 30 16 41,,,Колонна двухветвевая,,ifcColumn,
ЭЛ 30 16 42,,,Фахверк,,ifcColumn,
ЭЛ 30 16 45,,,Перемычка,,ifcBeam,
ЭЛ 30 16 50,,,Пилон,,ifcColumn,
ЭЛ 30 16 52,,,Пояс,,ifcBeam,
ЭЛ 30 16 55,,,Рама,,ifcAssembly,
ЭЛ 30 16 56,,,Подкрановый рельс,,,
ЭЛ 30 16 61,,,Рельс,,ifcBeam,
ЭЛ 30 16 62,,,Монорельс,,ifcBeam,
ЭЛ 30 16 65,,,Ригель,,ifcBeam,
ЭЛ 30 16 75,,,Стакан опорный оборудования,,,
ЭЛ 30 16 76,,,Тяга фасадная,,,
ЭЛ 30 16 77,,,Блок угловой,,,
ЭЛ 30 16 78,,,Блок вентиляционный,,,
ЭЛ 30 16 79,,,Блок инженерных коммуникаций,,,
ЭЛ 30 16 80,,,Отдельные элементы решетчатых конструкций,,,
ЭЛ 30 16 80 10,,,,Раскос,ifcMember,
ЭЛ 30 16 80 15,,,,Опора,ifcMember,
ЭЛ 30 16 80 20,,,,Связь,ifcMember,
ЭЛ 30 16 80 25,,,,Стойка,ifcColumn,
ЭЛ 30 16 80 30,,,,Ферма,"IfcElementAssembly
IfcBeam",
ЭЛ 30 16 95,,,Прочие конструкции,,ifcMember,
ЭЛ 30 18,,"Окна, двери и ворота",,,,
ЭЛ 30 18 10,,,Балконная дверь,,ifcDoor,
ЭЛ 30 18 20,,,Ворота,,ifcDoor,
ЭЛ 30 18 30,,,Дверь,,ifcDoor,
ЭЛ 30 18 30 10,,,,Дверь герметическая,ifcDoor,
ЭЛ 30 18 30 20,,,,Дверь межкомнатная,ifcDoor,
ЭЛ 30 18 30 30,,,,Дверь входная,ifcDoor,
ЭЛ 30 18 40,,,Окно,,ifcWindow,
ЭЛ 30 18 50,,,Люк,,"ifcWindow 
IfcDoor",
ЭЛ 30 18 50 10,,,,Люк герметический,ifcWindow,
ЭЛ 30 18 50 20,,,,"Ревизия, лючок",ifcDoor,
ЭЛ 30 18 52,,,Фонарь зенитный,,ifcWindow,
ЭЛ 30 18 52 10,,,,Панель оконная фонарная,ifcWindow,
ЭЛ 30 18 52 20,,,,Фонарь световой,,
ЭЛ 30 18 52 30,,,,Фонарь свето-аэрационный,,
ЭЛ 30 18 60,,,Турникет,,ifcDoor,
ЭЛ 30 18 70,,,Шлагбаум,,ifcDoor,
ЭЛ 30 19,,Доборные элементы,,,,
ЭЛ 30 19 10,,,Наличник,,,
ЭЛ 30 19 15,,,Нащельник,,,
ЭЛ 30 19 26,,,Порожек,,,
ЭЛ 30 19 30,,,Откос,,,
ЭЛ 30 19 40,,,Отлив,,,
ЭЛ 30 19 50,,,Уголок,,,
ЭЛ 30 19 60,,,Фаска,,,
ЭЛ 30 19 70,,,Соединительная планка,,,
ЭЛ 30 19 80,,,Подоконник,,,
ЭЛ 30 20,,Мусороудаление,,,,
ЭЛ 30 20 10,,,Ствол мусороудаления,,ifcPipe,
ЭЛ 30 20 20,,,Загрузочный клапан мусоропровода,,,
ЭЛ 30 24,,Лестницы и пандусы,,,,
ЭЛ 30 24 10,,,Лестничный марш,,IfcStairFlight,
ЭЛ 30 24 20,,,Лестничная площадка,,ifcSlab,LANDING
ЭЛ 30 24 30,,,Лестница,,ifcStair,
ЭЛ 30 24 35,,,Лестница-трап,,ifcStair,
ЭЛ 30 24 40,,,Пандус,,ifcRamp,
ЭЛ 30 24 50,,,Горизонтальная площадка пандуса,,ifcSlab,LANDING
ЭЛ 30 24 60,,,Рампа,,ifcRamp,
ЭЛ 30 25,,"Печи, камины, очаги",,,,
ЭЛ 30 25 10,,,Камин,,,
ЭЛ 30 25 20,,,Печь,,,
ЭЛ 30 25 30,,,Очаг отопительный,,,
ЭЛ 30 25 40,,,Очаг пищеварочный,,,
ЭЛ 30 25 50,,,Дымоход,,,
ЭЛ 30 26,,Отделка стен,,,,
ЭЛ 30 26 10,,,Чистовая отделка стен,,ifcCovering,
ЭЛ 30 26 20,,,Черновая отделка стен,,ifcCovering,
ЭЛ 30 28,,Отделка потолка,,,,
ЭЛ 30 28 10,,,Чистовая отделка потолка,,IfcCovering,
ЭЛ 30 28 20,,,Черновая отделка потолка,,IfcCovering,
ЭЛ 30 29,,Детали декоративные,,,,
ЭЛ 30 29 10,,,Балясина,,,
ЭЛ 30 29 10 10,,,,Балясина рядовая,,
ЭЛ 30 29 10 20,,,,Балясина угловая,,
ЭЛ 30 29 15,,,Ваза декоративная,,,
ЭЛ 30 29 20,,,Герб,,,
ЭЛ 30 29 25,,,Деталь декоративная,,,
ЭЛ 30 29 30,,,Деталь декоративная погонная,,IfcCovering,
ЭЛ 30 29 35,,,Розетка кессонная,,IfcCovering,
ЭЛ 30 29 40,,,Капитель декоративная,,,
ЭЛ 30 29 50,,,Фриз,,IfcCovering,
ЭЛ 30 29 55,,,Плинтус,,IfcCovering,
ЭЛ 30 29 60,,,Сухарь,,,
ЭЛ 30 29 60 10,,,,Сухарь гладкий,,
ЭЛ 30 29 60 20,,,,Сухарь орнаментированный,,
ЭЛ 30 29 65,,,Шишка,,,
ЭЛ 30 29 65 10,,,,Шишка гладкая,,
ЭЛ 30 29 65 20,,,,Шишка орнаментированная,,
ЭЛ 30 29 70,,,Кронштейн цементный,,,
ЭЛ 30 29 75,,,Модульон,,,
ЭЛ 30 30,,Вспомогательные 3D-тела и формы,,,,
ЭЛ 30 30 10,,,Объем подземной части,,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 30 20,,,Объем надземной части,,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 30 30,,,Зона открывания двери,,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 30 40,,,Зона обслуживания оборудования,,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 30 50,,,Приямок,,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 30 55,,,Зона работы оборудования,,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 30 60,,,Зона строительства,,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 30 65,,,Зона нерегулярного нахождения людей,,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 30 70,,,Зона габарита приближения (транспорт),,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 30 75,,,Зона пожарной безопасности,,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 30 80,,,Зона освещенности естественным или искусственным светом,,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 30 85,,,"Зона температурного воздействия, специальных температурных условий",,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 30 90,,,"Зона специальных условий вентиляции, вытяжки воздуха",,"IfcBuildingElementProxy 
IfcSpatialZone",
ЭЛ 30 32,,Отделка (состав) пола,,,,
ЭЛ 30 32 10,,,Пол,,ifcCovering,FLOORING
ЭЛ 30 32 15,,,Гидроизоляция пола,,ifcCovering,
ЭЛ 30 32 20,,,Теплоизоляция пола,,ifcCovering,
ЭЛ 30 32 25,,,Звукоизоляция пола,,ifcCovering,
ЭЛ 30 32 30,,,Стяжка пола,,ifcCovering,
ЭЛ 30 32 35,,,Напольное покрытие,,ifcCovering,FLOORING
ЭЛ 30 32 40,,,"Крепеж напольного покрытия (раствор, клей и т.п.)",,ifcCovering,
ЭЛ 30 32 45,,,"Основа пола, лаги",,IfcBeam,
ЭЛ 30 80,,Закладные детали,,,,
ЭЛ 30 80 10,,,Закладная деталь,,IfcDiscreteAccessory,
ЭЛ 30 80 10 10,,,,"""столик""",IfcDiscreteAccessory,
ЭЛ 30 80 10 15,,,,шпилька,IfcDiscreteAccessory,
ЭЛ 30 80 10 20,,,,болт анкерный,IfcDiscreteAccessory,
ЭЛ 30 80 10 25,,,,петля,IfcDiscreteAccessory,
ЭЛ 30 90,,Армирование ж/б элементов,,,"IfcReinforcingElement:
- IfcReinforcingBar
- IfcReinforcingMesh
- IfcTendon
- IfcTendonAnchor",
ЭЛ 30 90 10,,,Арматурный стержень,,IfcReinforcingBar,
ЭЛ 30 90 20,,,Арматурная сетка,,IfcReinforcingMesh,
ЭЛ 30 90 30,,,Преднапряженная арматура,,IfcTendon,
ЭЛ 30 90 40,,,Арматурный канат,,IfcTendon,
ЭЛ 30 90 50,,,Анкер преднапряженной арматуры/арматурного каната,,IfcTendonAnchor,
ЭЛ 30 90 60,,,Арматурный каркас плоский,,IfcReinforcingMesh,
ЭЛ 30 90 70,,,Арматурный каркас пространственный,,IfcReinforcingMesh,
ЭЛ 30 90 80,,,С-образный фиксатор,,IfcReinforcingBar,
ЭЛ 30 90 81,,,Спиральная арматура,,IfcReinforcingBar,
ЭЛ 30 90 82,,,"Фиксатор ""лягушка""",,IfcReinforcingBar,
ЭЛ 40,Инженерное оснащение,,,,,
ЭЛ 40 10,,Подъемные и конвейерные механизмы,,,IfcTransportElement,
ЭЛ 40 10 10,,,Подъемный механизм,,IfcTransportElement,
ЭЛ 40 10 10 10,,,,Движущийся пандус,IfcTransportElement,ESCALATOR
ЭЛ 40 10 10 20,,,,Лифт,IfcTransportElement,ELEVATOR
ЭЛ 40 10 10 30,,,,Подъемник,IfcTransportElement,LIFTINGGEAR
ЭЛ 40 10 10 40,,,,Подъемная платформа,IfcTransportElement,LIFTINGGEAR
ЭЛ 40 10 10 50,,,,Эскалатор,IfcTransportElement,ESCALATOR
ЭЛ 40 10 10 60,,,,Элеватор,IfcTransportElement,ELEVATOR
ЭЛ 40 10 20,,,Горизонтальный конвейерный механизм,,IfcTransportElement,
ЭЛ 40 10 20 10,,,,Конвейер,IfcTransportElement,USERDEFINED
ЭЛ 40 10 20 20,,,,Движущаяся лента,IfcTransportElement,MOVINGWALKWAY
ЭЛ 40 10 20 30,,,,Травалатор,IfcTransportElement,MOVINGWALKWAY
ЭЛ 40 15,,"Водоснабжение, водоотведение, отопление, холодоснабжение, газоснабжение",,,,
ЭЛ 40 15 10,,,Труба,,,
ЭЛ 40 15 10 10,,,,Труба,IfcPipeSegment,
ЭЛ 40 15 10 20,,,,Гибкая труба,IfcPipeSegment,
ЭЛ 40 15 20,,,Фитинг,,ifcPipeFitting,
ЭЛ 40 15 20 10,,,,Врезка,ifcPipeFitting,
ЭЛ 40 15 20 15,,,,Грязевик,ifcPipeFitting,
ЭЛ 40 15 20 20,,,,Заглушка,ifcPipeFitting,
ЭЛ 40 15 20 25,,,,Крестовина,ifcPipeFitting,
ЭЛ 40 15 20 30,,,,Муфта,ifcPipeFitting,
ЭЛ 40 15 20 35,,,,Отвод,ifcPipeFitting,
ЭЛ 40 15 20 40,,,,Переход,ifcPipeFitting,
ЭЛ 40 15 20 45,,,,Прокладка соединительная,ifcPipeFitting,CONNECTOR
ЭЛ 40 15 20 50,,,,Ревизия канализационная,IfcDistributionChamberElement,
ЭЛ 40 15 20 52,,,,Решетка водоприемная,ifcPipeFitting,
ЭЛ 40 15 20 55,,,,Тройник,ifcPipeFitting,
ЭЛ 40 15 20 60,,,,Фланец,ifcPipeFitting,
ЭЛ 40 15 20 99,,,,Прочее,ifcPipeFitting,
ЭЛ 40 15 30,,,Трубопроводная арматура,,,
ЭЛ 40 15 30 05,,,,Вентиль,IfcValve,
ЭЛ 40 15 30 10,,,,Задвижка,IfcValve,
ЭЛ 40 15 30 15,,,,Затвор,IfcValve,
ЭЛ 40 15 30 20,,,,Кран,IfcValve,
ЭЛ 40 15 30 21,,,,Кран поливочный,IfcValve,
ЭЛ 40 15 30 25,,,,Клапан,IfcValve,
ЭЛ 40 15 30 30,,,,Клапан обратный,IfcDamper,
ЭЛ 40 15 30 35,,,,Клапан предохранительный,IfcDamper,
ЭЛ 40 15 30 36,,,,Клапан приемный,IfcValve,
ЭЛ 40 15 30 37,,,,Клапан проходной,IfcValve,
ЭЛ 40 15 30 40,,,,Клапан регулирующий,IfcDamper,
ЭЛ 40 15 30 41,,,,Клапан редукционный,,
ЭЛ 40 15 30 55,,,,Клапан редукционный,IfcValve,
ЭЛ 40 15 30 56,,,,Муфта противопожарная,IfcValve,
ЭЛ 40 15 30 60,,,,Фильтр,IfcFilter,
ЭЛ 40 15 30 65,,,,Компенсатор,IfcValve,
ЭЛ 40 15 30 70,,,,Конденсатоотводчик,IfcValve,
ЭЛ 40 15 30 99,,,,Прочее,IfcValve,
ЭЛ 40 15 31,,,Водоотводные сооружения,,,
ЭЛ 40 15 31 01,,,,Лотки дренажные водоотводные,,
ЭЛ 40 15 31 02,,,,Трубы ливневой канализации,,
ЭЛ 40 15 31 03,,,,Лотки телескопические,,
ЭЛ 40 15 32,,,Прокладки,,,
ЭЛ 40 15 33,,,Изоляция трубопроводов,,,
ЭЛ 40 15 34,,,Узел напорного трубопровода,,,
ЭЛ 40 15 35,,,Узел водомерный,,,
ЭЛ 40 15 36,,,Узел тепловой,,,
ЭЛ 40 15 37,,,Счетчик расхода воды,,,
ЭЛ 40 15 38,,,Оконечные устройства,,,
ЭЛ 40 15 42,,,Газовое оборудование,,,
ЭЛ 40 15 42 10,,,,Баллон,,
ЭЛ 40 15 42 15,,,,Водонагреватель газовый,,
ЭЛ 40 15 42 20,,,,Головка воздушная,,
ЭЛ 40 15 42 25,,,,Горелка,,
ЭЛ 40 15 42 30,,,,Диафрагма камерная,,
ЭЛ 40 15 42 35,,,,Затвор гидравлический,,
ЭЛ 40 15 42 40,,,,Клапан противовзрывной,,
ЭЛ 40 15 42 45,,,,Плита газовая,,
ЭЛ 40 15 42 50,,,,Регулятор давления,,
ЭЛ 40 15 42 55,,,,Установка редуцирования давления газа,,
ЭЛ 40 15 42 60,,,,Фильтр газовый,,
ЭЛ 40 20,,"Вентиляция, кондиционирование",,,,
ЭЛ 40 20 10,,,Воздуховод,,,
ЭЛ 40 20 10 10,,,,Воздуховод круглого сечения,ifcDuctSegment,
ЭЛ 40 20 10 20,,,,Воздузовод прямоугольного сечения,ifcDuctSegment,
ЭЛ 40 20 10 30,,,,Гибкий воздуховод,ifcDuctSegment,
ЭЛ 40 20 10 40,,,,Воздуховод плоскоовального сечения,,
ЭЛ 40 20 20,,,Фасонная часть воздуховода,,,
ЭЛ 40 20 20 10,,,,Врезка круглая,IfcDuctFitting,
ЭЛ 40 20 20 12,,,,Заглушка,IfcDuctFitting,
ЭЛ 40 20 20 14,,,,Крестовина,IfcDuctFitting,
ЭЛ 40 20 20 16,,,,Отвод,IfcDuctFitting,
ЭЛ 40 20 20 18,,,,Переход,IfcDuctFitting,
ЭЛ 40 20 20 20,,,,Тройник,IfcDuctFitting,
ЭЛ 40 20 20 22,,,,Врезка прямоугольная,IfcDuctFitting,
ЭЛ 40 20 20 24,,,,Врезка плоскоовальная,IfcDuctFitting,
ЭЛ 40 20 20 99,,,,Прочее,IfcDuctFitting,
ЭЛ 40 20 30,,,Оконечные устройства воздуховода,,,
ЭЛ 40 20 30 10,,,,Воздухораспределительная решетка,IfcAirTerminal,
ЭЛ 40 20 30 20,,,,Решетка,IfcAirTerminal,
ЭЛ 40 20 30 30,,,,Диффузор,IfcAirTerminal,
ЭЛ 40 20 30 50,,,,Сетка декоративная,IfcAirTerminal,
ЭЛ 40 20 30 40,,,,Анемостат,IfcAirTerminal,
ЭЛ 40 20 30 99,,,,Прочие устройства,IfcAirTerminal,
ЭЛ 40 20 40,,,Вентиляционное изделие,,,
ЭЛ 40 20 40 10,,,,Адаптер,,
ЭЛ 40 20 40 12,,,,Воздушная заслонка,,
ЭЛ 40 20 40 14,,,,Воздушный клапан,,
ЭЛ 40 20 40 16,,,,Воздушный фильтр,,
ЭЛ 40 20 40 18,,,,Дефлектор,,
ЭЛ 40 20 40 20,,,,Зонт,IfcAirTerminal,
ЭЛ 40 20 40 24,,,,Колпак,IfcAirTerminal,
ЭЛ 40 20 40 25,,,,Клапан обратный,,
ЭЛ 40 20 40 26,,,,Клапан лепестковый,,
ЭЛ 40 20 40 27,,,,Клапан перекидной,,
ЭЛ 40 20 40 28,,,,Камера воздушная,,
ЭЛ 40 20 40 29,,,,Камера обслуживания,,
ЭЛ 40 20 40 30,,,,Камера приточная,,
ЭЛ 40 20 40 31,,,,Камера статического давления,IfcAirTerminalBox,
ЭЛ 40 20 40 32,,,,Узел прохода вентиляционной шахты,IfcDuctSilencer,
ЭЛ 40 20 40 33,,,,Противопожарный воздушный клапан,IfcDamper,FIREDAMPER
ЭЛ 40 20 40 34,,,,Противодымный клапан,IfcDamper,FIRESMOKEDAMPER
ЭЛ 40 20 40 35,,,,Клапан вытяжки,IfcDamper,
ЭЛ 40 20 40 40,,,,Шибер,,
ЭЛ 40 20 40 42,,,,Шумоглушитель,IfcDuctSilencer,
ЭЛ 40 20 40 99,,,,Прочие изделия,,
ЭЛ 40 20 50,,,Вентиляционное оборудование,,,
ЭЛ 40 20 50 10,,,,Приточная установка,IfcAirToAirHeatRecovery,
ЭЛ 40 20 50 15,,,,Приточно-рециркуляционный агрегат,,
ЭЛ 40 20 50 19,,,,Вентиляторный агрегат,,
ЭЛ 40 20 50 20,,,,Вентилятор,IfcFan,
ЭЛ 40 20 50 25,,,,Виброизолятор,,
ЭЛ 40 20 50 30,,,,Воздушно-тепловая завеса,IfcAirToAirHeatRecovery,
ЭЛ 40 20 50 35,,,,Воздушно-отопительный агрегат ,,
ЭЛ 40 20 50 36,,,,Воздухонагреватель,,
ЭЛ 40 20 50 40,,,,Фанкойл,IfcAirTerminal,
ЭЛ 40 20 50 50,,,,Чиллер,IfcChiller,
ЭЛ 40 20 50 52,,,,Отсос,,
ЭЛ 40 20 50 53,,,,Скруббер,,
ЭЛ 40 20 50 54,,,,Циклон,,
ЭЛ 40 20 50 99,,,,Прочее оборудование,IfcAirTerminal,
ЭЛ 40 20 60,,,Изоляция воздуховодов,,,
ЭЛ 40 20 60 10,,,,Изоляция воздуховода обмоткой,IfcCovering,WRAPPING
ЭЛ 40 20 60 20,,,,Изоляция воздуховода в рукаве,IfcCovering,SLEEVING
ЭЛ 40 25,,Теплоснабжение,,,,
ЭЛ 40 25 10,,,Отопительное оборудование,,,
ЭЛ 40 25 10 10,,,,Воздухосборник,,
ЭЛ 40 25 10 12,,,,Воздухоотводчик,,
ЭЛ 40 25 10 15,,,,Конвектор,IfcSpaceHeater,
ЭЛ 40 25 10 20,,,,Котел отопительный,IfcBoiler,
