code,level_1,level_2,level_3,level_4,IFC,param_1
ПР 10 35 15,,,Высота архитектурная,,,ИМ раздел АР
ПР 10 35 16,,,Высота пожарно-техническая,,,"ИМ раздел АР, ПБ"
ПР 10 40,,Координаты,,,,
ПР 10 40 10,,,Отметка нуля проекта,,ElevationOfRefHeight,"ЦМ, ИМ"
ПР 10 40 12,,,Отметка уровня земли,,ElevationOfTerrain,"ЦМ, ИМ"
ПР 10 40 14,,,Координата С/Ю точки съемки,,,ИМ
ПР 10 40 16,,,Координата В/З точки съемки,,,ИМ
ПР 10 40 18,,,Отметка уровня точки съемки,,,ИМ
ПР 10 40 20,,,Угол от истинного севера точки съемки,,,ИМ
ПР 10 40 22,,,Координата С/Ю базовой точки,,,ИМ
ПР 10 40 24,,,Координата В/З базовой точки,,,ИМ
ПР 10 40 26,,,Отметка уровня базовой точки,,,ИМ
ПР 10 40 28,,,Угол от истинного севера базовой точки,,,ИМ
ПР 10 40 30,,,Координата Х пересечения осей 1/А,,,ИМ
ПР 10 40 32,,,Координата Y пересечения осей 1/A,,,ИМ
ПР 10 45,,Климатические характеристики,,,,
ПР 10 45 10,,,Климатический район,,,ИМ раздел КР
ПР 10 45 12,,,Климатический подрайон,,,ИМ раздел КР
ПР 10 45 13,,,Ветровой район,,,ИМ раздел КР
ПР 10 45 14,,,Ветровое давление,,,ИМ раздел КР
ПР 10 45 15,,,Снеговой район,,,ИМ раздел КР
ПР 10 45 16,,,Снеговое давление,,,ИМ раздел КР
ПР 10 45 17,,,Теплосодержание,,,ИМ раздел ИОС
ПР 10 45 18,,,Барометрическое давление,,,ИМ раздел ИОС
ПР 10 45 19,,,Удельная энтальпия,,,ИМ раздел ИОС
ПР 10 45 20,,,Расчетная температура воздуха наиболее холодной пятидневки,,,ИМ раздел ИОС
ПР 10 45 21,,,Средняя температура наружного воздуха за отопительный период,,,ИМ раздел ИОС
ПР 10 45 22,,,Продолжительность отопительного периода,,,ИМ раздел ИОС
ПР 10 45 23,,,Средняя скорость ветра за период со среднесуточной температурой воздуха <80C,,,ИМ раздел ИОС
ПР 10 50,,Сейсмические параметры,,,,
ПР 10 50 10,,,Сейсмичность площадки строительства,,,ИМ раздел КР
ПР 10 55,,Доступ инвалидов,,,,
ПР 10 55 10,,,Текущее количество подступенков,,NumberOfRiser,ЦМ (лестница)
ПР 10 55 12,,,Текущее количество проступей,,NumberOfTreads,ЦМ (лестница)
ПР 10 55 13,,,Доступность МГН,,HandicapAccessible,"ЦМ (помещение, зона квартиры, лифтовая кабина, лифтовой холл, двери)"
ПР 10 60,,Пожарная безопасность,,,,
ПР 10 60 10,,,Тип противопожарной преграды,,Type_PP,"ЦМ (перекрытия, стены, двери, окна, перегородки, тамбур-шлюзы)"
ПР 20,"ТЭП (Технико-
экономические показатели)",,,,,
ПР 20 10,,Общие,,,,
ПР 20 10 10,,,Площадь земельного участка,,,ИМ раздел АР
ПР 20 10 12,,,Площадь застройки,,,ИМ раздел АР
ПР 20 10 13,,,Площадь застройки подземной автостоянки,,,ИМ раздел АР
ПР 20 10 14,,,Общая площадь здания,,,ИМ раздел АР
ПР 20 10 15,,,Полезная площадь здания,,,ИМ раздел АР
ПР 20 10 16,,,Общая площадь надземной части здания,,,ИМ раздел АР
ПР 20 10 17,,,Общая площадь подземной части здания,,,ИМ раздел АР
ПР 20 10 18,,,Общая площадь технического подполья,,,ИМ раздел АР
ПР 20 10 19,,,Расчетная площадь здания,,,ИМ раздел АР
ПР 20 10 20,,,Площадь автостоянки,,,ИМ раздел АР
ПР 20 10 21,,,Вместимость автостоянки,,,ИМ раздел АР
ПР 20 10 22,,,Вместимость,,,"ИМ раздел АР, ЦМ (помещения)"
ПР 20 20,,ТЭП жилых зданий,,,,
ПР 20 20 10,,,Площадь жилого здания,,,ИМ раздел АР
ПР 20 20 12,,,Жилая площадь,,,ИМ раздел АР
ПР 20 20 14,,,Площадь вспомогательных помещений квартир,,,ИМ раздел АР
ПР 20 20 15,,,Квартиры для семей с инвалидами,,,ИМ раздел АР
ПР 20 20 16,,,Площадь помещений общественного назначения,,,ИМ раздел АР
ПР 20 20 17,,,Количество квартир-студий,,,ИМ раздел АР
ПР 20 20 18,,,Количество однокомнатных квартир,,,ИМ раздел АР
ПР 20 20 19,,,Количество двухкомнатных квартир,,,ИМ раздел АР
ПР 20 20 20,,,Количество трехкомнатных квартир,,,ИМ раздел АР
ПР 20 20 21,,,Количество четырехкомнатных квартир,,,ИМ раздел АР
ПР 20 20 22,,,Количество пятикомнатных квартир,,,ИМ раздел АР
ПР 20 30,,ТЭП объектов здравоохранения,,,,
ПР 20 30 10,,,"Стационары, роддомы",,,
ПР 20 30 10 10,,,,Количество коек,,ИМ раздел АР
ПР 20 30 20,,,"Диспансеры, поликлиники",,,
ПР 20 30 20 20,,,,Количество посещений в смену,,ИМ раздел АР
ПР 20 30 30,,,Организации скорой медицинской помощи,,,
ПР 20 30 30 10,,,,Количество выездов в год,,ИМ раздел АР
ПР 20 30 40,,,Отделение переливания крови,,,
ПР 20 30 40 10,,,,Количество литров в год заготавливаемой (перерабатываемой )крови,,ИМ раздел АР
ПР 20 40,,ТЭП магазинов,,,,
ПР 20 40 10,,,Торговая площадь,,,ИМ раздел АР
ПР 30,Параметры систем,,,,,
ПР 30 10,,Общие,,,,
ПР 30 10 10,,,Код системы,,SystemCode,ЦМ ИОС (системы)
ПР 30 10 20,,,Наименование системы,,SystemName,ЦМ ИОС (системы)
ПР 30 10 30,,,Описание системы,,LongName,ЦМ ИОС (системы)
ПР 30 10 40,,,Обозначение системы,,Reference,ЦМ ИОС (системы)
ПР 30 10 50,,,Признак энергоэффективного решения,,EnergyEff,ЦМ ИОС (системы)
ПР 30 15,,"Система отопления, вентиляции и кондиционирования",,,,
ПР 30 15 10,,,Источник теплоснабжения,,,ИМ раздел ИОС (ОВК)
ПР 30 15 12,,,Расчетная удельная характеристика расхода тепловой энергии на отопление и вентиляцию здания за отопительный период,,,ИМ раздел ИОС (ОВК)
ПР 30 15 13,,,Удельный расход тепловой энергии на отопление и вентиляцию здания за отопительный период,,,ИМ раздел ИОС (ОВК)
ПР 30 15 14,,,Теплоноситель,,,ИМ раздел ИОС (ОВК)
ПР 30 15 15,,,Температурный график,,,ИМ раздел ИОС (ОВК)
ПР 30 15 16,,,Регулирование отпуска теплоты,,,ИМ раздел ИОС (ОВК)
ПР 30 15 17,,,Схема присоединения,,,ИМ раздел ИОС (ОВК)
ПР 30 15 18,,,Температура воздуха в теплом чердаке,,,ИМ раздел ИОС (ОВК)
ПР 30 15 19,,,Температура воздуха в техническом подполье,,,ИМ раздел ИОС (ОВК)
ПР 30 15 20,,,Тепловая нагрузка на отопление,,,ИМ раздел ИОС (ОВК)
ПР 30 15 21,,,Схема системы отопления,,,ИМ раздел ИОС (ОВК)
ПР 30 15 22,,,Температура теплоносителя,,,ИМ раздел ИОС (ОВК)
ПР 30 15 23,,,Тип отопительных приборов,,,ИМ раздел ИОС (ОВК)
ПР 30 15 24,,,Рабочее давление отопительных приборов,,,ИМ раздел ИОС (ОВК)
ПР 30 15 25,,,Тип регулирования системы отопления,,,ИМ раздел ИОС (ОВК)
ПР 30 15 26,,,Отметка верхней точки,,,ИМ раздел ИОС (ОВК)
ПР 30 15 27,,,Тип системы по способу перемещения воздуха,,,ИМ раздел ИОС (ОВК)
ПР 30 15 28,,,Тип системы по зоне обслуживания,,,ИМ раздел ИОС (ОВК)
ПР 30 15 29,,,Расход воздуха,,,ИМ раздел ИОС (ОВК)
ПР 30 15 30,,,Тепловая нагрузка на вентиляцию,,,ИМ раздел ИОС (ОВК)
ПР 30 15 31,,,Хладагент,,,ИМ раздел ИОС (ОВК)
ПР 30 15 32,,,Холодоноситель,,,ИМ раздел ИОС (ОВК)
ПР 30 15 33,,,Холодоснабжение,,,ИМ раздел ИОС (ОВК)
ПР 30 15 34,,,Расход воздуха,,,ИМ раздел ИОС (ОВК)
ПР 30 15 35,,,Расход холода,,,ИМ раздел ИОС (ОВК)
ПР 30 15 36,,,Тепловая нагрузка на систему кондиционирования,,,ИМ раздел ИОС (ОВК)
ПР 30 15 37,,,Расход воздуха системы противодымной вентиляции,,,ИМ раздел ИОС (ОВК)
ПР 30 15 38,,,Тип побуждения,,IncentiveType,ЦМ ИОС (система ВК)
ПР 30 15 39,,,Назначение системы,,PurposeType,ЦМ ИОС (система ВК)
ПР 30 15 40,,,Тип воздухообмена,,ExchangeType,ЦМ ИОС (система ВК)
ПР 30 15 41,,,Тип теплоносителя,,HeatTransferAgent,ЦМ ИОС (система отопления)
ПР 30 20,,Система водоснабжения,,,,
ПР 30 20 10,,,Схема сети водопроводов холодной воды,,,ИМ раздел ИОС
ПР 30 20 12,,,Расход холодной воды,,,ИМ раздел ИОС
ПР 30 20 13,,,Расход горячей воды,,,ИМ раздел ИОС
ПР 30 20 14,,,Расчетная температура горячей воды,,,ИМ раздел ИОС
ПР 30 20 15,,,Источник водоснабжения,,,ИМ раздел ИОС
ПР 30 20 16,,,Источник теплоснабжения,,,ИМ раздел ИОС
ПР 30 20 17,,,Теплоноситель,,,ИМ раздел ИОС
ПР 30 20 18,,,Температурный график,,,ИМ раздел ИОС
ПР 30 20 19,,,Регулирование отпуска теплоты,,,ИМ раздел ИОС
ПР 30 20 20,,,Схема присоединения,,,ИМ раздел ИОС
ПР 30 20 21,,,Тепловая нагрузка на водоснабжение,,,ИМ раздел ИОС
ПР 30 25,,Система водоотведения,,,,
ПР 30 25 10,,,Расчетный расход,,,ИМ раздел ИОС
ПР 30 25 12,,,Тип системы,,,ИМ раздел ИОС
ПР 30 30,,Система внутреннего противопожарного водопровода,,,,
ПР 30 30 10,,,Источник водоснабжения,,,ИМ раздел ИОС
ПР 30 30 12,,,Источник теплоснабжения,,,ИМ раздел ИОС
ПР 30 30 13,,,Число пожарных стволов,,,ИМ раздел ИОС
ПР 30 30 14,,,Расход воды на одну струю,,,ИМ раздел ИОС
ПР 30 30 15,,,Диаметр спрыска наконечника пожарного ствола,,,ИМ раздел ИОС
ПР 30 30 16,,,Давление у пожарного крана,,,ИМ раздел ИОС
ПР 30 30 17,,,Напор,,,ИМ раздел ИОС
ПР 30 35,,Спринклерная сеть,,,,
ПР 30 35 10,,,Тип спринклеров,,,ИМ раздел ИОС
ПР 30 40,,Дренчерная сеть,,,,
ПР 30 40 10,,,Расход,,,ИМ раздел ИОС
ПР 30 40 20,,,Время работы установки,,,ИМ раздел ИОС
ПР 40,Параметры элементов,,,,,
ПР 40 10,,Общие,,,,
ПР 40 10 10,,,Код элемента,,ElementCode,ЦМ (строительный элемент)
ПР 40 10 12,,,Наименование,,Name,ЦМ (строительный элемент)
ПР 40 10 13,,,Описание,,Description,ЦМ (строительный элемент)
ПР 40 10 14,,,Марка элемента,,Position,ЦМ (строительный элемент)
ПР 40 10 15,,,Обозначение,,Gost,ЦМ (строительный элемент)
ПР 40 10 16,,,Наименование,,Наименование,ЦМ (строительный элемент)
ПР 40 10 17,,,Класс IFC,,ClassIFC,ЦМ (строительный элемент)
ПР 40 10 18,,,Код материала несущей конструкции,,MaterialCode,ЦМ (строительный элемент)
ПР 40 10 19,,,Наименование материала несущей конструкции,,Material,ЦМ (строительный элемент)
ПР 40 10 20,,,Признак несущей конструкции,,LoadBearing,ЦМ (строительный элемент)
ПР 40 10 21,,,Признак наружной конструкции,,IsExternal,"ЦМ (помещение, зона, строительный элемент)"
ПР 40 10 22,,,Признак противопожарной преграды,,Compartmentation,"ЦМ (ограждающие конструкции, окна, балконные и наружные двери)"
ПР 40 10 23,,,Вес,,Weight,ЦМ (строительный элемент)
ПР 40 12,,Параметры уровней (этажей),,,,
ПР 40 12 10,,,Имя этажа,,Name,ЦМ (уровень (этаж))
ПР 40 12 12,,,Отметка уровня этажа,,Elevation,ЦМ (уровень (этаж))
ПР 40 12 14,,,Признак надземного этажа,,AboveGround,ЦМ (уровень (этаж))
ПР 40 12 15,,,Признак базового этажа,,EntranceLevel,ЦМ (уровень (этаж))
ПР 40 12 16,,,Уровень комфорта,,ComfortLevel,ЦМ (уровень (этаж))
ПР 40 14,,Теплотехнические параметры,,,,
ПР 40 14 10,,,Сопротивление теплопередаче,,ThermalTransmittance,"ЦМ (ограждающие конструкции, окна, балконные и наружные двери)"
ПР 40 14 12,,,Сопротивление воздухопроницанию,,AirResistance,"ЦМ (ограждающие конструкции, окна, балконные и наружные двери)"
ПР 40 16,,Пожарная безопасность,,,,
ПР 40 16 10,,,Предел огнестойкости,,FireRating,"ЦМ (стены, перегородки, конструкции, двери лестничных клеток, двери шахт лифтов)"
ПР 40 16 12,,,Путь эвакуации,,FireExit,"ЦМ (помещение, стена, перегородка, перекрытие, дверь, лифтовая шахта, двери)"
ПР 40 16 14,,,Система пожаротушения,,SprinklerProtection,"ЦМ (уровень (этаж), помещение, зона)"
ПР 40 16 15,,,Наличие АУПТ,,SprinklerProtectionAutomatic,"ЦМ (уровень (этаж), помещение, зона)"
ПР 40 16 16,,,Класс пожарной опасности конструкции,,FireHazardClass,ЦМ (конструкции)
ПР 40 18,,Габариты,,,,
ПР 40 18 10,,,Ширина,,,"ЦМ (коридор, общий коридор, лестница, пандус, площ. перед лифтом, дверь, окно)"
ПР 40 18 12,,,Высота,,,"ЦМ (помещение, стена, дверь, окно, колонна, лестница)"
ПР 40 18 13,,,Длина,,,"ЦМ (стена, коридор, общий коридор, балкон, лоджия, галерея, лестница)"
ПР 40 18 14,,,Периметр,,,"ЦМ (помещение, зона)"
ПР 40 18 15,,,Площадь,,,"ЦМ (помещение, зона, стена, проем)"
ПР 40 18 16,,,Объем,,,"ЦМ (помещение, стена)"
ПР 40 18 17,,,Угол,,,"ЦМ (пандус, лестница)"
ПР 40 18 18,,,Уклон,,,"ЦМ (пандус, рампа, перекрытие, кровля, лестница)"
ПР 40 20,,Общие параметры ЖБ конструкций,,,,
ПР 40 20 10,,,Метод изготовления,,ConstructionMethod,ЦМ КР (строительный жб элемент)
ПР 40 20 12,,,Уровень ответственности,,StructuralClass,ЦМ КР (строительный жб элемент)
ПР 40 20 13,,,Класс прочности,,StrengthClass,ЦМ КР (строительный жб элемент)
ПР 40 21 14,,,Описание арматуры,,Description,ЦМ КР (строительный жб элемент)
ПР 40 20 15,,,Коэффициент армирования,,ReinforcementAreaRatio,ЦМ КР (строительный жб элемент)
ПР 40 20 16,,,Расход арматуры,,ReinforcementVolumeRatio,ЦМ КР (строительный жб элемент)
ПР 40 20 17,,,Толщина основного защитного слоя,,ConcreteCoverAtMainBars,ЦМ КР (строительный жб элемент)
ПР 40 20 18,,,Толщина защитного слоя,,ConcreteCover,ЦМ КР (строительный жб элемент)
ПР 40 20 19,,,Толщина защитного слоя хомутов,,ConcreteCoverAtLinks,ЦМ КР (строительный жб элемент)
ПР 40 21,,Параметры армирования фундаментов,,,,
ПР 40 21 12,,,Количество продольных нижних стержней,,XDirectionLowerBarCount,ЦМ КР (строительный жб элемент)
ПР 40 21 13,,,Количество поперечных нижних стержней,,YDirectionLowerBarCount,ЦМ КР (строительный жб элемент)
ПР 40 21 14,,,Количество продольных верхних стержней,,XDirectionUpperBarCount,ЦМ КР (строительный жб элемент)
ПР 40 21 15,,,Количество поперечных верхних стержней,,YDirectionUpperBarCount,ЦМ КР (строительный жб элемент)
ПР 40 21 16,,,Класс арматуры в продольном направлении,,ReinforceStrengthClassX,ЦМ КР (строительный жб элемент)
ПР 40 21 17,,,Диаметр профиля арматуры в продольном направлении,,D_barX,ЦМ КР (строительный жб элемент)
ПР 40 21 18,,,Класс арматуры в поперечном направлении,,ReinforceStrengthClassY,ЦМ КР (строительный жб элемент)
ПР 40 21 19,,,Диаметр профиля арматуры в поперечном направлении,,D_barY,ЦМ КР (строительный жб элемент)
ПР 40 23,,Параметры свай,,,,
ПР 40 23 10,,,Способ погружения,,PredefinedType,ЦМ КР (сваи)
ПР 40 23 12,,,Тип воспринимаемой нагрузки,,LoadType,ЦМ КР (сваи)
ПР 40 26,,Параметры армирования перекрытия,,,,
ПР 40 26 10,,,Шаг наружной арматуры верхнего слоя длинной стороны,,LongOutsideTopBarPitch,ЦМ КР (жб перекрытие)
ПР 40 26 12,,,Шаг арматуры в центре верхнего слоя длинной стороны,,LongInsideCenterTopBarPitch,ЦМ КР (жб перекрытие)
ПР 40 26 13,,,Шаг арматуры по краю длинной стороны верхнего слоя,,LongInsideEndTopBarPitch,ЦМ КР (жб перекрытие)
ПР 40 26 14,,,Шаг наружной арматуры верхнего слоя короткой стороны,,ShortOutsideTopBarPitch,ЦМ КР (жб перекрытие)
ПР 40 26 15,,,Шаг арматуры в центре верхнего слоя короткой стороны,,ShortInsideCenterTopBarPitch,ЦМ КР (жб перекрытие)
ПР 40 26 16,,,Шаг арматуры по краю верхнего слоя короткой стороны,,ShortInsideEndTopBarPitch,ЦМ КР (жб перекрытие)
ПР 40 26 17,,,Шаг наружной арматуры нижнего слоя длинной стороны,,LongOutsideLowerBarPitch,ЦМ КР (жб перекрытие)
ПР 40 26 18,,,Шаг арматуры в центре нижнего слоя длинной стороны,,LongInsideCenterLowerBarPitch,ЦМ КР (жб перекрытие)
ПР 40 26 19,,,Шаг арматуры по краю нижнего слоя длинной стороны,,LongInsideEndLowerBarPitch,ЦМ КР (жб перекрытие)
ПР 40 26 20,,,Шаг наружной арматуры нижнего слоя короткой стороны,,ShortOutsideLowerBarPitch,ЦМ КР (жб перекрытие)
ПР 40 26 21,,,Шаг арматуры в центре нижнего слоя короткой стороны,,ShortInsideCenterLowerBarPitch,ЦМ КР (жб перекрытие)
ПР 40 26 22,,,Шаг арматуры по краю нижнего слоя короткой стороны,,ShortInsideEndLowerBarPitch,ЦМ КР (жб перекрытие)
ПР 40 27,,Параметры арматуры перекрытия,,,,
ПР 40 27 10,,,Диаметр наружной арматуры в верхнем слое по длинной стороне,,D_LongOutsideTopBar,ЦМ КР (жб перекрытие)
ПР 40 27 12,,,Диаметр арматуры в центре верхнего слоя длинной стороны,,D_LongInsideCenterTopBar,ЦМ КР (жб перекрытие)
ПР 40 27 13,,,Диаметр арматуры по краю длинной стороны верхнего слоя,,D_LongInsideEndTopBar,ЦМ КР (жб перекрытие)
ПР 40 27 14,,,Диаметр наружной арматуры верхнего слоя короткой стороны,,D_ShortOutsideTopBar,ЦМ КР (жб перекрытие)
ПР 40 27 15,,,Диаметр арматуры в центре верхнего слоя короткой стороны,,D_ShortInsideCenterTopBar,ЦМ КР (жб перекрытие)
ПР 40 27 16,,,Диаметр арматуры по краю короткой стороны верхнего слоя,,D_ShortInsideEndTopBar,ЦМ КР (жб перекрытие)
ПР 40 27 17,,,Диаметр наружной арматуры нижнего слоя длинной стороны,,D_LongOutsideLowerBar,ЦМ КР (жб перекрытие)
ПР 40 27 18,,,Диаметр арматуры в центре нижнего слоя длинной стороны,,D_LongInsideCenterLowerBar,ЦМ КР (жб перекрытие)
ПР 40 27 19,,,Диаметр арматуры по краю нижнего слоя длинной стороны,,D_LongInsideEndLowerBar,ЦМ КР (жб перекрытие)
ПР 40 27 20,,,Диаметр наружной арматуры нижнего слоя короткой стороны,,D_ShortOutsideLowerBar,ЦМ КР (жб перекрытие)
ПР 40 27 21,,,Диаметр арматуры в центре нижнего слоя короткой стороны,,D_ShortInsideCenterLowerBar,ЦМ КР (жб перекрытие)
ПР 40 27 22,,,Диаметр арматуры по краю нижнего слоя короткой стороны,,D_ShortInsideEndLowerBar,ЦМ КР (жб перекрытие)
ПР 40 30,,Параметры армирования жб колонны,,,,
ПР 40 30 10,,,Шаг продольной арматуры в направлении Х,,XdirectionTieHoopBarPitch,ЦМ КР (жб колонны)
ПР 40 30 12,,,Количество арматурных стержней в направлении Х,,XdirectionTieHoopCount,ЦМ КР (жб колонны)
ПР 40 30 13,,,Шаг продольной арматуры в направлении Y,,YdirectionTieHoopBarPitch,ЦМ КР (жб колонны)
ПР 40 30 14,,,Количество арматурных стержней в направлении Y,,YdirectionTieHoopCount,ЦМ КР (жб колонны)
ПР 40 30 15,,,Шаг установки опоясывающей арматуры,,HoopBarPitch,ЦМ КР (жб колонны)
ПР 40 31,,Параметры арматуры жб колонны,,,,
ПР 40 31 10,,,Диаметр продольной арматуры в направлении Х,,D_LongOutsideTopBar,ЦМ КР (жб колонны)
ПР 40 31 12,,,Класс арматурной стали в направлении Х,,ReinforcementStrengthClassX,ЦМ КР (жб колонны)
ПР 40 31 13,,,Диаметр продольной арматуры в направлении Y,,D_LongInsideCenterTopBar,ЦМ КР (жб колонны)
ПР 40 31 14,,,Класс арматурной стали в направлении Y,,ReinforcementStrengthClassY,ЦМ КР (жб колонны)
ПР 40 31 15,,,Диаметр опоясывающей арматуры,,D_LongInsideEndTopBar,ЦМ КР (жб колонны)
ПР 40 31 16,,,Класс арматурной стали опоясывающей арматуры,,ReinforcementStrengthClass_R,ЦМ КР (жб колонны)
ПР 40 32,,Параметры армирования жб балки,,,,
ПР 40 32 10,,,Описание арматуры,,Description,ЦМ КР (жб балки)
ПР 40 32 12,,,Шаг продольной арматуры,,SpacingBarPitch,ЦМ КР (жб балки)
ПР 40 32 13,,,Шаг поперечной арматуры,,StirrupBarPitch,ЦМ КР (жб балки)
ПР 40 33,,Параметры арматуры жб балки,,,,
ПР 40 33 10,,,Диаметр продольной арматуры,,D_ SpacingBarPitch,ЦМ КР (жб балки)
ПР 40 33 12,,,Класс арматурной стали в продольном направлении,,ReinforcementStrengthClass_X,ЦМ КР (жб балки)
ПР 40 33 13,,,Диаметр опоясывающей арматуры,,D_ StirrupBarPitch,ЦМ КР (жб балки)
ПР 40 33 14,,,Класс арматурной стали в направлении Y,,ReinforcementStrengthClass_Y,ЦМ КР (жб балки)
ПР 40 40,,Параметры дверей,,,,
ПР 40 40 10,,,Класс устойчивости по взлому,,SecurityRating,ЦМ (двери)
ПР 40 40 12,,,Устойчивость к разрушающим воздействиям,,DurabilityRating,ЦМ (двери)
ПР 40 40 14,,,Процент остекления,,GlazingAreaFraction,ЦМ (двери)
ПР 40 40 15,,,Автоматическое открытие,,HasDrive,ЦМ (двери)
ПР 40 40 16,,,Автоматическое закрытие,,SelfClosing,ЦМ (двери)
ПР 40 40 17,,,Количество слоев стекол,,GlassLayers,ЦМ (двери)
ПР 40 40 18,,,Наименование газа-заполнителя камеры,,FillGas,ЦМ (двери)
ПР 40 40 19,,,Ламинирование,,IsLaminated,ЦМ (двери)
ПР 40 40 20,,,Армирование,,IsWired,ЦМ (двери)
ПР 40 40 21,,,С решеткой,,IsCoated,ЦМ (двери)
ПР 40 40 22,,,Аварийный выход,,EmergencyExit,ЦМ (двери)
ПР 40 40 23,,,С остеклением,,GlazedDoor,ЦМ (двери)
ПР 40 40 24,,,Тип открывания двери,,OperationType,ЦМ (двери)
ПР 40 40 25,,,Высота проема в стене,,OverallHeight,ЦМ (двери)
ПР 40 40 26,,,Ширина проема в стене,,OverallWidth,ЦМ (двери)
ПР 40 40 27,,,Ширина в свету,,NetWidth,ЦМ (двери)
ПР 40 40 28,,,Высота порога,,CrossingHeight,ЦМ (двери)
ПР 40 40 29,,,Код материала профиля,,MaterialCodel,ЦМ (двери)
ПР 40 40 30,,,Наименование материала,,Materiall,ЦМ (двери)
ПР 40 40 31,,,Код материала полотна,,MaterialCode2,ЦМ (двери)
ПР 40 40 32,,,Наименование материала полотна,,Material2,ЦМ (двери)
ПР 40 41,,Параметры окон,,,,
ПР 40 41 10,,,Сопротивление ветровой нагрузке,,WindLoadRating,ЦМ (окна)
ПР 40 41 12,,,Площадь остекления,,GlazingAreaFraction,ЦМ (окна)
ПР 40 41 14,,,Путь эвакуации,,FireExit,ЦМ (окна)
ПР 40 41 15,,,Автоматическое открытие,,HasDrive,ЦМ (окна)
ПР 40 41 16,,,Автоматическое закрытие,,SelfClosing,ЦМ (окна)
ПР 40 41 17,,,Количество слоев стекла,,GlassLayers,ЦМ (окна)
ПР 40 41 18,,,Наименование газа-заполнителя камеры,,FillGas,ЦМ (окна)
ПР 40 41 19,,,Ламинирование,,IsLaminated,ЦМ (окна)
ПР 40 41 20,,,Армирование,,IsWired,ЦМ (окна)
ПР 40 41 21,,,С решеткой,,IsCoated,ЦМ (окна)
ПР 40 41 22,,,Тип конструкции,,ConstructionType,ЦМ (окна)
ПР 40 41 23,,,Тип окна,,PredefinedType,ЦМ (окна)
ПР 40 41 24,,,Тип створок,,PartitioningType,ЦМ (окна)
ПР 40 41 25,,,Легкосбрасываемое,,ExplodeEasy,ЦМ (окна)
ПР 40 41 26,,,Ширина в свету,,NetWidth,ЦМ (окна)
