code,level_1,level_2,level_3,level_4,param_1,param_2
СС 30 40 10 60,,,,Система производственной канализации,,
СС 30 45,,Система мусороудаления,,,,
СС 30 45 10,,,Система мусороудаления,,,
СС 30 50,,Система электроснабжения,,,,
СС 30 50 10,,,Питающая сеть,,,"сеть от распределительного устройства подстанции или ответвления от воздушных линий электропередачи до ВУ, ВРУ, ГРЩ"
СС 30 50 20,,,Распределительная сеть,,,"сеть от ВУ, ВРУ, ГРЩ до распределительных пунктов и щитков"
СС 30 50 30,,,Групповые сети потребителей,,ПУЭ и СП 31-1102003,"сеть от щитков и распределительных пунктов до светильников, штепсельных розеток и других электроприемников"
СС 30 50 30 01,,,,Система электроосвещения,,
СС 30 50 30 02,,,,Дренажные насосы,,
СС 30 50 30 03,,,,Пожарные насосы,I категория,
СС 30 50 30 04,,,,Резервные насосы,,
СС 30 50 30 05,,,,Обогрев воронок,III категория,
СС 30 50 30 06,,,,Тепловые завесы,III категория,
СС 30 50 30 07,,,,Вентиляторы подпора давления,I категория,
СС 30 50 30 08,,,,Вентиляторы дымоудаления,I категория,
СС 30 50 30 09,,,,Розеточная сеть,,
СС 30 50 30 10,,,,Розеточная сеть для пожарнотехнического оборудования,I категория,
СС 30 50 30 12,,,,Система снеготаяния,III категория,
СС 30 50 30 13,,,,Сеть силового воздействия,,
СС 30 50 30 14,,,,Сеть кухонного оборудования,III категория,
СС 30 50 30 15,,,,Сеть лифтов,III категория,
СС 30 50 30 16,,,,Сеть лифтов для перевозки пожарных подразделений,I категория,
СС 30 50 30 17,,,,Сеть электровентиляции,III категория,
СС 30 50 30 18,,,,Сеть кондиционирования,III категория,
СС 30 50 30 19,,,,Сеть теплоснабжения,III категория,
СС 30 50 30 20,,,,Сеть газоснабжения,,
СС 30 50 30 21,,,,Сеть отопления,III категория,
СС 30 50 30 23,,,,Сеть водоснабжения,,
СС 30 50 30 24,,,,Сеть канализации,,
СС 30 50 30 25,,,,Автоматизированная система коммерческого учета электропотребления,III категория,
СС 30 50 30 26,,,,Система автоматизации и диспетчеризации инженерного оборудования,,
СС 30 50 30 27,,,,Система автоматизации водоснабжения,III категория,
СС 30 50 30 28,,,,Система приема телевидения,III категория,
СС 30 50 30 29,,,,Интернет,III категория,
СС 30 50 30 30,,,,Система видеонаблюдения,I категория,
СС 30 50 30 31,,,,Система охраны входов,,
СС 30 50 30 32,,,,Система охраны квартир,,
СС 30 50 30 33,,,,Система охранно-тревожной сигнализации,I категория,
СС 30 50 30 34,,,,Система охранной защиты,,
СС 30 50 30 35,,,,Система контроля и управления доступом,I категория,
СС 30 50 30 36,,,,Система дымоудаления,I категория,
СС 30 50 30 37,,,,Система видеонаблюдения,,
СС 30 50 30 38,,,,Система телефонной связи,III категория,
СС 30 50 30 39,,,,Система радиовещания,,
СС 30 50 30 40,,,,Система оповещения и управления эвакуацией,I категория,
СС 30 50 30 41,,,,Сети компьютеризации,,
СС 30 50 30 42,,,,Система пожарной сигнализации,I категория,
СС 30 50 30 43,,,,Система автоматического пожаротушения,I категория,
СС 30 50 30 44,,,,Система эвакуационного освещения,I категория,
СС 30 50 30 45,,,,Система аварийного освещения,I категория,
СС 30 50 30 46,,,,Система мониторинга основных элементов и конструкций,,
СС 30 50 30 47,,,,Система контроля загазованности,III категория,
СС 30 50 30 48,,,,Система сигнализации для МГН,I категория,
СС 30 50 30 49,,,,Система диспетчеризации,,
СС 30 50 30 50,,,,Сеть оборудования технических средств безопасности,I категория,
СС 30 50 30 51,,,,Сеть аварийно-спасательного оборудования,I категория,
СС 30 50 30 52,,,,Система управления парковкой,I категория,
СС 30 50 30 53,,,,Система усиления GSM-сигнала,I категория,
СС 30 60,,Система заземления,,,,
СС 30 65,,Система молниезащиты,,,,
СС 30 90,,Прочая,,,,
СС 40,Наружные сети,,,,,
СС 40 10,,Наружная сеть системы электроснабжения,,,,
СС 40 15,,Наружная сеть системы освещения,,,,
СС 40 20,,Тепловая сеть,,,,
СС 40 25,,Наружная сеть водоснабжения,,,,
СС 40 30,,Наружная сеть водоотведения,,,,
СС 40 30 10,,,Система ливневой канализации,,,
СС 40 35,,Система дренажа,,,,
СС 40 40,,Наружная сеть системы газоснабжения,,,,
СС 40 45,,Наружная сеть связи,,,,
СС 50,Медицинские системы,,,,,
СС 50 10,,Система медицинского газоснабжения,,,,
СС 50 15,,Система телемедицины,,,,
СС 50 20,,Система TN,,,,
СС 50 25,,Система TN-S,,,,
СС 50 30,,Система IT,,,,
СС 50 35,,Безопасная система сверхнизкого напряжения,,,,
СС 50 40,,Заземленная система сверхнизкого напряжения,,,,
