Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примеры,Примечания,Синонимы
,,,AAB060,Помещение для отдыха и обогрева,"Помещение, предназначенное для работников, работающих в холодное время года на открытом воздухе или в закрытых необогреваемых помещениях, а также грузчикам, занятым на погрузочно-разгрузочных работах, и другим работникам в необходимых случаях для отдыха и обогрева",Трудовой кодекс Российской Федерации от 30.12.2001 N 197-ФЗ,,,BEA,,,
,,,AAB070,Помещение для отдыха и охлаждения,"Помещение, предназначенное для работников, работающих при повышенных температурах окружающей среды, для отдыха и охлаждения",Трудовой кодекс Российской Федерации от 30.12.2001 N 197-ФЗ,,,BEA,,,
,,,AAB080,Комната длительного отдыха на вокзале,"Помещение, предназначенное для отдыха транзитных пассажиров",СП 417.1325800.2020,,,BA,,,
,,,AAB090,Депутатская комната,"Помещение для представительских целей, приема и отдыха официальных делегаций на вокзале",СП 417.1325800.2020,,,,,,
,,,AAB100,Капсула для краткосрочного отдыха,"Жилое помещение длиной 2,0, шириной 1,0 и высотой 1,25 м, рассчитанное на одного человека","Методическое пособие Термины и определения в нормативных технических документах по проектированию жилых, общественных и производственных зданий",,,,,,
,,,AAB110,Рекреационное пространство,"Помещение для отдыха в школьном здании, обычно зального типа","СП 251.1325800.2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 32 16 02,,,,Рекреация
,,,AAB120,"Сектор для отдыха физически ослабленных лиц, инвалидов","Сектор для отдыха физически ослабленных лиц, инвалидов", СП 140.13330.2012,,,,,,
,,,AAB130,Площадка тихого отдыха,"Площадка для настольных игр, чтения, созерцания природы, оборудованная скамейками, цветниками, фонтанами, столами для настольных игр","СП 251.1325800.2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 12,,Зона отдыха,,Зона отдыха
,,AAC,,Пространство для ожидания,"Пространство, предназначенное для ожидания человеком",Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,ПЗ 13,,,Определение синтезировано,Зона ожидания (МССК)
,,,AAC010,Холл,"Основное коммуникационное пространство, которое обеспечивает доступ к одной или нескольким комнатам","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 30 20 15,,"Холл-вестибюль
Холл-приемная",,Холл
,,,AAC020,Фойе,"Помещение, предназначенное для пребывания зрителей в ожидании сеанса, спектакля, концерта, а также для отдыха во время антракта.","СП 309.1325800.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 07 17,,Фойе оркестра,,Фойе
,,,AAC030,Зал ожидания,Обустроенное и оборудованное пространство для ожидающих людей,СП 138.13330.2012,,,,Зал вылета,,
,,,AAC040,Лифтовый холл,Помещение перед входом в лифт (лифты),"СП 118.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 07 10,,,,Лифтовый холл
,,,AAC050,Помещение ожидания для посетителей,Обустроенное и оборудованное пространство для ожидающих людей,СП 400.1325800.2018,,,,"Ожидальная
Помещение для свидетелей",,
,,,AAC060,Курительная комната,"Помещение, специально отведённое для курения табака",СП 376.1325800.2017,,,"BA
BEA",,,
,,,AAC070,Зона ожидания,Обустроенная и оборудованная площадка для ожидания,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,ПЗ 13,,"Зона ожидания транспорта
Зона замены игроков
Зона очереди",,Зона ожидания
,,AAD,,Двор,Благоустроенная ограниченная территория при здании или группе зданий,"Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 19,,,,Наружная зона (МССК)
,,,AAD010,Передний двор,"Наружное пространство перед зданием, обычно ограниченное с трех сторон зданиями, стенами или забором",ГОСТ Р ИСО 6707-1-2020,,,,Парадный двор,,
,,,AAD020,Внутренний двор,"Наружное пространство, ограниченное зданиями, стенами или забором",ГОСТ Р ИСО 6707-1-2020,,,,,,
,,,AAD030,Участок приквартирный,"Земельный участок, примыкающий к жилому зданию (квартире) с непосредственным выходом на него",СП 54.13330.2022,,,,,,
,,AAE,,Бытовой городок (комплекс производственного быта),"Совокупность помещений, зон и пространств зданий и сооружений, предназначенных для создания нормальных производственных и санитарно-бытовых условий работающим на строительной площадке",СТО НОСТРОЙ 2.33.52-2011,,,,,,
,,AAF,,Кухонная зона,"Зона, предназначенная для приготовления пищи",СП 54.13330.2022,,,,,,
,AB,,,Пространство для личной гигиены и переодевания,Пространство для использования человеком в целях гигиены и переодевания,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,По функциональному назначению,ПЗ 07,,,Определение синтезировано,Зона санитарно-бытовая МГН (МССК)
,,ABA,,Пространство для личной гигиены,Пространство для гигиенического ухода за телом,IEC 81346-2:2019,,,,,Определение синтезировано,
,,,ABA010,Ванная комната,"Помещение, предназначенное для купания или мытья","СП 54.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 30 20 02
ПЗ 33 29 09",,"Ванный зал
Ванная для МГН
Ванная с подъемником",Определение синтезировано,
,,,ABA020,Душевая,"Помещение, предназначенное для принятия душа","СП 44.13330.2011
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 30 20 05
ПЗ 31 10 18
ПЗ 31 10 25
ПЗ 31 10 26
ПЗ 31 12 08
ПЗ 33 29 07","BA
BEA","Душевая мальчиков
Душевая девочек
Душевая для персонала
Душевая при палате",Определение синтезировано,"Душевая (помещения квартир)
Душевая (общественные зоны)
Душевая мальчиков
Душевая девочек
Душевая для персонала
Душевая при палате"
,,,ABA030,Умывальная,"Комната, оборудованная одним или несколькими умывальниками","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 32 13 07,"BA
BEA",Умывальная при уборных,,Умывальная
,,,ABA040,Санузел,"Санитарно-гигиеническое помещение, оборудованное унитазом, а также другими приборами","СП 118.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 30 20 13
ПЗ 31 10 19
ПЗ 31 10 20
ПЗ 31 10 21
ПЗ 31 10 22
ПЗ 31 12 09
ПЗ 33 29 08","BA
BEA","Совмещенный санузел
Санузел мужской
Санузел женский
Санузел для МГН
Санузел для персонала",,"Совмещенный санузел (помещения квартир)
Санузел
Санузел мужской
Санузел женский
Санузел для МГН
Санузел для персонала
Совмещенный санузел (специализированные помещения медицинских организации)"
,,,ABA050,Туалет,"Комната, оборудованная одним комплектом санитарного оборудования","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128 ",,"ПЗ 30 20 14
ПЗ 31 10 23
ПЗ 31 10 24
ПЗ 32 13 06
ПЗ 33 13 04
ПЗ 33 29 06",,"Туалет для мальчиков
Туалет для девочек
Детская туалетная
Туалет с умывальником при палате",,"Туалет (помещения квартир)
Туалет для мальчиков
Туалет для девочек
Детская туалетная
Туалет (спец. пом. мед. организаций)
Туалет с умывальником при палате"
,,,ABA060,Люфт-клозет,"Внутридомовая теплая уборная с подземным выгребом, в который фекалии поступают через сточную (фановую) трубу",СП 53.13330.2019,,,,,,
,,,ABA070,Санитарный пропускник,"Помещение, предназначенное для смены одежды, санитарной обработки персонала и контроля радиоактивного загрязнения кожных покровов и спецодежды","СП 263.1325800.2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 31 13,,,,Санитарный пропускник для пациентов
,,,ABA080,Санитарная комната,"Помещение для мойки и стерилизации подкладных суден и клеёнок, хранения медотходов и предметов уборки","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 31 09,,,Определение синтезировано,Санитарная комната
,,,ABA090,Помещение для личной гигиены женщин,"Помещение, предназначенное для смены одежды и личной гигиены женщин",СП 148.13330.2012,,,,,Определение синтезировано,
,,,ABA100,Санитарно-гигиеническое помещение,"Санитарно-гигиеническое помещение, оборудованное унитазом, а также другими приборами",СП 137.13330.2012,,,"BA
BEA",,,
,,,ABA110,Уборная,"Санитарно-гигиеническое помещение, оборудованное в обязательном порядке унитазами в закрытых кабинках (писсуарами в мужской уборной) и умывальниками.",СП 118.13330.2022,,,,,,
,,ABB,,Пространство для ухода за детьми,Пространство для ухода за детьми,IEC 81346-2:2019,,,,,Определение синтезировано,
,,,ABB010,Палата для новорожденных детей,"Помещение, предназначенное для ухода за новорожденными детьми","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"
ПЗ 33 26 03",,,Определение синтезировано,"
Изолятор для новорожденных"
,,,ABB020,Палата для недоношенных и травмированных детей,"Помещение, предназначенное для ухода за недоношенными и травмированными детьми","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 26 03,,,Определение синтезировано,Изолятор для новорожденных
,,,ABB030,Комната матери и ребенка,"Комната, предназначенная для кратковременного пребывания и обслуживания родителей с детьми до 7-8 лет, детей-инвалидов до 14 лет, женщин на второй половине беременности",СП 118.13330.2022,,,BA,Комната ухода за ребенком ,,
,,ABC,,Пространство для переодевания,"Пространство, предназначенное для переодевания",,,,,,Определение синтезировано,
,,,ABC010,Раздевалка,Помещение для раздевания или переодевания,"СП 118.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 10 07
ПЗ 31 10 08
ПЗ 31 10 09
ПЗ 31 10 10
ПЗ 31 10 11
ПЗ 32 13 04
ПЗ 31 06 41
ПЗ 31 06 42",BEA,"Раздевалка мужская
Раздевалка женская
Раздевалка для мальчиков
Раздевалка для девочек",Определение синтезировано,"Раздевальная (общ. зоны)
Раздевалка мужская
Раздевалка женская
Раздевалка для мальчиков
Раздевалка для девочек
Раздевальная (уч.-восп. организации)
Раздевалка взвода ППСП (мужская)
Раздевалка взвода ППСП (женская)"
,,,ABC020,Примерочная,"Помещение, где человек может примерить на себя одежду",СП 31-102-99,,,,,Определение синтезировано,
,,,ABC030,Артистическая гримерная,Комната для гримирования,"СП 309.1325800.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 03 02
ПЗ 31 03 04",,,Определение синтезировано,"Артистическая
Гримерная"
,,,ABC040,Артистическая уборная,"Помещение, предназначенное для переодевания, гримирования и подготовки артистов к выступлению, а также для их отдыха в антрактах и паузах",СП 143.13330.2012,,,,,,
,,ABD,,Пространство для нагрева тела,"Пространство, предназначенное для нагрева тела",,,,,,Определение синтезировано,
,,,ABD010,Баня,"Помещение, оборудованное для теплого мытья человека с одновременным действием воды и горячего воздуха или воды и пара",СП 143.13330.2012,,"НД 05 01 10
НД 05 01 36",,"Финская баня (сауна)
Турецкая Баня
Паровая баня
Соляная баня",Определение синтезировано,"Баня,
Сауна"
,,,ABD020,Парильня,"Помещение бани, в котором парятся",СП 143.13330.2012,,,,"Парилка, парная",Определение синтезировано,
,,,ABD030,Баня-санпропускник,"Помещение с санитарно-гигиеническим оборудованием в учреждении временного пребывания для медицинского осмотра прибывших лиц, проведения их санитарной обработки и обеспечения чистой одеждой",СП 308.1325800.2017,,,,,,
,AC,,,Изолирующее пространство,"Пространство, обеспечивающее обособленное положение, изолированность человека или группы людей",IEC 81346-2:2019,По функциональному назначению,,,,Определение синтезировано,
,,ACA,,Пространство укрытия,"Пространство, место, укрывающее, защищающее от чего-либо",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,ACA001,Противорадиационное укрытие,"Пространство защитного сооружения, защитное сооружение,  обеспечивающее защиту укрываемых от воздействия ионизирующих излучений при радиоактивном заражении (загрязнении) местности и допускающее непрерывное пребывание в нем укрываемых в течение определенного времени",ГОСТ Р 42.4.03-2015,,,,,определение синтезировано,
,,,ACA002,Укрытие гражданской обороны,"Пространство защитного сооружения, защитное сооружение,   обеспечивающее защиту укрываемых от фугасного и осколочного действия обычных средств поражения, поражения обломками строительных конструкций, а также от обрушения конструкций вышерасположенных этажей зданий различной этажности",ГОСТ Р 42.4.03-2015,,,,,определение синтезировано,
,,,ACA003,Убежище,"Пространство защитного сооружения, защитное сооружение,   обеспечивающее в течение нормативного времени защиту укрываемых от расчетного воздействия поражающих факторов ядерного оружия и обычных средств поражения, бактериальных (биологических) средств, боевых отравляющих веществ, а также при необходимости от аварийно химически опасных веществ, радиоактивных веществ при разрушении ядерных установок, пунктов хранения ядерных материалов, радиоактивных веществ и радиоактивных отходов, высоких температур и продуктов горения при пожарах",ГОСТ Р 42.4.03-2015,,,,,определение синтезировано,
,,,ACA004,Защитное сооружение гражданской обороны,"Пространство защитного сооружения, защитное сооружение, предназначенное для укрытия людей, техники и имущества от опасностей, возникающих при ведении военных действий или вследствие этих действий, а также от чрезвычайных ситуаций природного и техногенного характера",ГОСТ Р 42.4.03-2015,,,,,определение синтезировано,
,,,ACA010,Коллективное (индивидуальное) укрытие,"Помещение или зона, где исключается воздействие опасных факторов на людей в течение времени, необходимого для их спасения",ТСН 31-304-95 г.Москвы (МГСН 4.04-94),,,,,,
,,,ACA030,Декомпрессионная камера,"Герметичное помещение, способное выдержать высокое давление, которое используют для размещения одного или более водолазов или другого персонала, работающего в условиях повышенного атмосферного давления, когда их нужно постепенно возвращать к нормальному атмосферному давлению",Научно-технический энциклопедический словарь,,,,Рекомпрессионная камера,,
,,,ACA040,Камера-убежище,"Пространство сооружения, оборудованного инженерными системами, позволяющими объединять несколько блоков в защитные сооружения гражданской обороны различного уровня защиты",ГОСТ Р 42.4.03-2015,,,,,определение синтезировано,
,,,ACA050,Безопасная зона,"Зона, в которой люди защищены от воздействия опасных факторов пожара или в которой опасные факторы пожара отсутствуют либо не превышают предельно допустимых значений. ","СП 137.13330.2012
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 06,,,,Зона безопасности МГН
,,,ACA060,Зона коллективной защиты пассажиров,"Отдельное подземное помещение для размещения пассажиров при возникновении в перегонных тоннелях чрезвычайной ситуации, угрожающей жизни или здоровью пассажиров, оборудованное отдельными системами пожарной безопасности, освещения, связи, вентиляции и канализации",СП 120.13330.2012,,,,,,
,,,ACA070,Зона минимального воздействия шума,Зона минимального воздействия шума,СП 276.1325800.2016,,,,,,
,,,ACA080,Зона общественного доступа,"Любая зона, где люди защищены от случайного контакта с импульсными проводниками физическим барьером",ГОСТ IEC 60335-2-76-2013,,,,,,
,,ACB,,Камера,Закрывающаяся комната или замкнутое пространство,IEC 81346-2:2019,,,,,Определение синтезировано,
,,,ACB010,Медицинский изолятор,"Помещение для временной изоляции больных с инфекционными заболеваниями или подозрением на них, оборудованное по типу бокса или полубокса","ВМР 2.1.3.2365-08
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 21 01
ПЗ 33 21 02
ПЗ 33 27 05
НД 07 30 02",,"Инфекционная палата
Туберкулезная палата",Определение синтезировано,"Инфекционная палата
Туберкулезная палата
Изолятор
Акушерское обсервационное отделение"
,,,ACB020,Тюремная камера,Помещение для ограничения свободы человека,СП 308.1325800.2017,,,,"Одиночная камера
Помещение для задержанных лиц
Камера для содержания женщины с ребёнком ",Определение синтезировано,
,,,ACB030,Камера особого режима,"Помещение для ограничения свободы особо опасных рецидивистов, осужденных на пожизненный срок
",СП 308.1325800.2017,,,,Камера ШИЗО,Определение синтезировано,
A,AC,,ACB040,"Изолятор временного содержания, ИВС","Специализированные учреждения милиции, для временного содержания задержанных и заключенных под стражу лиц","Федеральный закон ""О содержании под стражей подозреваемых и обвиняемых в совершении преступлений"" от 15.07.1995 №103-ФЗ
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
СП 12-95 МВД России",,ПЗ 31 06 40,,"Камера предварительного заключения, КПЗ
""обезъянник"", жарг.",Определение синтезировано,
A,AC,,ACB050,Психиатрическая надзорная палата,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,ПЗ 33 22 02,,,,
B,,,,Пространство для ведения человеческой деятельности,"Пространство, предназначенное для ведения человеческой деятельности",IEC 81346-2:2019,По функциональному назначению,,,,Определение синтезировано,
,BA,,,Рабочее пространство,"Пространство, выделенное одному или нескольким сотрудникам в рабочей системе для выполнения рабочей задачи",ГОСТ Р ИСО 11064-4-2015,По функциональному назначению,"НД 04
НД 09 03
НД 09 04
НД 09 05
НД 09 06
",,,,"Назначение торговых помещений и зон
Аренда и лизинг авто
Прокат и аренда личных и хозяйственно-бытовых товаров
Офисная деятельность
Правоохранительная деятельность
"
,,BAA,,Рабочее пространство для обработки информации,"Пространство, выделенное одному или нескольким сотрудникам для обработки информации",,,"ПЗ 21
ПЗ 31 01",,"Административно-деловые зоны
Административно-деловые помещения",Определение синтезировано,
,,,BAA010,Рабочий кабинет,"Рабочее помещение, предназначенное для индивидуальной работы","СП 367.1325800.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 01 03
ПЗ 31 01 04
ПЗ 31 01 05
ПЗ 31 01 06
ПЗ 31 01 07
ПЗ 31 01 08
ПЗ 31 01 09
ПЗ 31 01 10
ПЗ 31 01 11
ПЗ 31 01 12
ПЗ 21
ПЗ 21 02
ПЗ 31 06 06
ПЗ 31 06 07
ПЗ 31 06 08
ПЗ 31 06 09
ПЗ 31 06 10
ПЗ 31 06 11
ПЗ 31 06 12
ПЗ 31 06 13
ПЗ 31 06 14
ПЗ 31 06 15
ПЗ 31 06 16
ПЗ 31 06 19
ПЗ 31 06 20
ПЗ 31 06 21
ПЗ 31 06 25
ПЗ 31 06 26
ПЗ 31 06 27
ПЗ 31 06 28
ПЗ 31 06 29
ПЗ 31 06 30
ПЗ 31 06 31
ПЗ 31 06 32
ПЗ 31 15 20
ПЗ 32 10 01
ПЗ 32 10 02
ПЗ 33 18 16
ПЗ 33 18 17
ПЗ 33 18 18
ПЗ 33 27 18
ПЗ 33 27 23
ПЗ 33 30 01
ПЗ 33 30 02
ПЗ 33 30 03
ПЗ 33 30 04
ПЗ 33 30 05
ПЗ 33 30 06
ПЗ 33 30 09",,"Кабинет администратора
Кабинет директора
Кабинет заведующего
Кабинет заместителя директора
Кабинет заместителя руководителя
Кабинет первого заместителя
Кабинет помощника руководителя
Кабинет руководителя
Кабинет секретаря
Кабинет следователей и адвокатов
Кабинет консультанта","Определение синтезировано
","
Зона руководства
Кабинет приема граждан
Кабинет участкового
Кабинет старшего полицейского
Кабинет полицейского
Кабиент полицейских водителей
Кабинет водителей вольнонаемных
Кабинет начальника отделения
Кабинет заместителя начальника отделения
Кабинет старшего участкового уполномоченного
Кабиент участковых уполномоченных
Кабинет командира взвода
Кабинет начальника тыла
Кабинет тылового обеспечения
Кабинет начальника штаба
Кабинет начальника дежурной части
Кабинет делопроизводства и режима
Кабинет оперативно-разыскной информации
Кабинет по делам несовершеннолетних
Кабинет старшего уполномоченного по делам несовершеннолетних
Кабинет оперуполномоченного
Кабинет дознавателя
Кабинет следователя
Помещение заведующего производством
Помещение священнослужителя
Кабинет врачебного освидетельствования
Кабинет для работы с документами
Кабинет социального работника
Кабинет юриста
Помещение для персонала
Кабинет заведующего отделением
Помещение старшей медсестры
Ординаторская
Кабинет дежурного врача
Кабинет дежурной медсестры
Кабинет сестры-хозяйки"
,,,BAA020,Офис (контора),"Пространство внутри здания, используемое преимущественно для административной деятельности","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 01 14
ПЗ 31 01 20
ПЗ 31 01 21
ПЗ 31 01 22
ПЗ 21 03
ПЗ 31 06 01
ПЗ 31 06 05
ПЗ 31 06 17
ПЗ 31 06 18
ПЗ 31 06 22
ПЗ 31 06 24
ПЗ 31 06 33
ПЗ 31 06 34
ПЗ 31 06 35
ПЗ 31 06 36
ПЗ 31 12 04
ПЗ 31 12 06
ПЗ 32 10 04",,"Кабинет охраны труда
Бухгалтерия
Комната социальных работников
Офисная зона
Помещение дежурной части
Помещение по разрешительно-лицензионной работе
Помещение отдельного взвода ППСП
Кабинет по работе с личным составом
Помещение штаба
Помещение оперативного управления
Комната следственно-оперативной группы
Комната группы немедленного реагирования
Комната свидетелей
Комната ОУР для работы с отдельными категориями граждан
Комната для персонала
Помещение персонала
Учительская",,
,,,BAA030,Офис открытой планировки,"Пространство, в котором персонал работает в общем офисном помещении",ГОСТ Р ИСО 3382-3-2013,,ПЗ 21 03,,"Проектный (конструкторский) зал
Отдел кадров
Офисная зона",,
,,,BAA040,Методический кабинет,"Помещение, для создания информационно-методической базы для поддержки руководящих и педагогических работников","СП 44.13330.2011
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 32 10 03,,Методический кабинет,Определение синтезировано,
,,,BAA050,Диспетчерская,"Специально оборудованное помещение, являющееся центром системы диспетчерского управления и информации о состоянии контролируемых процессов","Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 13 22,"AAT
AAR.14
AAT.08
AAU.08","Диспетчерская централизация
Объединенные диспетческие службы (ОДС)",,
,,,BAA060,Помещение охраны,"Помещение для размещения в нем одного или нескольких сотрудников службы безопасности, охранников","СП 309.1325800.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 10 17
ПЗ 31 06 03
ПЗ 31 06 04
ПЗ 31 07 19
ПЗ 31 10 16",BC,"Пост охраны
Помещение военизированной охраны ","Определение синтезировано
Примеры МССК:
Помещение охраны и конвоирования
Помещение по охране объектов ОВД
Пост охраны
Помещение консьержа",
,,,BAA070,Отделение по вопросам миграции,,,,НД 09 06 01,,,,Отделение по вопросам миграции
,,,BAA080,Отделение уголовного розыска,,,,НД 09 06 02,,,,Отделение уголовного розыска
,,,BAA090,Отделение участковых уполномоченных и подразделений по делам несовершеннолетних,,,,НД 09 06 03,,,,Отделение участковых уполномоченных и подразделений по делам несовершеннолетних
,,,BAA100,Отделение по контролю за оборотом наркотиков,,,,НД 09 06 04,,,,Отделение по контролю за оборотом наркотиков
,,,BAA110,Отделение ГИБДД,,,,НД 09 06 05,,,,Отделение ГИБДД
,,,BAA120,Отделение по пропаганде безопасности дорожного движения и анализа причин ДТП,,,,НД 09 06 06,,,,Отделение по пропаганде безопасности дорожного движения и анализа причин ДТП
,,,BAA130,Отделение дорожного надзора,,,,НД 09 06 07,,,,Отделение дорожного надзора
