Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,Примеры компонентов ISO 81346-2:2019,Примеры компонентов (НТД РФ)(НТД РФ),IFC-entity,КСР,МССК,ПСК,Примечание
,,BFA,,датчик расхода,объект для измерения потока со скалярным выходом,,,"датчик расхода, датчик расхода газа, датчик расхода жидкости, датчик расхода твердого вещества, датчик расхода воды","водомерный узел (узел учета)
квартирный (абонентский) счетчик
квартирный прибор учета воды
прибор учета расхода воды","IfcSensor, IfcFlowMeter",,,,
,,BFB,,реле потока,объект индикации наличия потока измеряемой среды,,,"реле расхода газа, реле расхода твердого вещества",,IfcSensor,,,,
,BG_,,,объект для измерения физических параметров,объект для измерения пространственных измерения и/или положения,ISO 81346-2:2019,Вид измеряемой переменной и вид выходного сигнала,,,,,,,
,,BGA,,датчик положения,"объект для измерения физических размеров положения со скалярным выходом
-
Дополнительный блок, дающий информацию о положении выходного элемента исполнительного механизма (для исполнительного механизма) или затвора исполнительного устройства (для исполнительного устройства)",ГОСТ 14691-69,,"датчик положения, датчик присутствия,
радар, датчик направления ветра",,IfcSensor,,,,
,,BGB,,детектор изменения положения,объект индикации изменения положения объекта,,,"детектор движения,
пассивный инфракрасный датчик движения, датчик положения, индикатор присутствия",,IfcSensor,,,,
,,BGC,,датчик расстояния,объект для измерения физических размеров длины (скалярное значение),,,"лазерный датчик расстояния,
датчик положения, датчик видимости",,IfcSensor,,,,
,,BGD,,детектор линейного перемещения,объект индикации изменения расстояния (линейного),,,"лазерный датчик расстояния, лазерный дальномер, детектора движения,
пассивный инфракрасный датчик движения, датчик положения, индикатор
присутствия, детектор видимости",,IfcSensor,,,,
,,BGE,,датчик угла поворота,объект для измерения величины угла или направления (скалярное значение),,,"датчик выравнивания, концевой упор, датчик положения, преобразователь
положения, угловой кодер, индикатор направления ветра",,IfcSensor,,,,
,,BGF,,детектор углового перемещения,объект индикации изменения расстояния (углового),,,"пороговый детектор выравнивания, детектор движения,
пассивный инфракрасный датчик движения, датчик положения, индикатор присутствия, радар",,IfcSensor,,,,
,,BGG,,сканер объектов,объект для измерения линейных размеров физического объекта,,,"двумерный сканер, трехмерный сканер, сканер координат, лазерный сканер",,IfcSensor,,,,
,BH_,,,объект для измерения энергии,объект для измерения энергии,ISO 81346-2:2019,Вид энергии,,,,,,,
,,BHA,,датчик расхода энергии,объект для измерения энергии потока с заданной плотностью энергии,,,"счетчик энергии охлаждения, счетчик энергии, датчик энергии, газовый
счетчик электроэнергии",,IfcSensor,,,,
,,BHB,,тепловой датчик,объект для измерения энергии теплового потока с заданной теплоемкостью,,,"датчик конденсата, счетчик энергии, счетчик энергии, датчик энергии",,IfcSensor,,,,
,,BHC,,датчик электроэнергии,объект для измерения энергии электрического потока,,,датчик кВтּч,,IfcSensor,,,,
,BJ_,,,объект для измерения мощности,объект для измерения мощности,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
,,BJA,,датчик мощности,объект для измерения мощности (скалярное значение),,,счетчик кВт,,IfcSensor,,,,
,,BJB,,реле мощности,"объект индикации наличия мощности 
-
Измерительное реле с более чем одной входной возбуждающей величиной, например электрический ток и напряжения, которое по своей конструкции предназначено реагировать только на мощность",ГОСТ IEC 60050-447-2014,,,,IfcSensor,,,,
,BK_,,,объект для измерения времени,объект для измерения времени,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
,,BKA,,таймер,"объект для измерения времени (скалярное значение)
-
Управляющее устройство с отсчетом времени, которое требует ручного запуска для начала следующего цикла.",ГОСТ IEC 60730-1-2011,,"часы, устройство информации о времени",,IfcSensor,,,,
,,BKB,,реле времени,"объект индикации изменения времени
-
Управляющее устройство с отсчетом времени, которое начинает следующий цикл после завершения предыдущего.",ГОСТ IEC 60730-1-2011,,счетчик времени,,IfcSensor,,,,
,BL_,,,объект для измерения уровня,объект для измерения уровня,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
,,BLA,,датчик уровня,объект для измерения уровня (скалярное значение),,,"датчик уровня, датчик уровня жидкости",,IfcSensor,,,,
,,BLB,,индикатор уровня,объект индикации изменения уровня,,,индикатор уровня жидкости,,,,,,
,BM_,,,объект для измерения влажности,объект для измерения влажности,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
,,BMA,,датчик влажности,"объект для измерения влажности (скалярное значение)
-
Первичный измерительный преобразователь величин влажности в другие физические величины для удобства измерения, например в электрические величины", РМГ 75-2014,,датчик влажности,,IfcSensor,,,,
,,BMB,,реле влажности,объект индикации наличия влажности,,,датчик влажности,,IfcSensor,,,,
,BP_,,,объект для измерения давления,объект для измерения давления,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
,,BPA,,датчик абсолютного давления,"объект для измерения давления, использующий один порт для измерения абсолютного давления (скалярное значение)
-
Датчик абсолютного давления измеряет давление относительно абсолютного вакуума (нулевого давления).",ГОСТ Р 57844-2017,,"датчик абсолютного давления,
манометр, узел контроля давления, датчик давления, преобразователь
давления",манометр,IfcSensor,,,,
,,BPB,,реле абсолютного давления,объект индикации наличия абсолютного давления,,,реле давления,,IfcSensor,,,,
,,BPC,,датчик относительного давления,"объект для измерения давления, использующий два порта для измерения перепада давления (скалярное значение)",,,"датчик перепада давления, датчик давления, датчик
относительного давления",манометр,IfcSensor,,,,
,,BPD,,реле относительного давления,"объект индикации наличия относительного давления, использующий два порта для измерения перепада давления",,,"датчик давления, реле давления, детектор
относительного давления, реле относительного давления",,IfcSensor,,,,
,BQ_,,,объект для измерения концентрации веществ,объект для измерения концентрации вещества,ISO 81346-2:2019,Вид объекта и вид выходного сигнала,,,,,,,
,,BQA,,датчик газа,объект для измерения концентрации газа (скалярное значение),,,датчик концентрации CO,,IfcSensor,,,,
,,BQB,,детектор газа,объект индикации определенной концентрации газа,,,детектор изменения концентрации газа,,IfcSensor,,,,
,,BQC,,датчик жидкости,объект для измерения концентрации жидкости (скалярное значение),,,"датчик тумана, датчик концентрации бензина",,IfcSensor,,,,
,,BQD,,детектор жидкости,объект индикации концентрации жидкости,,,детектор тумана,,IfcSensor,,,,
,,BQE,,датчик твердых веществ,объект для измерения концентрации твердых веществ (скалярное значение),,,датчик запыленности,,IfcSensor,,,,
,,BQF,,детектор твердых веществ,объект индикации наличия определенной концентрации твердых веществ,,,детектор запыленности,,IfcSensor,,,,
,BR_,,,объект для измерения излучения,объект для измерения излучения,ISO 81346-2:2019,Вид излучения и вид выходного сигнала,,,,,,,
,,BRA,,датчик света,объект для измерения излучения видимых электромагнитных волн (скалярное значение),,,,,IfcSensor,,,,
,,BRB,,фотореле,объект индикации наличия определенной степени излучения видимых электромагнитных волн,,,"передатчик света, линейный детектор, реле слабой освещенности, фотоэлемент",,IfcSensor,,,,
,,BRC,,датчик электромагнитных волн,объект для измерения излучения невидимых электромагнитных волн (скалярное значение),,,"детектор гамма-излучения, ИК-датчик, радиолокационный датчик, УФ-датчик",,IfcSensor,,,,
,,BRD,,электромагнитное реле,"объект индикации наличия излучения невидимых электромагнитных волн
-
Электромеханическое реле, предопределенная реакция которого является результатом действия электромагнитных сил.",ГОСТ IEC 61810-1-2013,,,,IfcSensor,,,,
,,BRE,,датчик излучения,объект для измерения излучения ионизирующих частиц (скалярное значение),,,счетчик Гейгера,,IfcSensor,,,,
,,BRF,,детектор излучения,объект индикации излучения ионизирующих частиц,,,,,IfcSensor,,,,
,BS_,,,объект оценки временем,объект для измерения интенсивности чего-либо по времени,ISO 81346-2:2019,Вид измеряемого объекта времени и вид выходного сигнала,,,,,,,
,,BSA,,датчик продолжительности цикла,объект для измерения времени неповторяющихся циклов действий (скалярное значение),,,"датчик продолжительности цикла, преобразователь частоты",,IfcSensor,,,,
,,BSB,,реле продолжительности цикла,объект индикации времени неповторяющихся циклов действий ,,,,,,,,,
,,BSC,,датчик скорости,объект для измерения скорости (скалярное значение),,,"датчик движения, датчик скорости",,IfcSensor,,,,
,,BSD,,реле контроля скорости,объект индикации скорости,,,детектор движения,,,,,,
,,BSE,,тахометр,"объект для измерения скорости вращения (скалярное значение).
Прибор для измерения угловой скорости вращающихся частей машин, механизмов и приборов ",ГОСТ 18303-72,,датчик скорости вращения,,IfcSensor,,,,
,,BSF,,реле скорости вращения,объект индикации наличия скорости вращения,,,реле скорости изменения частоты,,IfcSensor,,,,
,,BSG,,датчик ускорения,объект для измерения ускорения (скалярное значение),,,сейсмический датчик,,IfcSensor,,,,
,,BSH,,реле ускорения,объект индикации ускорения,,,"сейсмический переключатель, переключатель встряхивания",,IfcSensor,,,,
,BT_,,,объект для измерения температуры,объект для измерения температуры,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
,,BTA,,датчик температуры,"объект для измерения температуры (скалярное значение)
-
Компонент, определяющий температуру контролируемой или окружающей среды.",ГОСТ Р 55204-2012,,датчик температуры,,IfcSensor,,,,
,,BTB,,температурное реле,объект индикации наличия температуры,,,детектор температуры,,"IfcActuator, IfcProtectiveDevice, IfcProtectiveDeviceTrippingUnit, IfcUnitaryControlElement, IfcSensor",,,,
,BU_,,,объект для измерения множества величин параметров,объект для измерения множества величин,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
,,BUA,,многосенсорное измерительное устройство,объект для измерения множества величин (одно или несколько скалярных значений),,,мультиметр,,IfcSensor,,,,
,,BUB,,многоканальный детектор,объект индикации наличия множества величин,,,"реле Бухгольца, реле
дистанционной защиты, реле защиты полного сопротивления, реле
обратной последовательности",,IfcSensor,,,,
,BW_,,,объект для измерения силы,"объект для измерения веса, усилия или крутящего момента",ISO 81346-2:2019,"Вид измеряемого объекта и вид выходного
сигнала",,,,,,,
,,BWA,,датчик веса,объект для измерения веса (скалярное значение),,,датчик веса,дозатор,IfcSensor,,,,
,,BWB,,реле весовой нагрузки,объект для измерения веса с логическим выходом,,,,,IfcSensor,,,,
,,BWC,,датчик усилия,объект для измерения усилий (скалярное значений),,,датчик усилия,,IfcSensor,,,,
,,BWD,,реле усилия,объект индикации наличия усилия,,,,,IfcSensor,,,,
,,BWE,,датчик крутящего момента,объект для измерения крутящего момента (скалярное значение),,,датчик крутящего момента,,IfcSensor,,,,
,,BWF,,реле крутящего момента,объект индикации крутящего момента,,,датчик крутящего момента,,IfcSensor,,,,
,BX_,,,объект аудиовизуального восприятия,"объект измерения, чувствительный к звуку и/ или визуальному проявлению",ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
,,BXA,,акустический приемник,аудио чувствительный объект воспринимающий звуковые волны (скалярное значение),,,"устройство сейсмоакустического исследования, микрофон",,"IfcAudioVisualAppliance, IfcCommunicationsAppliance",,,,
,,BXB,,акустический детектор,аудио чувствительный объект индикации наличия звука,,,датчик разбивания стекла,,"IfcSensor, IfcAudioVisualAppliance",,,,
,,BXC,,видео датчик,аудио-визуально чувствительный объект для реагирования на визуальное проявление (скалярное значение),,,"камера, система видеонаблюдения, сканер, видеокамера",,IfcAudioVisualAppliance,,,,
,,BXD,,детектор изображения,аудио-визуально чувствительный объект для реагирования на визуальное проявление,,,"устройство распознавания лиц,
сканер отпечатков пальцев, сканер радужной оболочки",,IfcAudioVisualAppliance,,,,
,BY_,,,объект для считывания информации,"объект, для считывания хранимой информации",ISO 81346-2:2019,Вид метода,,,,,,,
,,BYA,,устройство чтения микросхем,объект для считывания информации путем электрического соединения,,,устройство считывания чип-карт,,IfcCommunicationsAppliance,,,,
,,BYB,,электромагнитное считывающее устройство,объект для считывания информации путем электромагнитного поля,,,"считыватель магнитных полос, считыватель RFC, считыватель RFID, считыватель магнитных лент",,IfcCommunicationsAppliance,,,,
,,BYC,,оптическое считывающее устройство,объект для считывания информации при помощи светового луча,,,"считыватель штрих-кода, считыватель оптических дисков, считыватель QR-кода",,IfcCommunicationsAppliance,,,,
,BZ_,,,объект для подсчета некоторых событий или количеств,объект для измерения событий или количеств,ISO 81346-2:2019,Вид или количество измеряемых событий,,,,,,,
,,BZA,,счетчик,"объект для измерения событий, регистрирующий некоторые события (скалярное значение)
-
Термин общего характера для обозначения установки (такой как счетчик Гейгера или сцинтилляционный счетчик), которая показывает или записывает число физических событий, регистрируемых на протяжении заданного интервала времени",ГОСТ Р МЭК 60050-881-2008,,,,,,,,
,,BZB,,пороговый счетчик,объект индикации порогового значения некоторых событий,,,,,,,,,
,,BZC,,детектор присутствия человека,объект индикации присутствия человека,,,датчик присутствия,,IfcSensor,,,,
,,BZD,,детектор предметов,объект индикации присутствия твердых веществ,,,,,IfcSensor,,,,
C_,,,,объект для хранения и извлечения,объект для хранения и последующего извлечения,ISO 81346-2:2019,"Вид объекта хранения и
применяемый метод",,,,,,,
,CA_,,,объект емкостного хранения,объект для хранения электрической энергии в электростатическом поле,ISO 81346-2:2019,Вид применяемого метода,,,,,,,
,,CAA,,конденсатор,"емкостный объект для хранения электрического заряда
-
Устройство, основным свойством которого является электрическая емкость.",ГОСТ 31636.3-2012,,,,IfcElectricFlowStorageDevice,,,,
,CB_,,,объект индуктивного хранения,объект для хранения электрической энергии в электромагнитном поле,ISO 81346-2:2019,Вид применяемого метода,,,,,,,
,,CBA,,индуктор,индуктивный объект для хранения индуктивного заряда,,,,,,,,,
,CC_,,,объект электрохимического хранения,объект для хранения электрической энергии в электрохимическом веществе,ISO 81346-2:2019,Вид применяемого метода,,,,,,,
,,CCA,,аккумуляторная батарея,"электрохимический объект для хранения путем обратимых реакций
-
Два или более аккумуляторов, соединенных вместе и используемых как источник электроэнергии.",ГОСТ Р МЭК 62485-2-2011,,,,IfcElectricFlowStorageDevice,,,,
,CF_,,,объект для хранения информации,объект для хранения информации,ISO 81346-2:2019,Вид применяемого метода,,,,,,,
,,CFA,,носитель информации,"объект для хранения информации на переносном носителе
-
Материальный объект, в том числе физическое поле, в котором информация находит свое отображение в виде символов, образов, сигналов, технических решений и процессов, количественных характеристик физических величин.",ГОСТ Р 50922-2006,,,,,,,,
,CL_,,,открытый стационарный объект для хранения или размещения,объект в стационарном открытом корпусе для хранения веществ или размещения людей ,ISO 81346-2:2019,Вид применяемого метода,,,,,,,
,,CLA,,открытый резервуар,"открытый стационарный объект для хранения жидкостей
-
Стационарный сосуд, предназначенный для хранения газообразных, жидких и других веществ",СТО 70238424.27.010.001-2008,,"бункер, цистерна, яма","резервуар
резервуар для воды",IfcTank,,,,
,,CLB,,полка,"открытый стационарный объект для хранения объектов
-
Мебельное изделие без передней стенки, с задней стенкой или без нее, для размещения книг или других предметов ", ГОСТ 20400-2013,,стеллаж,мебель,IfcFurniture,,,,
,,CLC,,посадочное место,открытый объект для расположения людей,,,"стул, диван",мебель,IfcFurniture,,,,
,CM_,,,закрытый стационарный объект для хранения или размещения,объект для хранения веществ или вещей в закрытом стационарном корпусе,ISO 81346-2:2019,Вид хранимых веществ,,,,,,,
,,CMA,,закрытый резервуар,закрытый стационарный объект для хранения жидкостей,,,,"бак
гидропневмобак
камера (резервуар) чистой воды",IfcTank,,,,
,,CMB,,шкаф,"закрытый стационарный объект для хранения объектов
-
Изделие мебели, предназначенное для хранения и (или) демонстрации различных вещей и предметов, с корпусом, передний фасад которого не менее чем наполовину закрыт глухими, остекленными или полностью стеклянными дверями, с выдвижными ящиками или без них",ГОСТ 20400-2013,,"шкаф, буфет",пожарный шкаф,IfcFurniture,,,,
,CN_,,,перемещаемый объект для хранения,объект для хранения веществ или людей в подвижном закрытом корпусе,ISO 81346-2:2019,Вид хранимых веществ,,,,,,,
,,CNA,,контейнер,"подвижный объект для хранения твердых веществ
-
Тара для транспортировки груза, легко передающаяся с одного вида транспорта на другой.",ГОСТ Р ИСО 17261-2014,,"ковш, ковш элеваторный, ковш экскаваторный",корзина для укладки рукавов,,,,,
,,CNB,,газовый баллон,"передвижной объект для хранения газа
-
Сосуд, имеющий одну или две горловины для установки вентилей, фланцев или штуцеров, предназначенный для транспортирования (транспортировки), хранения и использования сжатых, сжиженных или растворенных под давлением газов",СТО 17330282.27.010.001-2008,,,баллон высокого давления,,,,,
,,CNC,,цистерна,"передвижной объект для хранения жидкости
-
Емкость, оборудованная трубопроводами и арматурой, предназначенная для размещения перевозимых грузов.",ГОСТ Р 52202-2004,,,,,,,,
,CP_,,,объект хранения тепловой энергии,объект для хранения тепловой энергии,ISO 81346-2:2019,Вид тепловой энергии,,,,,,,
,,CPA,,тепловой жидкостный накопитель,объект для хранения тепловой энергии жидкости,,,калорифер,,,,,,
,,CPB,,тепловой газовый накопитель,объект для хранения тепловой энергии газа,,,,,,,,,
,,CPC,,тепловой твердотельный накопитель,объект для хранения тепловой энергии твердого вещества,,,,,,,,,
,,CPD,,тепловой твердо-газовый накопитель,"объект для хранения тепловой энергии вещества, изменяющего свое состояние",,,,,,,,,
,CQ_,,,объект накопления механической энергии,объект для накопления механической энергии,ISO 81346-2:2019,Вид механической энергии,,,,,,,
,,CQA,,маховое колесо,объект для накопления механической энергии в виде кинетической энергии,,,,,,,,,
,,CQB,,пружина,объект для накопления механической энергии в виде упругой энергии,,,резиновая лента,,,,,,
,,CQC,,противовес,"объект для накопления механической энергии в виде гравитационной энергии
-
Устройство (груз), предназначенное для уравновешивания силы тяжести грузонесущего устройства и номинальной грузоподъемности.",СТО НОСТРОЙ 2.23.134-2013,,груз на возвышении,,,,,,
E_,,,,излучающий объект,излучающий объект,ISO 81346-2:2019,Вид излучаемого объекта и вид источника энергии,,,,,,,
,EA_,,,"объект, излучающий свет","объект, излучающий свет",ISO 81346-2:2019,Вид источника энергии,,источник света,,,,,
,,EAA,,осветительный прибор (электрический),"объект, излучающий свет при помощи электричества
-
Устройство, предназначенное для освещения и содержащее один или несколько электрических ИС и осветительную арматуру.",ГОСТ Р 55392-2012,,"аргоновая лампа, электролюминесцентные приборы,
люминесцентная лампа, люминесцентная трубка, лампа, лампа накаливания, лазер, неоновая лампа",осветительный прибор,"IfcLamp, IfcLightFixture",,,,
,,EAB,,осветительный прибор (газовый),"объект, излучающий свет при помощи сжигания газа",,,,,IfcLightFixture,,,,
,,EAC,,осветительный прибор (жидкостный),"объект, излучающий свет при помощи сжигания жидкости",,,керосиновая лампа,,IfcLightFixture,,,,
,EB_,,,объект электрического нагрева,"объект, излучающий тепло при помощи электрической энергии",ISO 81346-2:2019,Вид способа доставки,,,,,,,
,,EBA,,электрический котел,объект электрического нагрева передаваемого жидкостью,,,,"электрический водогрейный котел
водонагреватель
котел","IfcBoiler, IfcSpaceHeater",,,,
,,EBB,,электрическая поверхность нагрева,объект электрического нагрева передаваемого поверхностью,,,"жарочная поверхность, нагревательный мат, баня",отопительный прибор,"IfcCoil, IfcSpaceHeater",,,,
,,EBC,,нагревательный кабель,"объект электрического нагрева передаваемого кабелем
-
Кабель с защитной металлической оболочкой или без нее, предназначенный для целей циклического обогрева окружающего пространства.",ГОСТ Р 50571-7-753-2013/МЭК 60364-7-753:2005,,,"кабельная нагревательная секция
нагревательный кабель","IfcDistributionChamberElement, IfcSpaceHeater",,,,
,,EBD,,тепловая пушка,объект электрического нагрева передаваемого нагнетаемым воздухом,,,,отопительный прибор,IfcSpaceHeater,,,,
,,EBE,,объект электро-дугового нагрева,объект электрического нагрева передаваемого электрической дугой,,,электродуговая печь,,IfcSpaceHeater,,,,
,,EBF,,индукционный нагреватель,"объект электрического нагрева передаваемого движением тока
-
Электрический нагревательный прибор без закрытой камеры нагрева, в котором загрузка нагревается индукцией до температуры ниже точки плавления.",ГОСТ IEC 60050-841-2016,,индукционная печь,отопительный прибор,IfcSpaceHeater,,,,
,,EBG,,инфракрасный нагреватель,"объект электрического нагрева передаваемого инфракрасным излучением
-
Электронагревательное оборудование без камеры нагрева, в котором загрузка нагревается в основном инфракрасным излучением.",ГОСТ IEC 60050-841-2016,,,отопительный прибор,IfcSpaceHeater,,,,
,,EBH,,электропечь,"объект электрического нагрева передаваемого окружающими поверхностями
-
Электронагревательное оборудование без рабочей камеры.",ГОСТ IEC 60050-841-2016,,,отопительный прибор,IfcSpaceHeater,,,,
,EC_,,,объект электрического охлаждения,"объект, излучающий холод при помощи электроэнергии",ISO 81346-2:2019,Вид метода,,,,,,,
,,ECA,,электрическая охлаждающая поверхность,объект электрического охлаждения при помощи охлаждающей поверхности,,,,,IfcChiller,,,,
,,ECB,,электрический нагнетатель холодного воздуха,объект электрического охлаждения при использовании нагнетаемого воздуха,,,,,IfcFan,,,,
,,ECC,,испарительный охладитель,объект электрического охлаждения при использовании фазового перехода,,,,,IfcEvaporativeCooler,,,,
,EE_,,,объект излучения с беспроводным питанием,"объект, излучающий электромагнитную энергию",ISO 81346-2:2019,Вид метода,,,,,,,
