Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,,ABA080,Санитарная комната,"В санитарной комнате моют и стерилизуют подкладные судна и клеенки, хранят предметы уборки",СП 158.13330.2014,,,Определение синтезировано
,,,ABA090,Помещение для личной гигиены женщин,"Помещение, предназначенное для смены одежды и личной гигиены женщин",СП 148.13330.2012,,,Определение синтезировано
,,,ABA100,Санитарно-гигиеническое помещение,"Санитарно-гигиеническое помещение, оборудованное унитазом, а также другими приборами",СП 137.13330.2012,,,
,,ABB,,Пространство для ухода за детьми,Пространство для ухода за детьми,IEC 81346-2:2019,,,Определение синтезировано
,,,ABB010,Палата для новорожденных детей,"Помещение, предназначенное для ухода за новорожденными детьми",СП 158.13330.2014,,,Определение синтезировано
,,,ABB020,Палата для недоношенных и травмированных детей,"Помещение, предназначенное для ухода за недоношенными и травмированными детьми",СП 158.13330.2014,,,Определение синтезировано
,,,ABB030,Комната матери и ребенка,"Комната, предназначенная для кратковременного пребывания и обслуживания родителей с детьми до 7-8 лет, детей-инвалидов до 14 лет, женщин на второй половине беременности",СП 118.13330.2012,,Комната ухода за ребенком ,
,,ABC,,Пространство для переодевания,"Пространство, предназначенное для переодевания",,,,Определение синтезировано
,,,ABC010,Раздевалка,Помещение для раздевания или переодевания,СП 118.13330.2012,,,Определение синтезировано
,,,ABC020,Примерочная,"Помещение, где человек может примерить на себя одежду",СП 31-102-99,,,Определение синтезировано
,,,ABC030,Артистическая гримерная,Комната для гримирования,СП 309.1325800.2017,,,Определение синтезировано
,,,ABC040,Артистическая уборная,"Помещение, предназначенное для переодевания, гримирования и подготовки артистов к выступлению, а также для их отдыха в антрактах и паузах",СП 143.13330.2012,,,
,,ABD,,Пространство для нагрева тела,"Пространство, предназначенное для нагрева тела",,,,Определение синтезировано
,,,ABD010,Баня,"Помещение, оборудованное для теплого мытья человека с одновременным действием воды и горячего воздуха или воды и пара",СП 143.13330.2012,,"Финская баня (сауна)
Турецкая Баня
Паровая баня
Соляная баня",Определение синтезировано
,,,ABD020,Парильня,"Отделение бани, в котором парятся",СП 143.13330.2012,,"Парилка, парная",Определение синтезировано
,,,ABD030,Баня-санпропускник,"Помещение с санитарно-гигиеническим оборудованием в учреждении временного пребывания для медицинского осмотра прибывших лиц, проведения их санитарной обработки и обеспечения чистой одеждой",СП 308.1325800.2017,,,
,AC,,,Изолирующее пространство,"Пространство, обеспечивающее обособленное положение, изолированность человека или группы людей",IEC 81346-2:2019,По функциональному назначению,,Определение синтезировано
,,ACA,,Пространство укрытия,"Пространство, место, укрывающее, защищающее от чего-либо",IEC 81346-2:2019,,,Определение синтезировано
,,,ACA010,Коллективное (индивидуальное) укрытие,"Помещение или место, где исключается воздействие опасных факторов на людей в течение времени, необходимого для их спасения",ТСН 31-304-95,,,
,,,ACA020,Укрытие,"Помещение, окоп, защитная стенка с перекрытием, защищающие людей от осколков САВ, разорвавшихся на пункте воздействия (ПВ) при их аномальном функционировании",РД 52.37.615-2015,,Противорадиационное укрытие,
,,,ACA030,Декомпрессионная камера,"Герметизированное помещение, в котором при постоянной температуре искусственно создается пониженное или повышенное давление воздуха",Терминологический словарь по строительству,,Рекомпрессионная камера,
,,,ACA040,Камера-убежище,"Защитный блок, оборудованный инженерными системами, позволяющими объединять несколько блоков в защитные сооружения гражданской обороны различного уровня защиты",ГОСТ Р 42.4.03-2015,,,
,,,ACA050,Безопасная зона,"Зона, в которой люди защищены от воздействия опасных факторов пожара или в которой опасные факторы пожара отсутствуют либо не превышают предельно допустимых значений. ",СП 137.13330.2012,,,
,,,ACA060,Зона коллективной защиты пассажиров,"Отдельное подземное помещение для размещения пассажиров при возникновении в перегонных тоннелях чрезвычайной ситуации, угрожающей жизни или здоровью пассажиров, оборудованное отдельными системами пожарной безопасности, освещения, связи, вентиляции и канализации",СП 120.13330.2012,,,
,,,ACA070,Зона минимального воздействия шума,Зона минимального воздействия шума,СП 276.1325800.2016,,,
,,,ACA080,Зона общественного доступа,"Любая зона, где люди защищены от случайного контакта с импульсными проводниками физическим барьером",ГОСТ IEC 60335-2-76-2013,,,
,,ACB,,Камера,Закрывающаяся комната или замкнутое пространство,IEC 81346-2:2019,,,Определение синтезировано
,,,ACB010,Медицинский изолятор,"Помещение для временной изоляции больных с инфекционными заболеваниями или подозрением на них, оборудованное по типу бокса или полубокса",ВМР 2.1.3.2365-08,,,Определение синтезировано
,,,ACB020,Тюремная камера,Помещение для ограничения свободы человека,СП 308.1325800.2017,,"Одиночная камера
Помещение для задержанных лиц
Камера для содержания женщины с ребёнком ",Определение синтезировано
,,,ACB030,Камера особого режима,"Помещение для ограничения свободы особо опасных рецидивистов, осужденных на пожизненный срок
",СП 308.1325800.2017,,Камера ШИЗО,Определение синтезировано
B,,,,Пространство для ведения человеческой деятельности,"Пространство, предназначенное для ведения человеческой деятельности",IEC 81346-2:2019,По функциональному назначению,,Определение синтезировано
,BA,,,Рабочее пространство,"Пространство, выделенное одному или нескольким сотрудникам в рабочей системе для выполнения рабочей задачи",ГОСТ Р ИСО 11064-4-2015,По функциональному назначению,,
,,BAA,,Рабочее пространство для обработки информации,"Пространство, выделенное одному или нескольким сотрудникам для обработки информации",,,,Определение синтезировано
,,,BAA010,Рабочий кабинет,"Рабочее помещение, предназначенное для индивидуальной работы",СП 367.1325800.2017,,"Кабинет руководителя
Кабинет заведующего
Кабинет следователей и адвокатов
Кабинет консультанта",Определение синтезировано
,,,BAA020,Офис (контора),"Помещение общественного назначения для размещения рабочих мест администрации, сотрудников и персонала учреждений и ведомств",ГОСТ Р 58033-2017,,"Кабинет охраны труда
Бухгалтерия
Комната социальных работников",
,,,BAA030,Офис открытой планировки,"Пространство, в котором персонал работает в общем офисном помещении",ГОСТ Р ИСО 3382-3-2013,,"Проектный (конструкторский) зал
Отдел кадров",
,,,BAA040,Методический кабинет,"Помещение, для создания информационно-методической базы для поддержки руководящих и педагогических работников",СП 44.13330.2011,,,Определение синтезировано
,,,BAA050,Диспетчерская,"Специально оборудованное помещение, являющееся центром системы диспетчерского управления и информации о состоянии контролируемых процессов",Терминологический словарь по строительству,,,
,,,BAA060,Помещение охраны,"Помещение для размещения в нем одного или нескольких сотрудников службы безопасности, охранников",СП 309.1325800.2017,,Пост охраны,Определение синтезировано
,,BAB,,Рабочее пространство для собраний,"Пространство, выделенное для проведения собраний",IEC 81346-2:2019,,,Определение синтезировано
,,,BAB010,Конференц-зал,"Зал, оборудованный для проведения конференций, собраний или заседаний",Терминологический словарь по строительству,,"Зал для проведения видеоконференций
Зал ученого совета",
,,,BAB020,Помещение для совещаний,Помещение выделенное под совместную работу или обсуждение рабочих моментов сотрудниками организации (подразумевает небольшое количество участников),СП 152.13330.2018,,"Переговорная
Комната деловых встреч
Комната деловых встреч",Определение синтезировано
,,,BAB030,Зал заседаний,"Зал для проведения собраний какой-либо организации, коллектива",СП 152.13330.2018,,"Зал заседаний совета директоров
Зал рабочих совещаний
Зал судебных заседаний",Определение синтезировано
,,BAC,,Рабочее пространство для приема гостей и товаров,Пространство для приема гостей и товаров,IEC 81346-2:2019,,,Определение синтезировано
,,,BAC010,Зона регистрации,"Зона, в которой фиксируют соответствующие признаки продукции, процесса или услуги либо особенности органа или лица",СП 121.13330.2019 ,,"Регистратура
Помещение (зона) дежурного администратора входной зоны",Определение синтезировано
,,,BAC020,Справочное бюро,"Зона, в которой проводится получение интересующей информации",СП 138.13330.2012,,,Определение синтезировано
,,,BAC030,Посетительская зона,"Совокупность помещений и пространств в зданиях и сооружениях, предназначенных для приема и оказания (предоставления) услуги гражданам.",СП 136.13330.2012,,,
,,,BAC040,Место индивидуального обслуживания,"Пространство, которое предназначается для посетителя с сопровождающим и обслуживающего персонала",СП 136.13330.2012,,,
,,,BAC050,Приемная,"Комната, в которой принимают посетителей или в которой посетители ждут приёма",СП 152.13330.2018,,"Приемная председателя суда
Приемная директората",Определение синтезировано
,,BAD,,Торговый зал,"Помещение торгового предприятия, предназначенное для обслуживания покупателей",Терминологический словарь по строительству,,,
,,,BAD010,Помещение торгового зала,"Помещение торгового предприятия, предназначенное для обслуживания покупателей",Терминологический словарь по строительству,,,
,,,BAD020,Зона киоска,"Зона, предназначенная для размещения одноэтажного сооружения общей площадью до 20 кв.м, предназначенного для торговли, осуществляемой без доступа покупателей внутрь киоска",НПБ 103-95,,,
,,,BAD030,Помещение парикмахерской,"Помещение, в котором осуществляется предоставление услуг по уходу за волосами",СП 118.13330.2012,,,Определение синтезировано
,,,BAD040,Билетная касса,"Помещение, предназначенное для продажи проездных документов - билетов",ГОСТ 34530-2019,,,
,,,BAD050,Операционный зал,"Помещение, предназначенное для оформления клиентами и инкассаторами документов",ВНП 001-01,,,
,,,BAD060,Помещение магазина,"Помещение, предназначенное для продажи товаров и оказания услуг покупателям",ГОСТ Р 58033-2017,,,
,,,BAD070,Вестибюль кассовый,"Помещение, предназначенное для кассовых операций и размещения афиш",СП 309.1325800.2017,,Зал кассовый,
,,,BAD080,Солярий,Помещение или площадка для принятия солнечных ванн или искусственного загара,ГОСТ Р 57617-2017,,,
,,,BAD090,Бар,"Пространство, оборудованное барной стойкой и реализующее, в зависимости от специализации, алкогольные и (или) безалкогольные напитки",ГОСТ 30389-2013,,,
,,BAE,,Пространство для обучения,"Пространство, в котором осуществляется процесс обучения",IEC 81346-2:2019,,,Определение синтезировано
,,,BAE010,Лекционный зал,Учебное помещение больших размеров для лекционных занятий,Приказа Москомархитектуры от 25.07.2008 г. N 67,,,
,,,BAE020,Аудитория,Универсальное учебное помещение для теоретических занятий,Приказ Москомархитектуры от 25.07.2008 г. N 67,,"Лекционная учебная аудитория
Кабинет черчения
Кабинет курсового и дипломного проектирования",
,,,BAE030,Учебный кабинет,Помещение для проведения занятий по различным дисциплинам,СП 251.1325800.2016,,"Кабинет естествознания 
Учебный кабинет общеобразовательной организации
Кабинет изучения технологии",
,,,BAE040,Специализированный учебный кабинет,Помещение для углубленных профильных курсов или по узкой дисциплине,ТСН 31-306-2004 (МГСН 4.06-03),,"Лаборатории общетеоретических дисциплин 
Лаборатория общетехнических и специальных дисциплин
Кабинет общетехнических и специальных дисциплин",
,,,BAE050,Кабинет индивидуальных занятий,Занятия с рассредоточением обучающихся по всему классному помещению для самостоятельного решения поставленных учителем задач,СП 251.1325800.2016,,"Кабинет индивидуальных занятий с дефектологом 
Кабинет индивидуальных занятий с логопедом 
Кабинет обучения пользования протезами ",
,,,BAE060,Учебная лаборатория,"Учебное помещение, оснащенное техническими средствами для закрепления знаний",ОСТ 95 10589-2004,,"Компьютерный класс
Химическая аудитория 
Физическая аудитория",
,,,BAE070,Языковая студия,"Помещение, в котором оказывают полный комплекс языковых услуг, то есть переводческие услуги и образовательные услуги в сфере иностранных языков",,,,Определение синтезировано
,,,BAE080,Творческая мастерская,Помещение для проведения занятий по дисциплинам творческой направленности,,,,Определение синтезировано
,,,BAE090,Класс пения и музыки,"Помещение, предназначенное для занятий музыкой",СП 251.1325800.2016,,,
,,,BAE100,Мультимедийный класс,"Помещение, оборудованное аудио-, видео- или вещательного/приемными устройствами",ГОСТ IEC 62479-2013,,,
,,,BAE110,Лингафонный кабинет,"Помещение, в котором устанавливается проекционная и звукотехническая техника, которая подходит для реализации аудиовизуального метода обучения",СП 278.1325800.2016,,,Определение синтезировано
,,,BAE120,Учебно-производственная мастерская,"Помещение для производственного обучения студентов с использованием действующих устройств, машин, станков и механизмов",Приказ Москомархитектуры от 25.07.2008 г. N 67 ,,,
,,BAF,,Пространство для чтения,"Пространство, предназначенное для чтения",IEC 81346-2:2019,,,Определение синтезировано
,,,BAF010,Читальный зал,"Помещение, оборудованное для чтения литературы и работы с ней",Терминологический словарь по строительству,,,
,,,BAF020,Справочный зал,"Помещение, в котором проводится консультационная и информационно-справочная работа на основе фонда справочных изданий и других компонентов справочно-поискового аппарата",ГОСТ 7.0-99 СИБИД,,,
,,,BAF030,Библиотека,"Помещение, располагающее организованным фондом документов и предоставляющее их во временное пользование абонентам, а также осуществляющее другие библиотечные услуги",ГОСТ 7.0-99 СИБИД,,,
,,,BAF040,Комната самостоятельных занятий,"Помещение, предназначенное для самостоятельных занятий обучающихся",СП 145.13330.2012,,,Определение синтезировано
,,BAG,,Помещение для стирки белья,Помещение для стирки и последующей обработки белья,IEC 81346-2:2019,,,Определение синтезировано
,,,BAG010,Прачечная,"Помещение, а также общественное предприятие для стирки белья",СП 308.1325800.2017,,"Прачечная стирально-разборочная
Прачечная сушильно-гладильная",Определение синтезировано
,,,BAG020,Прачечная-автомат,"Помещение, оборудованное машинами для стирки, сушки и утюжки белья, все операции по стирке клиент выполняет самостоятельно",СП 308.1325800.2017,,"Ландромат
Прачечная самообслуживания",
,,,BAG030,Постирочная,"Помещение внутри жилого здания, предназначенное для стирки, глажки, мойки и других работ, связанных с высокой влажностью",СП 376.1325800.2017,,"Помещение для стирки мелких вещей, сушки одежды и обуви",Определение синтезировано
,,,BAG040,Гладильная,"Помещение, предназначенное для глажки белья",СП 158.13330.2014,,,Определение синтезировано
,,BAH,,Пространство для лечения,"Пространство, предназначенное для оказания специализированной медицинской помощи",Указания Москомархитектуры от 08.06.1999 г. N 23,,,
,,,BAH010,Палата больничная,"Лечебное помещение палатного отделения, в котором круглосуточно осуществляют диагностику заболеваний, лечение, наблюдение и уход за больными",СП 158.13330.2014,,"Палата детского отделения
Палата для новорожденных 
Палата интенсивной терапии
Палата матери и ребенка",
,,,BAH020,Палата афереза,Помещение для целенаправленного получения отдельных компонентов крови,СП 158.13330.2014,,,Определение синтезировано
,,,BAH030,Палата химиотерапии,Помещение для проведения химиотерапии,СП 158.13330.2014,,,Определение синтезировано
,,,BAH040,Палата диализа,"Помещение, предназначенное для оказания медицинской помощи пациентам с хронической почечной недостаточностью",СП 158.13330.2014,,,
,,,BAH050,Кабинет электросудорожной терапии (кабинет ЭСТ),Помещение для проведения электросудорожной терапии,СП 158.13330.2014,,,Определение синтезировано
,,,BAH060,Кабинет первой помощи,"Помещение, предназначенное для оказания первой медицинской помощи",ГОСТ 32846-2014,,,
,,,BAH070,Операционная,"Помещение, предназначенное для проведения хирургических операций",СП 158.13330.2014,,"Наркозная
Реанимационный зал",
,,,BAH080,Физиотерапевтический кабинет,"Помещение, предназначенное для выполнения физиотерапевтических процедур",СП 158.13330.2014,,"Кабинет электросветолечения
Кабинет электросонтерапии
Кабинет теплолечения
Кабинет индивидуальных ингаляций",Определение синтезировано
,,,BAH090,Массажный кабинет,"Помещение, предназначенное для проведения сеансов массажа",СП 158.13330.2014,,,Определение синтезировано
,,,BAH100,Барозал,Зал или помещение с барокамерой,СП 158.13330.2014,,"Гипобарическая камера, гипербарическая камера",
,,,BAH110,Процедурный кабинет,"Помещение, в котором осуществляет прием специалист - терапевт",СП 158.13330.2014,,Перевязочная,Определение синтезировано
,,,BAH120,Фотарий,"Помещение, оборудованное для проведения физиотерапевтического лечения ультрафиолетовыми лучами",СП 158.13330.2014,,,Определение синтезировано
,,,BAH130,Кабинет трудотерапии,"Помещение, предназначенное для проведения занятий по трудотерапии",СП 149.13330.2012,,,Определение синтезировано
,,BAJ,,Пространство для обследования и диагностики,Пространство для проведения обследований и диагностики заболеваний,IEC 81346-2:2019,,,Определение синтезировано
,,,BAJ010,Приемное отделение,"Помещение, предназначенное для приема больных ",СП 158.13330.2014,,,Определение синтезировано
,,,BAJ020,Помещение медпункта,"Помещение, в котором располагается пункт первой медицинской помощи (обычно при учреждениях или в общественных местах)",СП 158.13330.2014,,,Определение синтезировано
,,,BAJ030,Пост медицинского осмотра,"Зона, рядом с обслуживаемыми палатами, в котором располагается рабочее место постовой медицинской сестры",СП 158.13330.2014,,,Определение синтезировано
,,,BAJ040,Диагностический кабинет,Диагностический кабинет,,,"Кабинеты лучевой диагностики и терапии
Помещения для магнитно-резонансной томографии
Помещения для проведения ЭКГ, ЭЭГ, ЭГГ
Помещения для проведения эндоскопии",Определение синтезировано
,,,BAJ050,Кабинет врача,"Помещение, в котором осуществляет прием врач-специалист",СП 158.13330.2014,,"Кабинет окулиста
Кабинет ортопеда-травматолога
Кабинет отоларинголога
Кабинет офтальмолога
Кабинет педиатра",Определение синтезировано
,,,BAJ060,Бокс родовой,"Комплекс помещений, предназначенный для приема родов у пациенток при необходимости их изоляции",СП 158.13330.2014,,,
