c_1,c_2,c_3,c_4,c_5,lev_1,lev_2,lev_3,lev_4,lev_5,code,def,source,type,list,ifc,par_1,par_2,sect,sect_parts
,,,,0038,,,,,Код ОКОФ,XNCC0038,Общероссийский классификатор основных фондов,,Текстовый,,,,,,
,,,,0039,,,,,Код ОКП,XNCC0039,Общероссийский классификатор продукции,,Текстовый,,,,,,
,,,,0040,,,,,Код ОКС,XNCC0040,Общероссийский классификатор стандартов ,,Текстовый,,,,,,
,,,,0041,,,,,Код ОКТС,XNCC0041,Общероссийский классификатор трансформационных событий ,,Текстовый,,,,,,
,,,R,,,,,Региональные классификаторы,,XNCR,,,,,,,,,
,,,,0001,,,,,Код МССК,XNCR0001,Московская Строительная Система Классификаторов,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 40 10 10,,,
,,,P,,,,,Сборники расценок,,XNCP,,,,,,,,,
,,,,0001,,,,,Код ГЭСН,XNCP0001,Государственные Элементные Сметные Нормы,,Текстовый,,,,,,
,,,,0002,,,,,Код ТЕР,XNCP0002,Территориальные единичные расценки в строительстве,,Текстовый,,,,,,
,,,,0003,,,,,Код ФЕР,XNCP0003,Федеральные единичные расценки,,Текстовый,,,,,,
,,,F,,,,,Зарубежные классификационныесистемы,,XNCF,,,,,,,,,
,,,,0001,,,,,Код OmniClass,XNCF0001,,,Текстовый,,,,,,
,,,,0002,,,,,Код Uniclass 2015,XNCF0002,,,Текстовый,,,,,,
,,,,0003,,,,,Код MasterFormat,XNCF0003,,,Текстовый,,,,,,
,,,,0004,,,,,Код Uniformat II,XNCF0004,,,Текстовый,,,,,,
,,,,0005,,,,,Код CCS,XNCF0005,,,Текстовый,,,,,,
,,,,0006,,,,,Код CoClass,XNCF0006,,,Текстовый,,,,,,
,,,W,,,,,Ведомственные классификаторы,,XNCW,,,,,,,,,
,,,,0001,,,,,Код РЖД,XNCW0001,"Классификатор ОАО ""РЖД""",,Текстовый,,,,,,
,,,U,,,,,Пользовательские,,XNCU,,,,,,,,,
,,T,,,,,Тип и вид,,,XNT_,,,,,,,,,
,,,,0001,,,,,Вид,XNT_0001,,,Текстовый,,,,,,
,,,,0002,,,,,Тип,XNT_0002,,,Текстовый,,,,,,
,,,,0003,,,,,Класс,XNT_0003,,,Текстовый,,,,,,
,,,,0004,,,,,Категория,XNT_0004,,,Текстовый,,,,,,
,,,,0005,,,,,Марка,XNT_0005,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 40 10 14,,,
,,,,0006,,,,,Имя,XNT_0006,,,Текстовый,,,,,,
,,,,0007,,,,,Цвет,XNT_0007,,,Текстовый,,,,,,
,,,,0008,,,,,Производитель,XNT_0008,,,Текстовый,,,,,,
,,,,0009,,,,,Наименование по каталогу,XNT_0009,,,Текстовый,,,,,,
,,,,0010,,,,,Артикул по каталогу,XNT_0010,,,Текстовый,,,,,,
,,U,,,,,Пользовательские,,,XNU_,,,,,,,,,
,L,,,,,Расположение,,,,XL__,,,,,,,,,
,,G,,,,,Географическое расположение,,,XLG_,,,,,,,,,
,,,,0001,,,,,Географическая широта,XLG_0001,,,Текстовый,,,,,,
,,,,0002,,,,,Географическая долгота,XLG_0002,,,Текстовый,,,,,,
,,,,0003,,,,,Географическая высота,XLG_0003,,,Текстовый,,,,,,
,,,,0004,,,,,GPS координаты,XLG_0004,,,Текстовый,,,,,,
,,,,0005,,,,,Ориентация стороны света,XLG_0005,,,Из списка,"юг
север
запад
восток
юго-запад
юго-восток
северо-запад
северо-восток",,,,,
,,,U,,,,,Пользовательские,,XLU_,,,,,,,,,
,,A,,,,,Адрес,,,XLA_,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,ПР 10 20 10,,,
,,,,0001,,,,,Индекс,XLA_0001,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Числовой,,,ПР 10 20 10 10,,,
,,,,0002,,,,,Страна,XLA_0002,,,Текстовый,,,,,,
,,,,0003,,,,,Область,XLA_0003,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 10 20 10 20,,,
,,,,0004,,,,,Район,XLA_0004,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 10 20 10 40,,,
,,,,0005,,,,,Штат,XLA_0005,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 10 20 10 20,,,
,,,,0006,,,,,Город,XLA_0006,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,"ПР 10 20 10 30
ПР 10 20 10 50",,,
,,,,0007,,,,,Село,XLA_0007,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 10 20 10 50,,,
,,,,0008,,,,,Улица,XLA_0008,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 10 20 10 60,,,
,,,,0009,,,,,Дом,XLA_0009,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 10 20 10 70,,,
,,,,0010,,,,,"Корпус, строение",XLA_0010,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,"ПР 10 20 10 80
ПР 10 25 10",,,
,,,,0011,,,,,Квартира,XLA_0011,,,Текстовый,,,,,,
,,,,0012,,,,,Подъезд,XLA_0012,,,Текстовый,,,,,,
,,,,0013,,,,,Номер телефона,XLA_0013,,,Текстовый,,,,,,
,,,U,,,,,Пользовательские,,XLAU_,,,,,,,,,
,,L,,,,,Локальное расположение,,,XLL_,,,,,,,,,
,,,,0001,,,,,Положение,XLL_0001,,,Текстовый,,,,,,
,,,,0002,,,,,Координаты,XLL_0002,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,"ПР 10 40 14
ПР 10 40 16
ПР 10 40 22
ПР 10 40 24
ПР 10 40 30
ПР 10 40 32",,,
,,,,0003,,,,,Километраж,XLL_0003,,,Текстовый,,,,,,
,,,,0004,,,,,Отметка земли,XLL_0004,,,Текстовый,,,,,,
,,,,0005,,,,,Высотная отметка,XLL_0005,,,Текстовый,,,,,,
,,,,0006,,,,,Отметка дна,XLL_0006,,,Текстовый,,,,,,
,,,,0007,,,,,Отметка верха,XLL_0007,,,Текстовый,,,,,,
,,,,0008,,,,,Отметка нуля проекта,XLL_0008,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 10 40 10,,,
,,,,0009,,,,,Отметка уровня земли,XLL_0009,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 10 40 12,,,
,,,,0010,,,,,Отметка уровня точки съемки,XLL_0010,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 10 40 18,,,
,,,,0011,,,,,Угол от истинного севера точки съемки,XLL_0011,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 10 40 20,,,
,,,,0012,,,,,Отметка уровня базовой точки,XLL_0012,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Текстовый,,,ПР 10 40 26,,,
,,,,0013,,,,,Номер секции,XLL_0013,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Числовой,,,ПР 10 25 12,,,
,,,,0014,,,,,Номер этажа,XLL_0014,,,Числовой,,,,,,
,,,,0015,,,,,Километр трассы,XLL_0015,,,Числовой,,,,,,
,,,,0016,,,,,Расстояние,XLL_0016,Степень (мера) удаленности объектов друг от друга,,Числовой,,,,,,
,,,U,,,,,Пользовательские,,XLLU_,,,,,,,,,
,,C,,,,,Климатические,,,XLC_,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,ПР 10 45,,,
,,,,0001,,,,,Глубина промерзания ,XLC_0001,Расстояние от земной поверхности до нижней границы промерзшего за зимний период грунта.,СП 78.13330.2012,Числовой,,,,,,
,,,,0002,,,,,Климатический район,XLC_0002,"Район строительства с комплексным сочетанием средней месячной температуры воздуха в январе и июле, средней скорости ветра за три зимних месяца, средней месячной относительной влажности воздуха в июле 
","СП 131.13330.2018
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Текстовый,,,ПР 10 45 10,,,
,,,,0003,,,,,Климатический подрайон,XLC_0003,"Подрайон строительства с комплексным сочетанием средней месячной температуры воздуха в январе и июле, средней скорости ветра за три зимних месяца, средней месячной относительной влажности воздуха в июле 
","СП 131.13330.2018
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Текстовый,,,ПР 10 45 12,,,
,,,,0004,,,,,Ветровой район,XLC_0004,"Территория, отличающаяся от других территорий определенным давлением ветра ","СП 20.13330.2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Текстовый,,,ПР 10 45 13,,,
,,,,0005,,,,,Ветровое давление,XLC_0005,Скоростной напор ветра равный половине произведения плотности воздуха на скорость нормативного ветра,"ГОСТ Р 56728-2015
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Текстовый,,,ПР 10 45 14,,,
,,,,0006,,,,,Снеговой район,XLC_0006,"Территория, отличающаяся от других территорий весом снегового покрова","СП 20.13330.2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Текстовый,,,ПР 10 45 15,,,
,,,,0007,,,,,Вес снегового покрова,XLC_0007,Расчетное значение веса снегового покрова  на 1 м2 горизонтальной поверхности земли для отдельных населенных пунктов Российской Федерации,"СП 20.13330.2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Текстовый,,,ПР 10 45 16,,,
,,,,0008,,,,,Теплосодержание,XLC_0008,"Функция состояния термодинамической системы, определяемая как сумма внутренней энергии и произведения давления на объём ","Ансельм А. И. Основы статистической физики и термодинамики. — 2-е изд., стереотип. — СПб.: Лань, 2007. — 427 с. — (Учебники для вузов. Специальная литература)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Текстовый,,,ПР 10 45 17,,,
,,,,0009,,,,,Барометрическое давление,XLC_0009,"Климатический параметр теплого периода года для проектирования отопления, вентиляции и кондиционирования","СП 131.13330.2018
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Текстовый,,,ПР 10 45 18,,,
,,,,0010,,,,,Расчетная температура воздуха наиболее холодной пятидневки,XLC_0010,"Значение, соответствующее обеспеченности 0,98 и 0,92 из ранжированного ряда температуры воздуха наиболее холодных пятидневок и соответствующих им обеспеченностей за период с 1965 по 2015 гг.","СП 131.13330.2018
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,ПР 10 45 20,,,
,,,,0011,,,,,Средняя температура наружного воздуха за отопительный период,XLC_0011,Климатический параметр равный сумме средних суточных температур за отопительный период,"СП 131.13330.2018
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,ПР 10 45 21,,,
,,,,0012,,,,,Продолжительность отопительного периода,XLC_0012,"Расчетный период времени работы системы отопления здания, представляющий собой среднее статистическое число суток в году, когда средняя суточная температура наружного воздуха устойчиво равна и ниже 8 °C или 10 °C в зависимости от вида здания","СП 50.13330.2012
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,ПР 10 45 22,,,
,,,,0013,,,,,"Средняя скорость ветра за период со средней суточной температурой воздуха ≤8, °С",XLC_0013,Климатический параметр холодного периода года,"СП 131.13330.2018
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,ПР 10 45 23,,,
,,,,0014,,,,,Температура окружающего воздуха,XLC_0014,"Климатический параметр для проектирования отопления, вентиляции и кондиционирования",СП 131.13330.2018,Числовой,,,,,,
,,,U,,,,,Пользовательские,,XLCU_,,,,,,,,,
,H,,,,,Время и стоимость,,,,XH__,,,,,,,,,
,,T,,,,,Время,,,XHT_,,,,,,,,,
,,,,0001,,,,,Дата,XHT_0001,,,Дата,,,,,,
,,,,0002,,,,,Дата изготовления,XHT_0002,,,Дата,,,,,,
,,,,0003,,,,,Дата оценки физического износа,XHT_0003,,,Дата,,,,,,
,,,,0004,,,,,Норматив времени оценки физического износа,XHT_0004,,,Числовой,,,,,,
,,,,0005,,,,,Даты совершенных сервисов,XHT_0005,,,Дата,,,,,,
,,,,0006,,,,,Межсервисный интервал,XHT_0006,,,Текстовый,,,,,,
,,,,0007,,,,,Срок службы,XHT_0007,,,Текстовый,,,,,,
,,C,,,,,Стоимость,,,XHC_,,,,,,,,,
,,,,0001,,,,,Закупочная стоимость,XHC_0001,,,Числовой,,,,,,
,,,,0002,,,,,Стоимость единицы продукции,XHC_0002,,,Числовой,,,,,,
,,,,0003,,,,,Себестоимость,XHC_0003,,,Числовой,,,,,,
,,,U,,,,,Пользовательские,,XHCU,,,,,,,,,
,Q,,,,,Количества,,,,XQ__,,,,,,,,,
,,,,0001,,,,,Количество единиц,XQ__0001,,,Числовой,,,,,,
,,,,0002,,,,,Количество проводов,XQ__0002,,,Числовой,,,,,,
,,U,,,,,Пользовательские,,,XPQU_,,,,,,,,,
,P,,,,,Физические,,,,XP__,,,,,,,,,
,,G,,,,,Геометрические,,,XPG_,,,,,,,,,
,,,,0001,,,,,Ширина,XPG_0001,"Один из двух горизонтальных габаритов, как правило, наименьший","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,"ПР 40 18 10
ПР 40 60 13",,,
,,,,0002,,,,,Высота,XPG_0002,"Вертикальный габарит, отсчитываемый вверх от условного нулевого уровня","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,"ПР 40 18 12
ПР 40 60 14",,,
,,,,0003,,,,,Длина,XPG_0003,"Один из двух горизонтальных габаритов, как правило, наибольший","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,ПР 40 18 13,,,
,,,,0004,,,,,Периметр,XPG_0004,Длина замкнутого контура плоской фигуры,"Научно-технический энциклопедический словарь
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,ПР 40 18 14,,,
,,,,0005,,,,,Площадь,XPG_0005,"Числовая характеристика двумерной поверхности, как правило, вычисляемая на основе произведения размеров двух ее сторон.","ГОСТ Р 57271.6-2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,ПР 40 18 15,,,
,,,,0006,,,,,Наружный диаметр,XPG_0006,Диаметр верхней окружности,"ГОСТ 28500-90
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,ПР 40 70 13,,,
,,,,0007,,,,,Объем,XPG_0007,"Числовая характеристика трехмерного объекта, как правило, вычисляемая на основе произведения размеров трех его сторон.","ГОСТ Р 57271.6-2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,ПР 40 18 16,,,
,,,,0008,,,,,Глубина,XPG_0008,"Вертикальный габарит, отсчитываемый вниз от условного нулевого уровня",ГОСТ Р ИСО 6707-1-2020,Числовой,,,,,,
,,,,0009,,,,,Поперечное сечение,XPG_0009,Сечение под прямым углом к продольной оси, Справочник технического переводчика,Текстовый,,,,,,
,,,,0010,,,,,Диаметр,XPG_0010,"Отрезок прямой, соединяющий две точки окружности и проходящий через ее центр","Большой энциклопедический словарь. 2000
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,ПР 40 60 13,,,
,,,,0011,,,,,Поперечный уклон,XPG_0011,"Уклон поверхности, перпендикулярный направлению движения",СП 59.13330.2016,Числовой,,,,,,
,,,,0012,,,,,Продольный уклон,XPG_0012,"Уклон поверхности, параллельный направлению движения",СП 59.13330.2016,Числовой,,,,,,
,,,,0013,,,,,Толщина,XPG_0013,"Один из двух горизонтальных габаритов, как правило, наименьший","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,"ПР 40 60 19
ПР 40 70 17
ПР 60 15 15 12
ПР 60 15 15 15
ПР 60 15 15 17",,,
,,,,0014,,,,,Толщина слоя,XPG_0014,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,Числовой,,,ПР 50 10 15,,,
,,,,0015,,,,,Угол наклона,XPG_0015,"Максимальный угол относительно горизонтали, под которым движутся ступени, пластины или лента","ГОСТ 33966.1-2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39   ",Числовой,,,ПР 40 18 17,,,
,,,,0016,,,,,Уклон,XPG_0016,Цифровое обозначение отношения разности высот двух точек какой-либо поверхности к горизонтальному расстоянию между ними,"Рабочая документация для строительства. Выпуск I. Общие требования
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,"ПР 40 18 18
ПР 40 45 12",,,
,,,,0017,,,,,Допуск геометрического параметра,XPG_0017,Абсолютное значение разности предельных значений геометрического параметра,ГОСТ Р 58938-2020,Числовой,,,,,,
,,,U,,,,,Пользовательские,,XPGU,,,,,,,,,
,,T,,,,,Теплотехнические,,,XPT_,,,,,,,,,
,,,,0001,,,,,Теплостойкость,XPT_0001,"Относительная величина, характеризующая способность материала сохранять свои прочностные качества после воздействия на него в течение определенного времени определенной повышенной температуры, характерной для режимов укладки горячих асфальтобетонных смесей",ГОСТ Р 55029-2020  ,Числовой,,,,,,
,,,,0002,,,,,Теплопроводность,XPT_0002,"Теплофизическая характеристика материала, отражающая его свойство передавать теплоту за счет теплопроводности и численно равная плотности теплового потока через поверхность, перпендикулярную тепловому потоку в материале при градиенте температуры в 1 Вт/К.",ГОСТ 33160-2014,Числовой,,,,,,
,,,,0003,,,,,Теплоемкость,XPT_0003,"Количество теплоты, которое надо передать телу, чтобы нагреть его на 1°С (К)","ГОСТ Р 55655-2013
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Числовой,,,ПР 40 75 13,,,
,,,,0004,,,,,Термическая стойкость,XPT_0004,"Способность жесткой ошиновки (а также аппаратов, электрических машин и другого электрооборудования) выдерживать без повреждений, препятствующих дальнейшей эксплуатации, тепловое воздействие токов КЗ.",СТО 56947007-29.060.10.117-2012,Текстовый,,,,,,
,,,,0005,,,,,Паропроницаемость,XPT_0005,"Свойство материала или наружного ограждения, отражающее его способность к паропроницанию.",ГОСТ Р 55656-2013,Текстовый,,,,,,
,,,,0006,,,,,Гигроскопичность,XPT_0006,Свойство материалов поглощать влагу из воздуха,РД 01.120.00 КТН 228 06,Текстовый,,,,,,
,,,,0007,,,,,Температура по Цельсию,XPT_0007,"Величина, определенная как разность термодинамической температуры T и значения 273,15 K, таким образом, t=T- 273,15 K",,Числовой,,,,,,
,,,,0008,,,,,Температура по Кельвину,XPT_0008,,,Числовой,,,,,,
,,,U,,,,,Пользовательские,,XPTU,,,,,,,,,
,,M,,,,,Физико-механические,,,XPM_,,,,,,,,,
,,,,0001,,,,,Водонепроницаемость,XPM_0001,Способность материала не пропускать воду до достижения односторонним гидростатическим давлением определенной величины.,"СТО НОСТРОЙ 2.27.123-2013
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39 ",Числовой,,,ПР 50 25 12,,,
,,,,0002,,,,,Материал,XPM_0002,"Вещество, используемое для создания изделий или объектов капитального строительства",ГОСТ Р ИСО 6707-1-2020,Текстовый,,,,,"<Com>
<CPr>",
,,,,0007,,,,,Коэффициент сцепления,XPM_0007,"Отношение максимального касательного усилия, действующего вдоль дороги на площади контакта сблокированного колеса с дорожным покрытием, к нормальной реакции в площади контакта колеса с покрытием",ГОСТ 30413-96,Числовой,,,,,,
,,,,0008,,,,,Морозостойкость,XPM_0008,"Относительная величина, характеризующая способность материала сохранять свои прочностные качества после воздействия на него определенного числа циклов замораживания и оттаивания в водной среде","ГОСТ Р 55029-2020
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39 ",Текстовый,,,ПР 50 25 13,,,
,,,,0009,,,,,Относительная влажность воздуха,XPM_0009,"Отношение парциального давления водяного пара, содержащегося в воздухе при данной температуре, к давлению насыщенного водяного пара при той же температуре", СП 23-101-2004,Числовой,,,,,,
,,,,0010,,,,,Относительное удлинение при максимальной нагрузке,XPM_0010,"Относительная деформация при растяжении, выраженная в процентах, показанная образцом при максимальной нагрузке.",ГОСТ Р 55029-2020  ,Числовой,,,,,,
,,,,0011,,,,,Прочность при растяжении,XPM_0011,"Максимальная нагрузка на единицу ширины, наблюдаемая во время испытания, при котором образец растягивается до разрыва.",ГОСТ Р 55029-2020  ,Числовой,,,,,,
,,,,0012,,,,,Твердость,XPM_0012,Свойство материалов сопротивляться пластической деформации или хрупкому разрушению в поверхностном слое при местных контактных силовых воздействиях,РД 03-380-00,Числовой,,,,,,
,,,,0013,,,,,Коэффициент шероховатости,XPM_0013,"Величина, численно характеризующая сопротивление, оказываемое руслом протекающему потоку, интегральная характеристика гидравлических сопротивлений.","Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39
Пособие к СНиП 2.05.03-84 ПМП-91",Числовой,,,ПР 40 60 15,,,
